"municipality","Municipality_code","date","population","cases_d0","cases_d7","cases_d14","rel_cases_7d","rel_cases_14d","rel_cases_total","color","hosp_d0","hosp_d7","hosp_d14","rel_hosp_7d","rel_hosp_14d","rel_hosp_total","deaths_d0","deaths_d7","deaths_d14","rel_deaths_7d","rel_deaths_14d","rel_deaths_total","perc_cases","perc_hosp","perc_deaths","perc_deaths_per_case"
"Urk","GM0184",2021-02-04,21208,1879,1862,1840,80.2,183.9,8859.9,"⚡",71,69,69,9.4,9.4,334.8,12,12,12,0,0,56.6,8.9,0.3,0.1,0.6
"Wierden","GM0189",2021-02-04,24532,2243,2185,2139,236.4,423.9,9143.2,"⚡",68,68,64,0,16.3,277.2,23,23,22,0,4.1,93.8,9.1,0.3,0.1,1
"Zwolle","GM0193",2021-02-04,129697,4598,4500,4336,75.6,202,3545.2,"🛑",82,81,79,0.8,2.3,63.2,81,81,79,0,1.5,62.5,3.5,0.1,0.1,1.8
"Aalten","GM0197",2021-02-04,27133,1331,1298,1250,121.6,298.5,4905.5,"⚡",45,45,42,0,11.1,165.8,18,18,18,0,0,66.3,4.9,0.2,0.1,1.4
"Apeldoorn","GM0200",2021-02-04,164717,7066,6937,6785,78.3,170.6,4289.8,"🟣",337,335,329,1.2,4.9,204.6,136,136,135,0,0.6,82.6,4.3,0.2,0.1,1.9
"Arnhem","GM0202",2021-02-04,162353,8218,8068,7873,92.4,212.5,5061.8,"🛑",131,131,129,0,1.2,80.7,105,103,102,1.2,1.8,64.7,5.1,0.1,0.1,1.3
"Barneveld","GM0203",2021-02-04,59938,5376,5271,5054,175.2,537.2,8969.3,"⚡",128,123,116,8.3,20,213.6,50,49,42,1.7,13.3,83.4,9,0.2,0.1,0.9
"Beuningen","GM0209",2021-02-04,26159,1303,1271,1231,122.3,275.2,4981.1,"⚡",61,55,53,22.9,30.6,233.2,16,16,16,0,0,61.2,5,0.2,0.1,1.2
"Brummen","GM0213",2021-02-04,20867,848,829,813,91.1,167.7,4063.8,"✅",42,42,42,0,0,201.3,15,15,15,0,0,71.9,4.1,0.2,0.1,1.8
"Buren","GM0214",2021-02-04,26997,1489,1437,1377,192.6,414.9,5515.4,"⚡",87,86,80,3.7,25.9,322.3,15,15,15,0,0,55.6,5.5,0.3,0.1,1
"Culemborg","GM0216",2021-02-04,29132,1684,1648,1579,123.6,360.4,5780.6,"⚡",91,89,82,6.9,30.9,312.4,17,17,17,0,0,58.4,5.8,0.3,0.1,1
"Doesburg","GM0221",2021-02-04,11061,495,486,477,81.4,162.7,4475.2,"✅",19,19,19,0,0,171.8,9,9,8,0,9,81.4,4.5,0.2,0.1,1.8
"Doetinchem","GM0222",2021-02-04,58227,2700,2610,2531,154.6,290.2,4637,"⚡",100,99,95,1.7,8.6,171.7,26,25,24,1.7,3.4,44.7,4.6,0.2,0,1
"Druten","GM0225",2021-02-04,18980,1161,1097,1014,337.2,774.5,6117,"⚡",72,71,66,5.3,31.6,379.3,24,22,21,10.5,15.8,126.4,6.1,0.4,0.1,2.1
"Duiven","GM0226",2021-02-04,25072,1335,1315,1286,79.8,195.4,5324.7,"✅",22,22,22,0,0,87.7,10,10,10,0,0,39.9,5.3,0.1,0,0.7
"Ede","GM0228",2021-02-04,118538,8028,7809,7583,184.8,375.4,6772.5,"⚡",282,275,270,5.9,10.1,237.9,63,64,64,-0.8,-0.8,53.1,6.8,0.2,0.1,0.8
"Elburg","GM0230",2021-02-04,23443,1221,1201,1172,85.3,209,5208.4,"⚡",46,45,45,4.3,4.3,196.2,13,12,12,4.3,4.3,55.5,5.2,0.2,0.1,1.1
"Epe","GM0232",2021-02-04,33198,1587,1537,1459,150.6,385.6,4780.4,"⚡",80,76,76,12,12,241,37,37,33,0,12,111.5,4.8,0.2,0.1,2.3
"Ermelo","GM0233",2021-02-04,27044,1716,1677,1620,144.2,355,6345.2,"⚡",86,86,82,0,14.8,318,31,30,29,3.7,7.4,114.6,6.3,0.3,0.1,1.8
"Harderwijk","GM0243",2021-02-04,48657,2700,2624,2529,156.2,351.4,5549,"⚡",150,145,143,10.3,14.4,308.3,39,37,36,4.1,6.2,80.2,5.5,0.3,0.1,1.4
"Hattem","GM0244",2021-02-04,12235,496,487,471,73.6,204.3,4053.9,"⚡",13,12,12,8.2,8.2,106.3,6,5,5,8.2,8.2,49,4.1,0.1,0,1.2
"Heerde","GM0246",2021-02-04,18744,752,732,708,106.7,234.7,4012,"🟣",25,25,24,0,5.3,133.4,30,30,30,0,0,160.1,4,0.1,0.2,4
"Heumen","GM0252",2021-02-04,16579,906,886,859,120.6,283.5,5464.7,"⚡",48,48,44,0,24.1,289.5,16,15,15,6,6,96.5,5.5,0.3,0.1,1.8
"Lochem","GM0262",2021-02-04,33907,1278,1262,1243,47.2,103.2,3769.1,"✅",55,55,55,0,0,162.2,26,26,26,0,0,76.7,3.8,0.2,0.1,2
"Maasdriel","GM0263",2021-02-04,25441,1639,1543,1461,377.3,699.7,6442.4,"⚡",58,56,55,7.9,11.8,228,26,26,26,0,0,102.2,6.4,0.2,0.1,1.6
"Nijkerk","GM0267",2021-02-04,43577,3197,3134,2992,144.6,470.4,7336.4,"⚡",97,95,93,4.6,9.2,222.6,20,18,16,4.6,9.2,45.9,7.3,0.2,0,0.6
"Nijmegen","GM0268",2021-02-04,177463,8979,8814,8606,93,210.2,5059.6,"⚡",425,418,407,3.9,10.1,239.5,165,163,160,1.1,2.8,93,5.1,0.2,0.1,1.8
"Oldebroek","GM0269",2021-02-04,23749,1324,1291,1230,139,395.8,5575,"⚡",38,34,34,16.8,16.8,160,29,29,29,0,0,122.1,5.6,0.2,0.1,2.2
"Putten","GM0273",2021-02-04,24384,1713,1675,1605,155.8,442.9,7025.1,"⚡",47,47,44,0,12.3,192.7,13,12,12,4.1,4.1,53.3,7,0.2,0.1,0.8
"Renkum","GM0274",2021-02-04,31413,1341,1310,1278,98.7,200.6,4268.9,"🛑",38,38,37,0,3.2,121,23,23,22,0,3.2,73.2,4.3,0.1,0.1,1.7
"Rheden","GM0275",2021-02-04,43565,2280,2222,2135,133.1,332.8,5233.6,"🟣",34,33,33,2.3,2.3,78,44,44,38,0,13.8,101,5.2,0.1,0.1,1.9
"Rozendaal","GM0277",2021-02-04,1718,73,72,70,58.2,174.6,4249.1,"✅",1,1,1,0,0,58.2,0,0,0,0,0,0,4.2,0.1,0,0
"Scherpenzeel","GM0279",2021-02-04,10110,750,725,695,247.3,544,7418.4,"⚡",20,19,19,9.9,9.9,197.8,12,12,11,0,9.9,118.7,7.4,0.2,0.1,1.6
"Tiel","GM0281",2021-02-04,41899,2524,2420,2315,248.2,498.8,6024,"⚡",150,144,141,14.3,21.5,358,56,55,45,2.4,26.3,133.7,6,0.4,0.1,2.2
"Voorst","GM0285",2021-02-04,24762,1131,1108,1067,92.9,258.5,4567.5,"⚡",63,61,58,8.1,20.2,254.4,19,18,16,4,12.1,76.7,4.6,0.3,0.1,1.7
"Wageningen","GM0289",2021-02-04,39719,1904,1854,1773,125.9,329.8,4793.7,"⚡",68,65,63,7.6,12.6,171.2,35,33,33,5,5,88.1,4.8,0.2,0.1,1.8
"Westervoort","GM0293",2021-02-04,15017,734,720,704,93.2,199.8,4887.8,"✅",18,18,18,0,0,119.9,8,8,8,0,0,53.3,4.9,0.1,0.1,1.1
"Winterswijk","GM0294",2021-02-04,29007,1243,1220,1176,79.3,231,4285.2,"⚡",43,40,40,10.3,10.3,148.2,13,13,12,0,3.4,44.8,4.3,0.1,0,1
"Wijchen","GM0296",2021-02-04,41259,2458,2389,2290,167.2,407.2,5957.5,"⚡",132,131,126,2.4,14.5,319.9,49,48,46,2.4,7.3,118.8,6,0.3,0.1,2
"Zaltbommel","GM0297",2021-02-04,29436,2290,2179,2088,377.1,686.2,7779.6,"⚡",80,77,73,10.2,23.8,271.8,36,34,34,6.8,6.8,122.3,7.8,0.3,0.1,1.6
"Zevenaar","GM0299",2021-02-04,44085,1947,1892,1804,124.8,324.4,4416.5,"⚡",48,48,42,0,13.6,108.9,36,34,31,4.5,11.3,81.7,4.4,0.1,0.1,1.8
"Zutphen","GM0301",2021-02-04,48105,1765,1720,1694,93.5,147.6,3669.1,"🟣",82,81,81,2.1,2.1,170.5,23,22,22,2.1,2.1,47.8,3.7,0.2,0,1.3
"Nunspeet","GM0302",2021-02-04,28017,1365,1339,1308,92.8,203.4,4872,"⚡",119,118,113,3.6,21.4,424.7,30,29,27,3.6,10.7,107.1,4.9,0.4,0.1,2.2
"Dronten","GM0303",2021-02-04,41936,1904,1863,1835,97.8,164.5,4540.3,"⚡",89,89,86,0,7.2,212.2,22,21,20,2.4,4.8,52.5,4.5,0.2,0.1,1.2
"Amersfoort","GM0307",2021-02-04,157547,9088,8915,8657,109.8,273.6,5768.4,"⚡",308,300,288,5.1,12.7,195.5,100,95,93,3.2,4.4,63.5,5.8,0.2,0.1,1.1
"Baarn","GM0308",2021-02-04,24844,1337,1301,1266,144.9,285.8,5381.6,"✅",30,30,30,0,0,120.8,23,23,23,0,0,92.6,5.4,0.1,0.1,1.7
"De Bilt","GM0310",2021-02-04,43371,2388,2296,2232,212.1,359.7,5506,"⚡",87,86,83,2.3,9.2,200.6,64,64,64,0,0,147.6,5.5,0.2,0.1,2.7
"Bunnik","GM0312",2021-02-04,15345,733,717,695,104.3,247.6,4776.8,"⚡",28,28,27,0,6.5,182.5,11,11,11,0,0,71.7,4.8,0.2,0.1,1.5
"Bunschoten","GM0313",2021-02-04,22036,2844,2812,2741,145.2,467.4,12906.2,"🟣",88,88,87,0,4.5,399.3,38,36,35,9.1,13.6,172.4,12.9,0.4,0.2,1.3
"Eemnes","GM0317",2021-02-04,9361,566,550,532,170.9,363.2,6046.4,"⚡",12,11,10,10.7,21.4,128.2,2,2,2,0,0,21.4,6,0.1,0,0.4
"Houten","GM0321",2021-02-04,50206,2543,2495,2430,95.6,225.1,5065.1,"⚡",78,77,75,2,6,155.4,50,50,50,0,0,99.6,5.1,0.2,0.1,2
"Leusden","GM0327",2021-02-04,30522,1525,1467,1417,190,353.8,4996.4,"⚡",39,37,35,6.6,13.1,127.8,20,19,19,3.3,3.3,65.5,5,0.1,0.1,1.3
"Lopik","GM0331",2021-02-04,14455,878,865,824,89.9,373.6,6074,"⚡",36,35,33,6.9,20.8,249,9,9,9,0,0,62.3,6.1,0.2,0.1,1
"Montfoort","GM0335",2021-02-04,13878,834,817,795,122.5,281,6009.5,"✅",30,30,30,0,0,216.2,7,7,7,0,0,50.4,6,0.2,0.1,0.8
"Renswoude","GM0339",2021-02-04,5547,385,381,373,72.1,216.3,6940.7,"✅",7,7,7,0,0,126.2,5,5,5,0,0,90.1,6.9,0.1,0.1,1.3
"Rhenen","GM0340",2021-02-04,20193,1569,1542,1503,133.7,326.8,7770,"⚡",46,45,43,5,14.9,227.8,17,16,15,5,9.9,84.2,7.8,0.2,0.1,1.1
"Soest","GM0342",2021-02-04,46906,2646,2608,2530,81,247.3,5641.1,"⚡",105,104,100,2.1,10.7,223.9,43,43,43,0,0,91.7,5.6,0.2,0.1,1.6
"Utrecht","GM0344",2021-02-04,359548,20494,20155,19742,94.3,209.2,5699.9,"⚡",831,823,806,2.2,7,231.1,206,203,199,0.8,1.9,57.3,5.7,0.2,0.1,1
"Veenendaal","GM0345",2021-02-04,66945,5445,5355,5261,134.4,274.9,8133.5,"🛑",188,188,186,0,3,280.8,67,66,65,1.5,3,100.1,8.1,0.3,0.1,1.2
"Woudenberg","GM0351",2021-02-04,13625,1049,1020,983,212.8,484.4,7699.1,"⚡",30,29,28,7.3,14.7,220.2,7,7,7,0,0,51.4,7.7,0.2,0.1,0.7
"Wijk bij Duurstede","GM0352",2021-02-04,23917,1107,1087,1045,83.6,259.2,4628.5,"⚡",53,51,47,8.4,25.1,221.6,10,10,9,0,4.2,41.8,4.6,0.2,0,0.9
"IJsselstein","GM0353",2021-02-04,33855,1782,1746,1696,106.3,254,5263.6,"⚡",101,99,97,5.9,11.8,298.3,48,48,47,0,3,141.8,5.3,0.3,0.1,2.7
"Zeist","GM0355",2021-02-04,65005,3305,3203,3114,156.9,293.8,5084.2,"⚡",120,118,115,3.1,7.7,184.6,46,42,41,6.2,7.7,70.8,5.1,0.2,0.1,1.4
"Nieuwegein","GM0356",2021-02-04,63811,3103,2993,2887,172.4,338.5,4862.8,"⚡",128,126,123,3.1,7.8,200.6,22,21,20,1.6,3.1,34.5,4.9,0.2,0,0.7
"Aalsmeer","GM0358",2021-02-04,31957,1724,1686,1653,118.9,222.2,5394.7,"⚡",46,44,43,6.3,9.4,143.9,22,22,22,0,0,68.8,5.4,0.1,0.1,1.3
"Alkmaar","GM0361",2021-02-04,109841,5367,5132,4885,213.9,438.8,4886.2,"⚡",256,246,234,9.1,20,233.1,57,56,54,0.9,2.7,51.9,4.9,0.2,0.1,1.1
"Amstelveen","GM0362",2021-02-04,90956,4583,4505,4411,85.8,189.1,5038.7,"⚡",179,175,169,4.4,11,196.8,84,84,84,0,0,92.4,5,0.2,0.1,1.8
"Amsterdam","GM0363",2021-02-04,873289,58879,57753,56411,128.9,282.6,6742.2,"⚡",2579,2528,2435,5.8,16.5,295.3,627,604,583,2.6,5,71.8,6.7,0.3,0.1,1.1
"Beemster","GM0370",2021-02-04,10073,429,415,393,139,357.4,4258.9,"⚡",13,13,12,0,9.9,129.1,2,2,2,0,0,19.9,4.3,0.1,0,0.5
"Bergen (NH.)","GM0373",2021-02-04,29706,1456,1426,1366,101,303,4901.4,"⚡",70,69,68,3.4,6.7,235.6,29,29,29,0,0,97.6,4.9,0.2,0.1,2
"Beverwijk","GM0375",2021-02-04,41830,2209,2124,2048,203.2,384.9,5280.9,"⚡",56,54,52,4.8,9.6,133.9,19,19,18,0,2.4,45.4,5.3,0.1,0,0.9
"Blaricum","GM0376",2021-02-04,11919,580,573,560,58.7,167.8,4866.2,"⚡",9,8,8,8.4,8.4,75.5,5,5,5,0,0,41.9,4.9,0.1,0,0.9
"Bloemendaal","GM0377",2021-02-04,23529,1025,989,942,153,352.8,4356.3,"⚡",13,12,11,4.3,8.5,55.3,11,11,11,0,0,46.8,4.4,0.1,0,1.1
"Castricum","GM0383",2021-02-04,36164,1632,1589,1553,118.9,218.4,4512.8,"⚡",52,51,50,2.8,5.5,143.8,17,17,17,0,0,47,4.5,0.1,0,1
"Diemen","GM0384",2021-02-04,31304,2063,2028,1989,111.8,236.4,6590.2,"🛑",73,73,72,0,3.2,233.2,28,27,26,3.2,6.4,89.4,6.6,0.2,0.1,1.4
"Edam-Volendam","GM0385",2021-02-04,36247,2421,2293,2125,353.1,816.6,6679.2,"⚡",114,106,100,22.1,38.6,314.5,10,10,10,0,0,27.6,6.7,0.3,0,0.4
"Enkhuizen","GM0388",2021-02-04,18666,1287,1249,1206,203.6,433.9,6894.9,"🟣",62,62,61,0,5.4,332.2,10,9,9,5.4,5.4,53.6,6.9,0.3,0.1,0.8
"Haarlem","GM0392",2021-02-04,162754,7816,7604,7408,130.3,250.7,4802.3,"⚡",152,146,141,3.7,6.8,93.4,136,135,132,0.6,2.5,83.6,4.8,0.1,0.1,1.7
"Haarlemmermeer","GM0394",2021-02-04,157730,8420,8241,7997,113.5,268.2,5338.2,"⚡",201,196,190,3.2,7,127.4,94,91,88,1.9,3.8,59.6,5.3,0.1,0.1,1.1
"Heemskerk","GM0396",2021-02-04,39233,2182,2119,2034,160.6,377.2,5561.6,"⚡",69,66,65,7.6,10.2,175.9,24,24,23,0,2.5,61.2,5.6,0.2,0.1,1.1
"Heemstede","GM0397",2021-02-04,27494,1185,1163,1134,80,185.5,4310,"✅",18,18,18,0,0,65.5,55,55,54,0,3.6,200,4.3,0.1,0.2,4.6
"Heerhugowaard","GM0398",2021-02-04,58303,3033,2925,2798,185.2,403.1,5202.1,"⚡",110,105,102,8.6,13.7,188.7,23,23,19,0,6.9,39.4,5.2,0.2,0,0.8
"Heiloo","GM0399",2021-02-04,24119,1010,987,962,95.4,199,4187.6,"⚡",36,35,33,4.1,12.4,149.3,11,11,11,0,0,45.6,4.2,0.1,0,1.1
"Den Helder","GM0400",2021-02-04,56531,2472,2369,2235,182.2,419.2,4372.8,"⚡",90,85,80,8.8,17.7,159.2,14,14,14,0,0,24.8,4.4,0.2,0,0.6
"Hilversum","GM0402",2021-02-04,91247,4207,4073,3945,146.9,287.1,4610.6,"⚡",62,58,54,4.4,8.8,67.9,72,72,70,0,2.2,78.9,4.6,0.1,0.1,1.7
"Hoorn","GM0405",2021-02-04,73579,4623,4381,4081,328.9,736.6,6283,"⚡",171,156,148,20.4,31.3,232.4,41,35,35,8.2,8.2,55.7,6.3,0.2,0.1,0.9
"Huizen","GM0406",2021-02-04,41130,2720,2648,2572,175.1,359.8,6613.2,"⚡",52,49,44,7.3,19.5,126.4,51,51,51,0,0,124,6.6,0.1,0.1,1.9
"Landsmeer","GM0415",2021-02-04,11564,674,647,624,233.5,432.4,5828.4,"⚡",25,25,23,0,17.3,216.2,5,5,5,0,0,43.2,5.8,0.2,0,0.7
