"municipality","Municipality_code","date","population","cases_d0","cases_d7","cases_d14","rel_cases_7d","rel_cases_14d","rel_cases_total","color","hosp_d0","hosp_d7","hosp_d14","rel_hosp_7d","rel_hosp_14d","rel_hosp_total","deaths_d0","deaths_d7","deaths_d14","rel_deaths_7d","rel_deaths_14d","rel_deaths_total","perc_cases","perc_hosp","perc_deaths","perc_deaths_per_case"
"Geldrop-Mierlo","GM1771",2021-02-04,40097,2493,2407,2281,214.5,528.7,6217.4,"⚡",137,135,130,5,17.5,341.7,22,21,21,2.5,2.5,54.9,6.2,0.3,0.1,0.9
"Olst-Wijhe","GM1773",2021-02-04,18348,696,683,643,70.9,288.9,3793.3,"⚡",18,17,17,5.5,5.5,98.1,9,9,9,0,0,49.1,3.8,0.1,0,1.3
"Dinkelland","GM1774",2021-02-04,26616,2232,2176,2092,210.4,526,8385.9,"⚡",74,72,69,7.5,18.8,278,31,31,30,0,3.8,116.5,8.4,0.3,0.1,1.4
"Westland","GM1783",2021-02-04,111342,8271,8081,7870,170.6,360.2,7428.5,"⚡",281,275,269,5.4,10.8,252.4,80,76,75,3.6,4.5,71.9,7.4,0.3,0.1,1
"Midden-Delfland","GM1842",2021-02-04,19378,1227,1198,1174,149.7,273.5,6331.9,"🟣",46,46,45,0,5.2,237.4,13,12,12,5.2,5.2,67.1,6.3,0.2,0.1,1.1
"Berkelland","GM1859",2021-02-04,43821,2488,2414,2333,168.9,353.7,5677.6,"⚡",85,82,79,6.8,13.7,194,39,39,38,0,2.3,89,5.7,0.2,0.1,1.6
"Bronckhorst","GM1876",2021-02-04,36103,1865,1823,1741,116.3,343.5,5165.8,"⚡",71,68,67,8.3,11.1,196.7,14,12,12,5.5,5.5,38.8,5.2,0.2,0,0.8
"Sittard-Geleen","GM1883",2021-02-04,91781,4546,4374,4128,187.4,455.4,4953.1,"⚡",232,228,223,4.4,9.8,252.8,105,102,100,3.3,5.4,114.4,5,0.3,0.1,2.3
"Kaag en Braassem","GM1884",2021-02-04,27547,1431,1406,1364,90.8,243.2,5194.8,"✅",47,47,47,0,0,170.6,9,9,8,0,3.6,32.7,5.2,0.2,0,0.6
"Dantumadiel","GM1891",2021-02-04,18927,806,756,695,264.2,586.5,4258.5,"⚡",23,20,18,15.9,26.4,121.5,12,12,12,0,0,63.4,4.3,0.1,0.1,1.5
"Zuidplas","GM1892",2021-02-04,45015,2871,2794,2731,171.1,311,6377.9,"⚡",133,128,114,11.1,42.2,295.5,40,39,39,2.2,2.2,88.9,6.4,0.3,0.1,1.4
"Peel en Maas","GM1894",2021-02-04,43695,2501,2390,2280,254,505.8,5723.8,"✅",39,39,39,0,0,89.3,71,71,71,0,0,162.5,5.7,0.1,0.2,2.8
"Oldambt","GM1895",2021-02-04,38281,1511,1435,1292,198.5,572.1,3947.1,"⚡",76,72,66,10.4,26.1,198.5,25,22,19,7.8,15.7,65.3,3.9,0.2,0.1,1.7
"Zwartewaterland","GM1896",2021-02-04,22797,1140,1109,1059,136,355.3,5000.7,"⚡",30,29,29,4.4,4.4,131.6,25,25,25,0,0,109.7,5,0.1,0.1,2.2
"Súdwest-Fryslân","GM1900",2021-02-04,89930,4198,3981,3778,241.3,467,4668.1,"⚡",103,90,85,14.5,20,114.5,59,55,52,4.4,7.8,65.6,4.7,0.1,0.1,1.4
"Bodegraven-Reeuwijk","GM1901",2021-02-04,35288,2506,2422,2316,238,538.4,7101.6,"⚡",87,83,79,11.3,22.7,246.5,31,29,25,5.7,17,87.8,7.1,0.2,0.1,1.2
"Eijsden-Margraten","GM1903",2021-02-04,25903,1430,1395,1331,135.1,382.2,5520.6,"⚡",84,83,81,3.9,11.6,324.3,36,36,36,0,0,139,5.5,0.3,0.1,2.5
"Stichtse Vecht","GM1904",2021-02-04,65142,3572,3499,3390,112.1,279.4,5483.4,"⚡",156,154,150,3.1,9.2,239.5,58,54,54,6.1,6.1,89,5.5,0.2,0.1,1.6
"Hollands Kroon","GM1911",2021-02-04,48532,2354,2247,2131,220.5,459.5,4850.4,"⚡",88,85,77,6.2,22.7,181.3,16,15,14,2.1,4.1,33,4.9,0.2,0,0.7
"Leidschendam-Voorburg","GM1916",2021-02-04,76451,4129,4073,3960,73.2,221.1,5400.8,"⚡",162,156,151,7.8,14.4,211.9,70,68,65,2.6,6.5,91.6,5.4,0.2,0.1,1.7
"Goeree-Overflakkee","GM1924",2021-02-04,50567,2645,2571,2511,146.3,265,5230.7,"⚡",163,161,157,4,11.9,322.3,63,63,58,0,9.9,124.6,5.2,0.3,0.1,2.4
"Pijnacker-Nootdorp","GM1926",2021-02-04,55592,3380,3312,3204,122.3,316.6,6080,"🟣",86,85,84,1.8,3.6,154.7,29,28,26,1.8,5.4,52.2,6.1,0.2,0.1,0.9
"Nissewaard","GM1930",2021-02-04,85302,5037,4956,4812,95,263.8,5904.9,"⚡",260,252,243,9.4,19.9,304.8,82,79,70,3.5,14.1,96.1,5.9,0.3,0.1,1.6
"Krimpenerwaard","GM1931",2021-02-04,56559,3713,3598,3469,203.3,431.4,6564.8,"⚡",166,165,158,1.8,14.1,293.5,59,59,58,0,1.8,104.3,6.6,0.3,0.1,1.6
"De Fryske Marren","GM1940",2021-02-04,51735,1613,1514,1433,191.4,347.9,3117.8,"⚡",57,54,52,5.8,9.7,110.2,19,16,15,5.8,7.7,36.7,3.1,0.1,0,1.2
"Gooise Meren","GM1942",2021-02-04,58466,2957,2877,2807,136.8,256.6,5057.6,"⚡",53,51,49,3.4,6.8,90.7,28,28,27,0,1.7,47.9,5.1,0.1,0,0.9
"Berg en Dal","GM1945",2021-02-04,35015,1944,1904,1867,114.2,219.9,5551.9,"⚡",102,99,99,8.6,8.6,291.3,41,41,38,0,8.6,117.1,5.6,0.3,0.1,2.1
"Meierijstad","GM1948",2021-02-04,81653,4603,4479,4376,151.9,278,5637.3,"⚡",341,339,335,2.4,7.3,417.6,160,159,157,1.2,3.7,196,5.6,0.4,0.2,3.5
"Waadhoeke","GM1949",2021-02-04,46082,1437,1396,1353,89,182.3,3118.4,"🟣",36,35,35,2.2,2.2,78.1,30,30,25,0,10.9,65.1,3.1,0.1,0.1,2.1
"Westerwolde","GM1950",2021-02-04,26284,1418,1344,1254,281.5,624,5394.9,"⚡",49,41,38,30.4,41.9,186.4,15,13,13,7.6,7.6,57.1,5.4,0.2,0.1,1.1
"Midden-Groningen","GM1952",2021-02-04,60745,1967,1888,1804,130.1,268.3,3238.1,"⚡",93,90,85,4.9,13.2,153.1,26,24,24,3.3,3.3,42.8,3.2,0.2,0,1.3
"Beekdaelen","GM1954",2021-02-04,36073,1820,1767,1685,146.9,374.2,5045.3,"🛑",93,93,92,0,2.8,257.8,39,39,37,0,5.5,108.1,5,0.3,0.1,2.1
"Montferland","GM1955",2021-02-04,36062,1718,1683,1615,97.1,285.6,4764,"⚡",61,60,59,2.8,5.5,169.2,17,16,14,2.8,8.3,47.1,4.8,0.2,0,1
"Altena","GM1959",2021-02-04,56308,4613,4516,4330,172.3,502.6,8192.4,"⚡",179,168,163,19.5,28.4,317.9,65,65,65,0,0,115.4,8.2,0.3,0.1,1.4
"West Betuwe","GM1960",2021-02-04,51489,3459,3321,3142,268,615.7,6717.9,"⚡",158,155,153,5.8,9.7,306.9,43,42,42,1.9,1.9,83.5,6.7,0.3,0.1,1.2
"Vijfheerenlanden","GM1961",2021-02-04,57786,3755,3608,3447,254.4,533,6498.1,"⚡",134,132,125,3.5,15.6,231.9,58,58,56,0,3.5,100.4,6.5,0.2,0.1,1.5
"Hoeksche Waard","GM1963",2021-02-04,87963,4645,4527,4355,134.1,329.7,5280.6,"⚡",220,213,207,8,14.8,250.1,48,46,44,2.3,4.5,54.6,5.3,0.3,0.1,1
"Het Hogeland","GM1966",2021-02-04,47859,1969,1869,1733,208.9,493.1,4114.2,"🟣",34,33,32,2.1,4.2,71,19,19,19,0,0,39.7,4.1,0.1,0,1
"Westerkwartier","GM1969",2021-02-04,63603,1672,1581,1494,143.1,279.9,2628.8,"⚡",76,70,68,9.4,12.6,119.5,14,14,13,0,1.6,22,2.6,0.1,0,0.8
"Noardeast-Fryslân","GM1970",2021-02-04,45479,1615,1530,1441,186.9,382.6,3551.1,"⚡",64,62,58,4.4,13.2,140.7,23,22,19,2.2,8.8,50.6,3.6,0.1,0.1,1.4
"Molenlanden","GM1978",2021-02-04,44105,2997,2935,2818,140.6,405.8,6795.1,"⚡",93,91,85,4.5,18.1,210.9,24,23,21,2.3,6.8,54.4,6.8,0.2,0.1,0.8
"Eemsdelta","GM1979",2021-02-04,45606,1747,1702,1614,98.7,291.6,3830.6,"⚡",85,81,75,8.8,21.9,186.4,10,10,10,0,0,21.9,3.8,0.2,0,0.6
