"","Municipality_code","population","Municipality_name","Hospital_admission.2020-10-23"
"157","GM0513",73540,"Gouda",56
"158","GM0518",545863,"'s-Gravenhage",547
"159","GM0523",18460,"Hardinxveld-Giessendam",2
"160","GM0530",40198,"Hellevoetsluis",21
"161","GM0531",31311,"Hendrik-Ido-Ambacht",13
"162","GM0532",21773,"Stede Broec",19
"163","GM0534",22210,"Hillegom",8
"164","GM0537",65929,"Katwijk",41
"165","GM0542",29452,"Krimpen aan den IJssel",18
"166","GM0546",123655,"Leiden",57
"167","GM0547",27304,"Leiderdorp",21
"168","GM0553",22983,"Lisse",11
"169","GM0556",33336,"Maassluis",28
"170","GM0569",29021,"Nieuwkoop",12
"171","GM0575",43733,"Noordwijk",27
"172","GM0579",24972,"Oegstgeest",11
"173","GM0589",10178,"Oudewater",28
"174","GM0590",32095,"Papendrecht",9
"175","GM0597",46576,"Ridderkerk",43
"176","GM0599",650459,"Rotterdam",777
"177","GM0603",54855,"Rijswijk",59
"178","GM0606",79003,"Schiedam",73
"179","GM0610",25350,"Sliedrecht",9
"180","GM0613",25896,"Albrandswaard",17
"181","GM0614",14863,"Westvoorne",6
"182","GM0622",73758,"Vlaardingen",55
"183","GM0626",25602,"Voorschoten",11
"184","GM0627",29906,"Waddinxveen",25
"185","GM0629",26490,"Wassenaar",10
"186","GM0632",52558,"Woerden",61
"187","GM0637",125247,"Zoetermeer",66
"188","GM0638",8759,"Zoeterwoude",4
"189","GM0642",44641,"Zwijndrecht",29
"190","GM0654",22762,"Borsele",5
"191","GM0664",38423,"Goes",13
"192","GM0668",19436,"West Maas en Waal",23
"193","GM0677",27631,"Hulst",10
"194","GM0678",12808,"Kapelle",3
"195","GM0687",48766,"Middelburg",19
"196","GM0703",22843,"Reimerswaal",6
"197","GM0715",54476,"Terneuzen",25
"198","GM0716",25894,"Tholen",43
"199","GM0717",21974,"Veere",8
"200","GM0718",44132,"Vlissingen",9
"201","GM0736",44636,"De Ronde Venen",45
"202","GM0737",32079,"Tytsjerksteradiel",7
"203","GM0743",16718,"Asten",18
"204","GM0744",6876,"Baarle-Nassau",9
"205","GM0748",67667,"Bergen op Zoom",42
"206","GM0753",30073,"Best",33
"207","GM0755",10872,"Boekel",36
"208","GM0756",29465,"Boxmeer",20
"209","GM0757",30807,"Boxtel",24
"210","GM0758",183790,"Breda",170
"211","GM0762",32466,"Deurne",58
"212","GM0765",12172,"Pekela",5
"213","GM0766",26345,"Dongen",24
"214","GM0770",19418,"Eersel",29
"215","GM0772",233983,"Eindhoven",198
"216","GM0777",43896,"Etten-Leur",47
"217","GM0779",21670,"Geertruidenberg",13
"218","GM0784",26551,"Gilze en Rijen",21
"219","GM0785",23823,"Goirle",32
"220","GM0786",12452,"Grave",21
"221","GM0788",14316,"Haaren",20
