"","Municipality_code","population","Municipality_name","2021-06-08","2021-06-09"
"216","GM0785",23990,"Goirle",36,36
"217","GM0786",12480,"Grave",24,24
"218","GM0794",92720,"Helmond",84,84
"219","GM0796",155717,"'s-Hertogenbosch",171,171
"220","GM0797",45180,"Heusden",50,50
"221","GM0798",15730,"Hilvarenbeek",20,20
"222","GM0809",23579,"Loon op Zand",37,37
"223","GM0815",11035,"Mill en Sint Hubert",10,10
"224","GM0820",23688,"Nuenen, Gerwen en Nederwetten",22,22
"225","GM0823",18895,"Oirschot",27,27
"226","GM0824",32422,"Oisterwijk",22,22
"227","GM0826",56344,"Oosterhout",36,36
"228","GM0828",92692,"Oss",129,129
"229","GM0840",23182,"Rucphen",16,16
"230","GM0845",29557,"Sint-Michielsgestel",34,34
"231","GM0847",19546,"Someren",13,13
"232","GM0848",17626,"Son en Breugel",28,28
"233","GM0851",24438,"Steenbergen",19,19
"234","GM0852",17290,"Waterland",15,15
"235","GM0855",222503,"Tilburg",276,277
"236","GM0856",42330,"Uden",86,86
"237","GM0858",31232,"Valkenswaard",62,62
"238","GM0861",45616,"Veldhoven",50,50
"239","GM0865",31606,"Vught",53,53
"240","GM0866",17579,"Waalre",17,17
"241","GM0867",49095,"Waalwijk",77,77
"242","GM0873",22088,"Woensdrecht",26,26
"243","GM0879",22153,"Zundert",17,17
"244","GM0880",16335,"Wormerland",33,33
"245","GM0882",37103,"Landgraaf",70,70
"246","GM0888",15843,"Beek",12,12
"247","GM0889",13416,"Beesel",13,13
"248","GM0893",13110,"Bergen (L.)",15,15
"249","GM0899",27613,"Brunssum",52,52
"250","GM0907",17092,"Gennep",19,19
"251","GM0917",86901,"Heerlen",126,126
"252","GM0928",45386,"Kerkrade",96,96
"253","GM0935",119982,"Maastricht",197,197
"254","GM0938",18636,"Meerssen",23,23
"255","GM0944",7950,"Mook en Middelaar",11,11
"256","GM0946",17200,"Nederweert",20,20
"257","GM0957",58883,"Roermond",60,60
"258","GM0965",10429,"Simpelveld",9,9
"259","GM0971",24824,"Stein",24,24
"260","GM0981",10034,"Vaals",14,14
"261","GM0983",102000,"Venlo",167,168
"262","GM0984",43797,"Venray",48,48
"263","GM0986",12491,"Voerendaal",11,11
"264","GM0988",50021,"Weert",68,68
"265","GM0994",16342,"Valkenburg aan de Geul",23,23
"266","GM0995",80270,"Lelystad",62,62
"267","GM1507",42722,"Horst aan de Maas",65,65
"268","GM1509",39359,"Oude IJsselstreek",45,45
"269","GM1525",37818,"Teylingen",25,25
"270","GM1581",49939,"Utrechtse Heuvelrug",73,73
"271","GM1586",29628,"Oost Gelre",41,41
"272","GM1598",23039,"Koggenland",24,24
"273","GM1621",63593,"Lansingerland",63,63
"274","GM1640",36014,"Leudal",52,52
"275","GM1641",24001,"Maasgouw",36,36
"276","GM1652",30774,"Gemert-Bakel",38,38
"277","GM1655",30552,"Halderberge",27,27
"278","GM1658",16316,"Heeze-Leende",13,13
"279","GM1659",22810,"Laarbeek",36,36
"280","GM1667",13164,"Reusel-De Mierden",10,10
"281","GM1669",20616,"Roerdalen",35,35
"282","GM1674",77220,"Roosendaal",74,74
"283","GM1676",34105,"Schouwen-Duiveland",25,25
"284","GM1680",25457,"Aa en Hunze",20,20
"285","GM1681",25631,"Borger-Odoorn",15,15
"286","GM1684",25548,"Cuijk",26,26
"287","GM1685",15872,"Landerd",28,28
"288","GM1690",24461,"De Wolden",24,24
"289","GM1695",7549,"Noord-Beveland",9,9
"290","GM1696",24510,"Wijdemeren",18,18
"291","GM1699",31254,"Noordenveld",25,25
"292","GM1700",33661,"Twenterand",30,30
"293","GM1701",19738,"Westerveld",22,22
"294","GM1702",11754,"Sint Anthonis",11,11
"295","GM1705",46937,"Lingewaard",34,35
"296","GM1706",20916,"Cranendonck",51,51
"297","GM1708",44432,"Steenwijkerland",27,27
"298","GM1709",37207,"Moerdijk",40,40
"299","GM1711",31757,"Echt-Susteren",36,36
"300","GM1714",23172,"Sluis",18,18
"301","GM1719",27380,"Drimmelen",30,30
"302","GM1721",31515,"Bernheze",78,78
"303","GM1723",10363,"Alphen-Chaam",5,5
"304","GM1724",18762,"Bergeijk",11,11
"305","GM1728",20572,"Bladel",27,27
"306","GM1729",14178,"Gulpen-Wittem",19,19
"307","GM1730",34033,"Tynaarlo",24,24
"308","GM1731",33524,"Midden-Drenthe",30,30
"309","GM1734",48272,"Overbetuwe",30,30
"310","GM1735",35096,"Hof van Twente",29,29
"311","GM1740",24731,"Neder-Betuwe",34,34
"312","GM1742",38228,"Rijssen-Holten",54,54
"313","GM1771",40046,"Geldrop-Mierlo",28,28
"314","GM1773",18418,"Olst-Wijhe",10,10
"315","GM1774",26571,"Dinkelland",35,35
"316","GM1783",111871,"Westland",86,86
