"current","color_incl_new","municipality","increase_1d","increase_7d","growth"
461,"&#x1F7E3;","Edam-Volendam",22,86,"&#x279A;&#x279A;"
2161,"&#x26a1;","Ede",52,603,"&#x279A;"
144,"&#x1F7E3;","Eemnes",7,23,"&#x279A;"
415,"&#x26a1;","Eersel",8,89,"&#x279A;"
373,"&#x26a1;","Eijsden-Margraten",15,103,"&#x279A;"
3529,"&#x26a1;","Eindhoven",27,707,"&#x279A;"
348,"&#x26a1;","Elburg",11,84,"&#x279A;"
1191,"&#x26a1;","Emmen",33,292,"&#x279A;"
421,"&#x26a1;","Enkhuizen",34,147,"&#x279A;&#x279A;"
2557,"&#x1F7E3;","Enschede",48,360,"&#x279A;"
350,"&#x26a1;","Epe",9,114,"&#x279A;"
389,"&#x26a1;","Ermelo",13,100,"&#x279A;"
697,"&#x26a1;","Etten-Leur",25,170,"&#x279A;"
446,"&#x26a1;","Geertruidenberg",14,100,"&#x2798;"
674,"&#x26a1;","Geldrop-Mierlo",3,115,"&#x279A;"
403,"&#x26a1;","Gemert-Bakel",4,103,"&#x279A;"
379,"&#x26a1;","Gennep",12,119,"&#x279A;&#x279A;"
550,"&#x26a1;","Gilze en Rijen",13,115,"&#x279A;"
825,"&#x26a1;","Goeree-Overflakkee",10,188,"&#x279A;"
285,"&#128721;","Goes",6,52,"&#x279A;"
449,"&#x26a1;","Goirle",15,80,"-"
796,"&#x26a1;","Gooise Meren",23,173,"&#x279A;"
765,"&#x26a1;","Gorinchem",16,141,"&#x2798;"
1480,"&#x26a1;","Gouda",30,298,"&#x279A;"
265,"&#x26a1;","Grave",10,45,"&#x2798;"
1531,"&#x1F7E3;","Groningen",40,380,"&#x279A;"
165,"&#x26a1;","Gulpen-Wittem",1,37,"&#x279A;"
504,"&#x26a1;","Haaksbergen",26,120,"&#x279A;"
287,"&#x26a1;","Haaren",17,66,"&#x279A;"
2014,"&#x26a1;","Haarlem",70,453,"&#x279A;"
2266,"&#x26a1;","Haarlemmermeer",64,456,"&#x279A;"
496,"&#x26a1;","Halderberge",7,82,"&#x279A;&#x279A;"
688,"&#x26a1;","Hardenberg",30,157,"&#x279A;"
642,"&#x26a1;","Harderwijk",8,126,"&#x2798;"
474,"&#x26a1;","Hardinxveld-Giessendam",12,84,"-"
75,"&#128721;","Harlingen",1,14,"&#x279A;"
124,"&#x1F7E3;","Hattem",2,23,"&#x279A;"
657,"&#x26a1;","Heemskerk",22,114,"-"
356,"&#x26a1;","Heemstede",9,84,"&#x279A;"
122,"&#x1F7E3;","Heerde",5,40,"&#x279A;&#x279A;"
280,"&#128721;","Heerenveen",5,65,"&#x279A;"
854,"&#x26a1;","Heerhugowaard",27,249,"&#x279A;&#x279A;"
1105,"&#x26a1;","Heerlen",45,273,"&#x279A;"
257,"&#x26a1;","Heeze-Leende",8,71,"&#x279A;"
287,"&#x1F7E3;","Heiloo",6,54,"&#x279A;"
731,"&#x26a1;","Hellendoorn",25,176,"&#x279A;"
508,"&#x1F7E3;","Hellevoetsluis",3,81,"-"
1375,"&#x1F7E3;","Helmond",4,165,"&#x2798;"
618,"&#x26a1;","Hendrik-Ido-Ambacht",14,119,"&#x279A;"
1264,"&#x26a1;","Hengelo",23,232,"&#x279A;"
457,"&#x1F7E3;","Het Hogeland",14,105,"-"
197,"&#x26a1;","Heumen",10,47,"&#x279A;"
913,"&#x26a1;","Heusden",13,115,"&#x2798;"
235,"&#x1F7E3;","Hillegom",7,42,"&#x2798;"
278,"&#x26a1;","Hilvarenbeek",11,66,"&#x279A;"
1072,"&#x1F7E3;","Hilversum",18,211,"&#x279A;"
1115,"&#x1F7E3;","Hoeksche Waard",14,202,"&#x279A;"
623,"&#x26a1;","Hof van Twente",11,94,"&#x279A;"
507,"&#x1F7E3;","Hollands Kroon",13,108,"&#x279A;"
571,"&#x26a1;","Hoogeveen",24,215,"&#x279A;&#x279A;"
1115,"&#x26a1;","Hoorn",28,262,"&#x279A;"
949,"&#x26a1;","Horst aan de Maas",26,260,"&#x279A;"
775,"&#x26a1;","Houten",38,201,"&#x279A;"
728,"&#x26a1;","Huizen",10,155,"&#x279A;"
424,"&#x1F7E3;","Hulst",3,57,"&#x279A;"
500,"&#x26a1;","IJsselstein",31,118,"&#x279A;"
385,"&#x26a1;","Kaag en Braassem",8,112,"&#x279A;"
615,"&#x26a1;","Kampen",34,166,"&#x279A;"
68,"&#128721;","Kapelle",3,17,"&#x279A;"
1307,"&#x26a1;","Katwijk",27,279,"&#x279A;"
393,"&#x1F7E3;","Kerkrade",6,95,"&#x279A;"
348,"&#x1F7E3;","Koggenland",4,55,"&#x279A;"
576,"&#x26a1;","Krimpen aan den IJssel",12,140,"&#x279A;"
976,"&#x26a1;","Krimpenerwaard",20,223,"&#x279A;"
449,"&#x26a1;","Laarbeek",6,93,"-"
277,"&#x26a1;","Landerd",12,50,"&#x279A;"
473,"&#x26a1;","Landgraaf",24,171,"&#x279A;&#x279A;"
179,"&#x26a1;","Landsmeer",11,35,"&#x279A;"
432,"&#x26a1;","Langedijk",12,107,"&#x279A;&#x279A;"
1067,"&#x26a1;","Lansingerland",15,224,"&#x279A;"
150,"&#128721;","Laren",5,17,"&#x2798;"
766,"&#x1F7E3;","Leeuwarden",18,190,"&#x279A;&#x279A;"
1603,"&#x1F7E3;","Leiden",34,272,"&#x279A;"
409,"&#x26a1;","Leiderdorp",8,101,"&#x279A;"
1115,"&#x26a1;","Leidschendam-Voorburg",27,270,"&#x279A;"
1151,"&#x26a1;","Lelystad",48,303,"&#x279A;"
684,"&#x26a1;","Leudal",30,182,"&#x279A;"
