"current","municipality","increase_1d","increase_7d","growth"
16,"Huizen",0,3,"-"
5,"Hulst",0,0,"-"
40,"IJsselstein",0,2,"&#x2798;"
3,"Kaag en Braassem",0,0,"-"
37,"Kampen",0,0,"-"
1,"Kapelle",0,0,"-"
25,"Katwijk",1,2,"-"
37,"Kerkrade",0,0,"-"
9,"Koggenland",1,1,"&#x279A;"
25,"Krimpen aan den IJssel",0,8,"&#x279A;"
41,"Krimpenerwaard",0,2,"-"
26,"Laarbeek",0,0,"-"
21,"Landerd",0,0,"-"
15,"Landgraaf",0,0,"&#x2798;"
3,"Landsmeer",0,0,"-"
7,"Langedijk",0,0,"-"
38,"Lansingerland",0,1,"&#x2798;"
5,"Laren",0,2,"&#x279A;"
11,"Leeuwarden",0,0,"&#x2798;"
31,"Leiden",2,4,"&#x279A;"
9,"Leiderdorp",0,1,"-"
36,"Leidschendam-Voorburg",1,6,"&#x279A;"
35,"Lelystad",1,1,"-"
38,"Leudal",0,0,"&#x2798;"
11,"Leusden",0,1,"-"
16,"Lingewaard",0,2,"-"
5,"Lisse",0,1,"&#x279A;"
16,"Lochem",0,0,"&#x2798;"
24,"Loon op Zand",0,3,"&#x279A;"
8,"Lopik",0,0,"-"
0,"Loppersum",0,0,"-"
4,"Losser",1,1,"-"
11,"Maasdriel",0,1,"-"
16,"Maasgouw",0,1,"&#x279A;"
16,"Maassluis",0,1,"&#x2798;"
142,"Maastricht",1,1,"-"
6,"Medemblik",0,0,"-"
13,"Meerssen",0,0,"-"
138,"Meierijstad",0,1,"&#x2798;"
5,"Meppel",0,0,"-"
11,"Middelburg",0,1,"&#x279A;"
5,"Midden-Delfland",2,3,"&#x279A;"
0,"Midden-Drenthe",0,0,"-"
6,"Midden-Groningen",1,1,"&#x279A;"
6,"Mill en Sint Hubert",0,0,"&#x2798;"
20,"Moerdijk",3,4,"&#x2798;"
12,"Molenlanden",0,0,"-"
11,"Montferland",0,1,"-"
7,"Montfoort",0,0,"-"
6,"Mook en Middelaar",0,1,"&#x279A;"
22,"Neder-Betuwe",0,0,"-"
8,"Nederweert",0,1,"&#x279A;"
17,"Nieuwegein",0,0,"&#x2798;"
7,"Nieuwkoop",0,0,"-"
6,"Nijkerk",0,2,"&#x279A;"
105,"Nijmegen",1,19,"&#x279A;"
31,"Nissewaard",1,2,"&#x2798;"
4,"Noardeast-Fryslân",0,0,"-"
1,"Noord-Beveland",0,0,"-"
14,"Noordenveld",0,0,"-"
12,"Noordoostpolder",0,0,"&#x2798;"
6,"Noordwijk",0,0,"&#x2798;"
10,"Nuenen, Gerwen en Nederwetten",0,0,"-"
22,"Nunspeet",0,0,"-"
3,"Oegstgeest",0,0,"-"
13,"Oirschot",1,2,"-"
14,"Oisterwijk",0,0,"&#x2798;"
5,"Oldambt",0,1,"&#x279A;"
20,"Oldebroek",0,0,"&#x2798;"
22,"Oldenzaal",0,2,"&#x2798;"
8,"Olst-Wijhe",0,0,"-"
4,"Ommen",0,0,"-"
19,"Oost Gelre",0,1,"&#x2798;"
17,"Oosterhout",0,0,"-"
1,"Ooststellingwerf",0,0,"-"
2,"Oostzaan",0,0,"-"
2,"Opmeer",0,0,"-"
0,"Opsterland",0,0,"-"
96,"Oss",0,1,"-"
10,"Oude IJsselstreek",0,1,"&#x279A;"
0,"Ouder-Amstel",0,0,"-"
11,"Oudewater",0,0,"-"
19,"Overbetuwe",0,1,"&#x279A;"
14,"Papendrecht",1,3,"&#x279A;"
65,"Peel en Maas",0,0,"-"
2,"Pekela",0,1,"-"
20,"Pijnacker-Nootdorp",1,2,"&#x279A;"
42,"Purmerend",0,3,"&#x279A;"
2,"Putten",0,1,"&#x279A;"
25,"Raalte",0,0,"&#x2798;"
3,"Reimerswaal",0,0,"&#x2798;"
11,"Renkum",0,0,"&#x2798;"
5,"Renswoude",0,0,"-"
4,"Reusel-De Mierden",0,0,"&#x2798;"
18,"Rheden",0,2,"&#x279A;"
6,"Rhenen",0,0,"-"
22,"Ridderkerk",0,0,"&#x2798;"
32,"Rijssen-Holten",1,3,"-"
52,"Rijswijk",0,6,"&#x2798;"
9,"Roerdalen",1,1,"&#x279A;"
25,"Roermond",1,1,"&#x279A;"
38,"Roosendaal",4,5,"&#x2798;"
495,"Rotterdam",4,25,"&#x2798;"
0,"Rozendaal",0,0,"-"
11,"Rucphen",0,1,"&#x279A;"
14,"Schagen",1,1,"&#x2798;"
2,"Scherpenzeel",0,0,"-"
33,"Schiedam",0,2,"&#x2798;"
0,"Schiermonnikoog",0,0,"-"
14,"Schouwen-Duiveland",0,0,"&#x2798;"
5,"Simpelveld",0,0,"-"
20,"Sint-Michielsgestel",0,1,"&#x279A;"
11,"Sint Anthonis",0,0,"-"
67,"Sittard-Geleen",0,1,"&#x279A;"
8,"Sliedrecht",1,2,"&#x279A;"
4,"Sluis",0,0,"-"
8,"Smallingerland",0,0,"&#x2798;"
32,"Soest",0,6,"&#x2798;"
8,"Someren",0,0,"-"
17,"Son en Breugel",0,2,"&#x279A;"
7,"Stadskanaal",0,0,"&#x2798;"
5,"Staphorst",0,1,"&#x279A;"
5,"Stede Broec",0,0,"-"
14,"Steenbergen",0,0,"-"
10,"Steenwijkerland",0,1,"&#x279A;"
16,"Stein",0,0,"&#x2798;"
18,"Stichtse Vecht",1,1,"&#x279A;"
13,"Súdwest-Fryslân",1,3,"&#x2798;"
4,"Terneuzen",0,0,"-"
1,"Terschelling",0,0,"-"
2,"Texel",0,0,"-"
4,"Teylingen",0,0,"-"
19,"Tholen",0,0,"-"
25,"Tiel",1,1,"&#x2798;"
189,"Tilburg",2,10,"&#x279A;"
8,"Tubbergen",0,1,"-"
3,"Twenterand",0,0,"&#x2798;"
5,"Tynaarlo",0,2,"-"
3,"Tytsjerksteradiel",0,0,"-"
66,"Uden",0,1,"-"
3,"Uitgeest",0,0,"&#x2798;"
4,"Uithoorn",0,1,"&#x279A;"
5,"Urk",0,1,"&#x279A;"
146,"Utrecht",3,11,"&#x279A;"
21,"Utrechtse Heuvelrug",0,2,"&#x279A;"
2,"Vaals",0,0,"-"
10,"Valkenburg aan de Geul",1,1,"&#x279A;"
41,"Valkenswaard",0,3,"&#x279A;"
1,"Veendam",0,0,"-"
17,"Veenendaal",0,0,"&#x2798;"
2,"Veere",0,0,"-"
22,"Veldhoven",0,2,"&#x279A;"
48,"Velsen",0,2,"-"
78,"Venlo",0,1,"&#x2798;"
23,"Venray",0,1,"&#x2798;"
45,"Vijfheerenlanden",0,0,"&#x2798;"
47,"Vlaardingen",2,5,"&#x2798;"
0,"Vlieland",0,0,"-"
5,"Vlissingen",0,0,"-"
8,"Voerendaal",0,0,"-"
12,"Voorschoten",0,1,"&#x279A;"
11,"Voorst",0,0,"-"
19,"Vught",0,1,"-"
18,"Waadhoeke",1,1,"&#x279A;"
9,"Waalre",0,0,"&#x2798;"
45,"Waalwijk",0,1,"&#x2798;"
7,"Waddinxveen",0,0,"-"
20,"Wageningen",0,0,"&#x2798;"
13,"Wassenaar",0,0,"-"
9,"Waterland",0,2,"&#x279A;"
21,"Weert",1,3,"&#x279A;"
15,"Weesp",0,1,"&#x279A;"
32,"West Betuwe",0,2,"&#x279A;"
15,"West Maas en Waal",0,4,"&#x279A;"
8,"Westerkwartier",1,2,"-"
5,"Westerveld",0,0,"&#x2798;"
7,"Westervoort",0,1,"&#x279A;"
3,"Westerwolde",0,0,"&#x2798;"
35,"Westland",0,1,"&#x2798;"
6,"Weststellingwerf",0,1,"&#x279A;"
1,"Westvoorne",0,0,"&#x2798;"
7,"Wierden",0,1,"&#x279A;"
22,"Wijchen",0,5,"&#x279A;"
5,"Wijdemeren",0,3,"&#x279A;"
7,"Wijk bij Duurstede",0,3,"&#x279A;"
5,"Winterswijk",0,1,"&#x279A;"
19,"Woensdrecht",2,4,"&#x279A;"
23,"Woerden",0,1,"&#x279A;"
12,"Wormerland",0,0,"-"
3,"Woudenberg",0,1,"&#x279A;"
77,"Zaanstad",0,4,"&#x2798;"
10,"Zaltbommel",0,0,"-"
9,"Zandvoort",0,0,"-"
6,"Zeewolde",0,0,"-"
32,"Zeist",0,2,"&#x279A;"
20,"Zevenaar",1,1,"&#x2798;"
20,"Zoetermeer",0,0,"&#x2798;"
1,"Zoeterwoude",0,0,"-"
23,"Zuidplas",0,0,"-"
11,"Zundert",0,0,"-"
14,"Zutphen",0,1,"&#x279A;"
22,"Zwartewaterland",0,0,"-"
45,"Zwijndrecht",1,7,"-"
56,"Zwolle",0,5,"&#x279A;"
