"municipality","Municipality_code","date","d0","d1","d7","d8","d14","dec1","lowest_since_dec1","lowest_since_dec1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d"
"Steenbergen","GM0851",2021-01-20,15,15,15,15,15,14,14,2020-12-01,15,0,0,0,0,"-",24315,0,0,0
"Waterland","GM0852",2021-01-20,14,14,14,14,14,14,14,2020-12-01,14,0,0,0,0,"-",17325,0,0,0
"Tilburg","GM0855",2021-01-20,262,262,259,255,252,207,207,2020-12-01,262,0,3,10,-57.1428571428571,"&#x2798;",221358,0,1.35527064754832,4.51756882516105
"Uden","GM0856",2021-01-20,75,75,74,74,70,70,70,2020-12-01,75,0,1,5,-75,"&#x2798;",42244,0,2.3672000757504,11.836000378752
"Valkenswaard","GM0858",2021-01-20,45,45,45,45,45,43,43,2020-12-01,45,0,0,0,0,"-",31253,0,0,0
"Veldhoven","GM0861",2021-01-20,34,33,33,32,30,25,25,2020-12-01,34,1,1,4,-66.6666666666667,"&#x2798;",45562,2.1948114656951,2.1948114656951,8.77924586278039
"Vught","GM0865",2021-01-20,49,49,49,46,40,24,24,2020-12-01,49,0,0,9,-100,"&#x2798;",30756,0,0,29.2625829106516
"Waalre","GM0866",2021-01-20,10,10,10,10,10,10,10,2020-12-01,10,0,0,0,0,"-",17519,0,0,0
"Waalwijk","GM0867",2021-01-20,72,71,71,71,69,53,53,2020-12-01,72,1,1,3,-50,"&#x2798;",48826,2.04808913283906,2.04808913283906,6.14426739851718
"Woensdrecht","GM0873",2021-01-20,21,21,21,21,21,21,21,2020-12-01,21,0,0,0,0,"-",22002,0,0,0
"Zundert","GM0879",2021-01-20,14,14,14,14,13,13,13,2020-12-01,14,0,0,1,-100,"&#x2798;",21995,0,0,4.54648783814503
"Wormerland","GM0880",2021-01-20,14,14,14,14,14,13,13,2020-12-01,14,0,0,0,0,"-",16295,0,0,0
"Landgraaf","GM0882",2021-01-20,41,41,38,38,36,18,18,2020-12-01,41,0,3,5,50,"&#x279A;",37325,0,8.03750837240455,13.3958472873409
"Beek","GM0888",2021-01-20,12,12,12,12,12,9,9,2020-12-01,12,0,0,0,0,"-",15872,0,0,0
"Beesel","GM0889",2021-01-20,10,10,10,10,10,9,9,2020-12-01,10,0,0,0,0,"-",13464,0,0,0
"Bergen (L.)","GM0893",2021-01-20,9,8,6,6,6,3,3,2020-12-01,9,1,3,3,300,"&#x279A;",13111,7.62718328121425,22.8815498436427,22.8815498436427
"Brunssum","GM0899",2021-01-20,34,34,33,33,32,21,21,2020-12-01,34,0,1,2,0,"-",27655,0,3.61598264328331,7.23196528656662
"Gennep","GM0907",2021-01-20,16,16,16,16,16,15,15,2020-12-01,16,0,0,0,0,"-",17019,0,0,0
"Heerlen","GM0917",2021-01-20,101,100,92,92,80,60,60,2020-12-01,101,1,9,21,-25,"&#x2798;",86829,1.15168895184789,10.365200566631,24.1854679888056
"Kerkrade","GM0928",2021-01-20,64,63,57,57,50,41,41,2020-12-01,64,1,7,14,0,"-",45499,2.19785050220884,15.3849535154619,30.7699070309238
"Maastricht","GM0935",2021-01-20,173,173,168,168,162,143,143,2020-12-01,173,0,5,11,-16.6666666666667,"&#x2798;",120379,0,4.15354837637794,9.13780642803147
"Meerssen","GM0938",2021-01-20,22,22,22,22,21,13,13,2020-12-01,22,0,0,1,-100,"&#x2798;",18710,0,0,5.34473543559594
"Mook en Middelaar","GM0944",2021-01-20,11,11,10,10,9,9,9,2020-12-01,11,0,1,2,0,"-",7901,0,12.6566257435768,25.3132514871535
"Nederweert","GM0946",2021-01-20,15,15,15,15,15,9,9,2020-12-01,15,0,0,0,0,"-",17171,0,0,0
"Roermond","GM0957",2021-01-20,34,34,29,29,29,26,26,2020-12-01,34,0,5,5,500,"&#x279A;",58784,0,8.50571584104518,8.50571584104518
"Simpelveld","GM0965",2021-01-20,5,5,5,5,5,5,5,2020-12-01,5,0,0,0,0,"-",10495,0,0,0
"Stein","GM0971",2021-01-20,18,18,18,18,18,16,16,2020-12-01,18,0,0,0,0,"-",24876,0,0,0
"Vaals","GM0981",2021-01-20,11,11,10,9,9,2,2,2020-12-01,11,0,1,2,0,"-",10113,0,9.88826263225551,19.776525264511
"Venlo","GM0983",2021-01-20,116,116,113,113,112,85,85,2020-12-01,116,0,3,4,200,"&#x279A;",101967,0,2.942128335638,3.92283778085067
"Venray","GM0984",2021-01-20,30,29,28,28,28,23,23,2020-12-01,30,1,2,2,200,"&#x279A;",43704,2.28812008054183,4.57624016108365,4.57624016108365
"Voerendaal","GM0986",2021-01-20,10,10,10,10,8,8,8,2020-12-01,10,0,0,2,-100,"&#x2798;",12478,0,0,16.0282096489822
"Weert","GM0988",2021-01-20,61,59,55,55,50,25,25,2020-12-01,61,2,6,11,20,"&#x279A;",50008,3.99936010238362,11.9980803071509,21.9964805631099
"Valkenburg aan de Geul","GM0994",2021-01-20,13,13,13,13,13,11,11,2020-12-01,13,0,0,0,0,"-",16399,0,0,0
"Lelystad","GM0995",2021-01-20,52,52,51,51,48,43,43,2020-12-01,52,0,1,4,-66.6666666666667,"&#x2798;",79703,0,1.25465791751879,5.01863167007515
"Horst aan de Maas","GM1507",2021-01-20,54,54,53,52,51,36,36,2020-12-01,54,0,1,3,-50,"&#x2798;",42464,0,2.35493594574228,7.06480783722683
"Oude IJsselstreek","GM1509",2021-01-20,32,31,27,27,27,15,15,2020-12-01,32,1,5,5,500,"&#x279A;",39348,2.5414252312697,12.7071261563485,12.7071261563485
