"municipality","Municipality_code","date","d0","d1","d7","d8","d14","dec1","lowest_since_dec1","lowest_since_dec1_date","current","increase_1d","increase_7d","increase_14d","increase_growth","growth","population","rel_increase_1d","rel_increase_7d","rel_increase_14d"
"Stichtse Vecht","GM1904",2021-01-20,54,53,46,46,44,25,25,2020-12-01,54,1,8,10,300,"&#x279A;",65142,1.53510791808664,12.2808633446931,15.3510791808664
"Hollands Kroon","GM1911",2021-01-20,14,14,14,14,9,7,7,2020-12-01,14,0,0,5,-100,"&#x2798;",48532,0,0,10.3024808373856
"Leidschendam-Voorburg","GM1916",2021-01-20,65,65,63,63,57,46,46,2020-12-01,65,0,2,8,-66.6666666666667,"&#x2798;",76451,0,2.61605472786491,10.4642189114596
"Goeree-Overflakkee","GM1924",2021-01-20,58,58,58,58,58,45,45,2020-12-01,58,0,0,0,0,"-",50567,0,0,0
"Pijnacker-Nootdorp","GM1926",2021-01-20,26,26,26,26,25,22,22,2020-12-01,26,0,0,1,-100,"&#x2798;",55592,0,0,1.79881997409699
"Nissewaard","GM1930",2021-01-20,69,69,67,66,64,46,46,2020-12-01,69,0,2,5,-33.3333333333333,"&#x2798;",85302,0,2.34461091181918,5.86152727954796
"Krimpenerwaard","GM1931",2021-01-20,58,58,56,56,55,50,50,2020-12-01,58,0,2,3,100,"&#x279A;",56559,0,3.53613041248961,5.30419561873442
"De Fryske Marren","GM1940",2021-01-20,15,15,14,14,13,11,11,2020-12-01,15,0,1,2,0,"-",51735,0,1.93292741857543,3.86585483715087
"Gooise Meren","GM1942",2021-01-20,27,27,27,26,22,20,20,2020-12-01,27,0,0,5,-100,"&#x2798;",58466,0,0,8.55197892792392
"Berg en Dal","GM1945",2021-01-20,38,38,37,37,36,34,34,2020-12-01,38,0,1,2,0,"-",35015,0,2.85591889190347,5.71183778380694
"Meierijstad","GM1948",2021-01-20,157,156,153,153,151,138,138,2020-12-01,157,1,4,6,100,"&#x279A;",81653,1.22469474483485,4.8987789793394,7.3481684690091
"Waadhoeke","GM1949",2021-01-20,25,25,24,24,23,22,22,2020-12-01,25,0,1,2,0,"-",46082,0,2.17004470292088,4.34008940584176
"Westerwolde","GM1950",2021-01-20,11,10,6,6,6,3,3,2020-12-01,11,1,5,5,500,"&#x279A;",26284,3.80459595190991,19.0229797595495,19.0229797595495
"Midden-Groningen","GM1952",2021-01-20,24,24,24,24,22,9,9,2020-12-01,24,0,0,2,-100,"&#x2798;",60745,0,0,3.29245205366697
"Beekdaelen","GM1954",2021-01-20,37,37,36,36,34,28,28,2020-12-01,37,0,1,3,-50,"&#x2798;",36073,0,2.77215646051063,8.31646938153189
"Montferland","GM1955",2021-01-20,14,14,13,13,12,12,12,2020-12-01,14,0,1,2,0,"-",36062,0,2.77300205202152,5.54600410404304
"Altena","GM1959",2021-01-20,63,63,63,63,60,36,36,2020-12-01,63,0,0,3,-100,"&#x2798;",56308,0,0,5.32783973858066
"West Betuwe","GM1960",2021-01-20,42,42,42,42,42,37,37,2020-12-01,42,0,0,0,0,"-",51489,0,0,0
"Vijfheerenlanden","GM1961",2021-01-20,56,56,55,55,55,52,52,2020-12-01,56,0,1,1,100,"&#x279A;",57786,0,1.73052296403973,1.73052296403973
"Hoeksche Waard","GM1963",2021-01-20,44,43,42,41,38,33,33,2020-12-01,44,1,2,6,-50,"&#x2798;",87963,1.136841626593,2.273683253186,6.821049759558
"Het Hogeland","GM1966",2021-01-20,19,18,17,17,17,6,6,2020-12-01,19,1,2,2,200,"&#x279A;",47859,2.08947115485071,4.17894230970141,4.17894230970141
"Westerkwartier","GM1969",2021-01-20,13,13,12,12,11,8,8,2020-12-01,13,0,1,2,0,"-",63603,0,1.5722528811534,3.14450576230681
"Noardeast-Fryslân","GM1970",2021-01-20,19,19,18,17,16,6,6,2020-12-01,19,0,1,3,-50,"&#x2798;",45479,0,2.1988170364344,6.59645110930319
"Molenlanden","GM1978",2021-01-20,21,21,21,21,20,16,16,2020-12-01,21,0,0,1,-100,"&#x2798;",44105,0,0,2.26731663076749
"Eemsdelta","GM1979",2021-01-20,10,10,10,10,9,1,1,2020-12-01,10,0,0,1,-100,"&#x2798;",45606,0,0,2.19269394377933
