"date","cases","hospitalization","deaths","positivetests","hospital_intake_rivm","Hospital_Intake_Proven","Hospital_Intake_Suspected","IC_Intake_Proven","IC_Intake_Suspected","IC_Current","ICs_Used","IC_Cumulative","Hospital_Currently","IC_Deaths_Cumulative","IC_Discharge_Cumulative","IC_Discharge_InHospital","Hospital_Cumulative","Hospital_Intake","IC_Intake","Hosp_Intake_Suspec_Cumul","IC_Intake_Suspected_Cumul","IC_Intake_Proven_Cumsum","new.infection","corrections.cases","net.infection","new.hospitals","corrections.hospitals","net.hospitals","new.deaths","corrections.deaths","net.deaths","positive_7daverage","infections.today.nursery","infections.total.nursery","deaths.today.nursery","deaths.total.nursery","mutations.locations.nursery","total.current.locations.nursery","values.tested_total","values.infected","values.infected_percentage","pos.rate.3d.avg","IC_Bedden_COVID","IC_Bedden_Non_COVID","Kliniek_Bedden","IC_Nieuwe_Opnames_COVID","Kliniek_Nieuwe_Opnames_COVID","Totaal_bezetting","IC_Opnames_7d","Kliniek_Opnames_7d","Totaal_opnames","Totaal_opnames_7d","Totaal_IC","IC_opnames_14d","Kliniek_opnames_14d","OMT_Check_IC","OMT_Check_Kliniek"
2020-10-05,140471,12940,6461,4579,59,165,5,28,0,219,67,3415,973,935,2144,71,14313,170,28,2242,94,3312,4603,-24,4579,59,0,59,7,0,7,3720,NA,NA,NA,NA,NA,NA,37933,5156,13.592386576332,12.8,177,516,715,NA,NA,892,NA,NA,NA,NA,693,NA,NA,NA,NA
2020-10-06,144999,13020,6482,4528,80,156,3,34,0,241,69,3449,1017,937,2156,74,14455,159,34,2245,94,3346,4541,-13,4528,81,-1,80,22,-1,21,3938,NA,NA,NA,NA,NA,NA,41151,5795,14.0822823260674,13.6,190,576,785,NA,NA,975,NA,NA,NA,NA,766,NA,NA,NA,NA
2020-10-07,149988,13083,6518,4989,63,148,4,29,1,254,69,3479,1039,941,2165,76,14596,152,30,2249,95,3375,5003,-14,4989,63,0,63,36,0,36,4178,NA,NA,NA,NA,NA,NA,42186,5473,12.9734983169772,13.5,210,580,811,NA,NA,1021,NA,NA,NA,NA,790,NA,NA,NA,NA
2020-10-08,155810,13133,6531,5822,50,158,4,22,0,259,69,3501,1064,944,2172,77,14742,162,22,2253,95,3397,5836,-14,5822,51,-1,50,13,0,13,4544,NA,NA,NA,NA,NA,NA,43095,6017,13.962176586611,13.7,228,563,842,NA,NA,1070,NA,NA,NA,NA,791,NA,NA,NA,NA
2020-10-09,161781,13199,6544,5971,66,207,6,28,0,276,70,3529,1137,955,2182,83,14934,213,28,2259,95,3425,5983,-12,5971,66,0,66,15,-2,13,4850,NA,NA,NA,NA,NA,NA,43215,6031,13.9558023834317,13.6,239,564,900,NA,NA,1139,NA,NA,NA,NA,803,NA,NA,NA,NA
2020-10-10,168280,13248,6567,6499,49,147,3,27,0,276,70,3556,1116,958,2192,82,15067,150,27,2262,95,3452,6528,-29,6499,50,-1,49,23,0,23,5215,NA,NA,NA,NA,NA,NA,38894,5799,14.9097547179514,14.3,235,520,955,NA,NA,1190,NA,NA,NA,NA,755,NA,NA,NA,NA
2020-10-11,174653,13301,6584,6373,53,157,3,19,0,282,69,3575,1172,965,2196,91,15219,160,19,2265,95,3471,6388,-15,6373,54,-1,53,18,-1,17,5555,NA,NA,NA,NA,NA,NA,35782,5511,15.401598569113,14.7,247,489,986,NA,NA,1233,NA,NA,NA,NA,736,NA,NA,NA,NA
2020-10-12,181498,13359,6596,6845,58,239,3,41,0,305,69,3616,1318,969,2206,91,15435,242,41,2268,95,3512,6866,-21,6845,58,0,58,12,0,12,5878,NA,NA,NA,NA,NA,NA,42595,6955,16.3282075360958,15.6,252,494,1046,NA,NA,1298,NA,NA,NA,NA,746,NA,NA,NA,NA
2020-10-13,188876,13470,6631,7378,111,247,6,36,0,324,73,3652,1418,972,2219,91,15665,253,36,2274,95,3548,7383,-5,7378,111,0,111,35,0,35,6284,NA,NA,NA,NA,NA,NA,44901,6912,15.3938665063139,15.7,277,542,1133,NA,NA,1410,NA,NA,NA,NA,819,NA,NA,NA,NA
2020-10-14,196163,13544,6663,7287,74,202,4,35,0,343,73,3687,1412,978,2226,97,15848,206,35,2278,95,3583,7311,-24,7287,76,-2,74,32,0,32,6614,NA,NA,NA,NA,NA,NA,46380,6927,14.9353169469599,15.5,301,527,1174,NA,NA,1475,NA,NA,NA,NA,828,NA,NA,NA,NA
2020-10-15,203954,13618,6692,7791,74,216,7,36,3,362,73,3725,1441,980,2235,107,16042,223,39,2285,98,3619,7908,-117,7791,77,-3,74,29,0,29,6910,NA,NA,NA,NA,NA,NA,47082,6673,14.1731447262223,14.8,313,503,1213,NA,NA,1526,NA,NA,NA,NA,816,NA,NA,NA,NA
2020-10-16,211938,13703,6708,7984,85,225,6,56,0,400,74,3781,1495,992,2256,107,16243,231,56,2291,98,3675,7993,-9,7984,86,-1,85,18,-2,16,7197,NA,NA,NA,NA,NA,NA,47125,6544,13.8864721485411,14.3,345,524,1208,NA,NA,1553,NA,NA,NA,NA,869,NA,NA,NA,NA
2020-10-17,220052,13783,6737,8114,80,214,3,30,0,394,75,3811,1484,998,2262,111,16437,217,30,2294,98,3705,8148,-34,8114,80,0,80,30,-1,29,7428,NA,NA,NA,NA,NA,NA,43427,6471,14.9008681235176,14.3,352,492,1216,42,216,1568,NA,NA,258,NA,844,NA,NA,NA,NA
2020-10-18,228234,13852,6751,8182,69,182,5,41,0,416,75,3852,1512,1003,2267,122,16597,187,41,2299,98,3746,8231,-49,8182,70,-1,69,14,0,14,7691,NA,NA,NA,NA,NA,NA,40339,6669,16.5323880116017,15,364,460,1288,28,206,1652,NA,NA,234,NA,824,NA,NA,NA,NA
2020-10-19,236226,13936,6768,7992,84,283,11,59,1,454,76,3912,1665,1008,2278,130,16853,294,60,2310,99,3805,8023,-31,7992,85,-1,84,17,0,17,7857,NA,NA,NA,NA,NA,NA,48269,8583,17.7815989558516,16.5,379,445,1359,38,184,1738,NA,NA,222,NA,824,NA,NA,NA,NA
2020-10-20,244391,14029,6814,8165,93,244,15,49,1,480,75,3962,1726,1016,2296,132,17076,259,50,2325,100,3854,8188,-23,8165,93,0,93,46,0,46,7972,NA,NA,NA,NA,NA,NA,49940,8393,16.8061674008811,17.1,419,480,1440,55,252,1859,NA,NA,307,NA,899,NA,NA,NA,NA
2020-10-21,253134,14130,6873,8743,101,269,3,49,0,496,75,4011,1756,1026,2309,139,17319,272,49,2328,100,3903,8788,-45,8743,101,0,101,60,-1,59,8183,NA,NA,NA,NA,NA,NA,48915,8248,16.8619033016457,17.1,450,456,1493,52,232,1943,NA,NA,284,NA,906,NA,NA,NA,NA
2020-10-22,262405,14240,6919,9271,110,274,5,43,0,509,75,4054,1824,1034,2330,148,17571,279,43,2333,100,3946,9286,-15,9271,111,-1,110,48,-2,46,8380,NA,NA,NA,NA,NA,NA,48891,8929,18.2630750035794,17.3,463,460,1540,56,238,2003,NA,NA,294,NA,923,NA,NA,NA,NA
2020-10-23,272401,14352,6964,9996,112,312,11,53,0,523,75,4107,1909,1053,2348,144,17863,323,53,2344,100,3999,10007,-11,9996,112,0,112,46,-1,45,8667,NA,NA,NA,NA,NA,NA,47524,8836,18.5927110512583,17.9,472,476,1601,43,248,2073,44.8571428571429,225.142857142857,291,270,948,NA,NA,NA,NA
2020-10-24,281052,14444,7019,8651,92,204,7,38,1,529,75,4146,1838,1060,2359,160,18047,211,39,2351,101,4037,8676,-25,8651,92,0,92,55,0,55,8743,NA,NA,NA,NA,NA,NA,41062,8612,20.9731625347036,19.2,501,431,1614,52,284,2115,46.2857142857143,234.857142857143,336,281.142857142857,932,NA,NA,NA,NA
2020-10-25,291254,14553,7046,10202,109,250,7,48,0,545,74,4194,1907,1076,2369,167,18270,257,48,2358,101,4085,10210,-8,10202,110,-1,109,27,0,27,9025,NA,NA,NA,NA,NA,NA,37426,7512,20.0716079730669,19.8,490,419,1657,28,191,2147,46.2857142857143,232.714285714286,219,279,909,NA,NA,NA,NA
2020-10-26,301597,14630,7072,10343,77,338,3,59,0,571,76,4253,2066,1082,2387,183,18568,341,59,2361,101,4144,10386,-43,10343,78,-1,77,27,-1,26,9363,NA,NA,NA,NA,NA,NA,46917,8577,18.2812200268559,19.7,506,431,1743,49,291,2249,47.8571428571429,248,340,295.857142857143,937,NA,NA,NA,NA
2020-10-27,311889,14739,7142,10292,109,288,3,50,0,583,77,4303,2071,1094,2414,176,18825,291,50,2364,101,4194,10449,-157,10292,109,0,109,71,-1,70,9686,NA,NA,NA,NA,NA,NA,47626,8192,17.2006886994499,18.4,529,456,1829,53,311,2358,47.5714285714286,256.428571428571,364,304,985,NA,NA,NA,NA
2020-10-28,319991,14830,7202,8102,91,280,7,51,0,601,76,4354,2054,1100,2436,186,19081,287,51,2371,101,4245,8147,-45,8102,92,-1,91,61,-1,60,9594,NA,NA,NA,NA,NA,NA,47734,7396,15.4941970084217,17,545,462,1831,57,313,2376,48.2857142857143,268,370,316.285714285714,1007,NA,NA,NA,NA
2020-10-29,330255,14910,7258,10264,80,270,10,46,1,612,76,4401,2023,1109,2456,188,19321,280,47,2381,102,4291,10301,-37,10264,80,0,80,57,-1,56,9739,NA,NA,NA,NA,NA,NA,47551,7261,15.2699207167042,16,553,470,1831,47,269,2384,47,272.428571428571,316,319.428571428571,1023,NA,NA,NA,NA
2020-10-30,341374,15016,7345,11119,106,287,13,42,0,619,75,4443,2044,1121,2479,192,19587,300,42,2394,102,4333,11143,-24,11119,106,0,106,88,-1,87,9902,NA,NA,NA,NA,NA,NA,44526,6928,15.5594484121637,15.4,567,447,1818,37,250,2385,46.1428571428571,272.714285714286,287,318.857142857143,1014,44.8571428571429,225.142857142857,103,121
2020-10-31,351178,15133,7395,9804,117,201,6,48,0,626,76,4491,1968,1138,2488,199,19770,207,48,2400,102,4381,9839,-35,9804,119,-2,117,51,-1,50,10068,NA,NA,NA,NA,NA,NA,35389,5878,16.6096809743141,15.7,584,452,1864,76,314,2448,49.5714285714286,277,390,326.571428571429,1036,46.2857142857143,234.857142857143,107,118
2020-11-01,359861,15242,7434,8683,109,221,3,43,0,634,77,4534,1989,1149,2496,215,19966,224,43,2403,102,4424,8740,-57,8683,111,-2,109,39,0,39,9858,NA,NA,NA,NA,NA,NA,29157,5249,18.0025379840176,16.6,583,446,1910,58,237,2493,53.8571428571429,283.571428571429,295,337.428571428571,1029,46.2857142857143,232.714285714286,116,122
2020-11-02,368147,15331,7463,8286,89,383,12,59,0,659,77,4594,2200,1158,2522,219,20316,395,59,2415,102,4483,8306,-20,8286,91,-2,89,29,0,29,9561,NA,NA,NA,NA,NA,NA,45195,7182,15.8911384002655,16.7,587,415,1958,47,239,2545,53.5714285714286,276.142857142857,286,329.714285714286,1002,47.8571428571429,248,112,111
2020-11-03,375890,15434,7576,7743,103,237,5,32,1,655,77,4627,2146,1169,2549,216,20527,242,33,2420,103,4515,7776,-33,7743,103,0,103,113,0,113,9179,NA,NA,NA,NA,NA,NA,40685,5938,14.5950596042768,16,609,449,2044,59,364,2653,54.4285714285714,283.714285714286,423,338.142857142857,1058,47.5714285714286,256.428571428571,114,111
2020-11-04,383523,15533,7682,7633,99,247,5,40,0,661,76,4667,2082,1182,2578,212,20737,252,40,2425,103,4555,7657,-24,7633,102,-3,99,106,0,106,9109,NA,NA,NA,NA,NA,NA,40037,5675,14.1743886904613,14.9,612,475,1960,50,236,2572,53.4285714285714,272.714285714286,286,326.142857142857,1087,48.2857142857143,268,111,102
2020-11-05,390488,15632,7769,6965,99,240,4,36,0,656,76,4703,2007,1198,2610,202,20952,244,36,2429,103,4591,6996,-31,6965,101,-2,99,87,0,87,8637,NA,NA,NA,NA,NA,NA,38547,5163,13.3940384465717,14.1,607,476,1905,35,261,2512,51.7142857142857,271.571428571429,296,323.285714285714,1083,47,272.428571428571,110,100
2020-11-06,397730,15721,7887,7242,89,240,9,35,0,652,76,4738,1932,1214,2637,207,21174,249,35,2438,103,4626,7272,-30,7242,94,-5,89,118,0,118,8084,NA,NA,NA,NA,NA,NA,34563,4685,13.5549576136331,13.7,603,477,1842,33,180,2445,51.1428571428571,261.571428571429,213,312.714285714286,1080,46.1428571428571,272.714285714286,111,96
2020-11-07,404401,15842,7960,6671,121,153,9,39,0,643,76,4777,1783,1226,2646,222,21304,162,39,2447,103,4665,6689,-18,6671,123,-2,121,73,0,73,7634,175,15750,34,3850,-3,659,26145,3880,14.8403136354944,13.8,602,466,1782,37,248,2384,45.5714285714286,252.142857142857,285,297.714285714286,1068,49.5714285714286,277,92,91
2020-11-08,410065,15936,8004,5664,94,160,2,44,0,648,76,4821,1764,1237,2656,241,21435,162,44,2449,103,4709,5703,-39,5664,98,-4,94,44,0,44,7200,136,15886,20,3870,-4,663,22263,3358,15.0833221039393,14.4,598,431,1697,36,149,2295,42.4285714285714,239.571428571429,185,282,1029,53.8571428571429,283.571428571429,79,84
2020-11-09,414745,15990,8043,4680,54,290,6,41,0,649,77,4862,1904,1250,2690,229,21698,296,41,2455,103,4750,4709,-29,4680,57,-3,54,40,-1,39,6686,121,16007,15,3885,-5,658,41080,5185,12.6217137293087,13.9,600,444,1717,40,177,2317,41.4285714285714,230.714285714286,217,272.142857142857,1044,53.5714285714286,276.142857142857,77,84
2020-11-10,419412,16064,8141,4667,74,226,7,37,0,652,77,4899,1845,1265,2719,226,21894,233,37,2462,103,4787,4695,-28,4667,75,-1,74,98,0,98,6246,132,16139,50,3935,0,658,38978,5042,12.9355020780953,13.3,598,487,1697,39,258,2295,38.5714285714286,215.571428571429,297,254.142857142857,1085,54.4285714285714,283.714285714286,71,76
2020-11-11,424819,16136,8215,5407,72,235,3,36,0,647,77,4935,1802,1276,2748,220,22097,238,36,2465,103,4823,5424,-17,5407,75,-3,72,76,-2,74,5927,141,16280,41,3976,-1,669,36402,5022,13.795945277732,13.1,606,480,1671,36,230,2277,36.5714285714286,214.714285714286,266,251.285714285714,1086,53.4285714285714,272.714285714286,68,79
2020-11-12,430453,16228,8304,5634,92,206,9,41,0,652,77,4976,1753,1288,2775,211,22276,215,41,2474,103,4864,5658,-24,5634,93,-1,92,89,0,89,5736,194,16474,50,4026,1,679,35187,4685,13.3145764060591,13.3,595,496,1606,31,220,2201,36,208.857142857143,251,244.857142857143,1091,51.7142857142857,271.571428571429,70,77
2020-11-13,436544,16315,8358,6091,87,245,6,31,0,654,77,5007,1735,1303,2815,209,22495,251,31,2480,103,4895,6109,-18,6091,87,0,87,54,0,54,5570,224,16698,19,4045,-1,677,32127,4564,14.2061194633797,13.8,609,485,1572,32,170,2181,35.8571428571429,207.428571428571,202,243.285714285714,1094,51.1428571428571,261.571428571429,70,79
2020-11-14,442458,16407,8443,5914,92,141,3,22,1,622,77,5030,1602,1314,2822,223,22614,144,23,2483,104,4917,5941,-27,5914,97,-5,92,86,-1,85,5463,191,16889,38,4083,-2,681,23751,3625,15.2625152625153,14.1,595,457,1530,32,163,2125,35.1428571428571,195.285714285714,195,230.428571428571,1052,45.5714285714286,252.142857142857,77,77
2020-11-15,447871,16503,8486,5413,96,147,9,34,0,624,76,5064,1598,1332,2831,238,22744,156,34,2492,104,4951,5457,-44,5413,99,-3,96,45,-2,43,5428,181,17070,25,4108,-1,682,20522,3362,16.3824188675568,15.1,586,437,1509,22,150,2095,33.1428571428571,195.428571428571,172,228.571428571429,1023,42.4285714285714,239.571428571429,78,82
2020-11-16,452701,16589,8530,4830,86,252,16,37,0,621,76,5101,1743,1348,2857,238,22969,268,37,2508,104,4988,4873,-43,4830,86,0,86,45,-1,44,5451,154,17224,22,4130,-3,677,40017,5061,12.6471249718869,14.3,573,463,1557,29,173,2130,31.5714285714286,194.857142857143,202,226.428571428571,1036,41.4285714285714,230.714285714286,76,84
2020-11-17,457003,16668,8616,4302,79,200,11,29,0,607,76,5130,1716,1364,2889,234,23150,211,29,2519,104,5017,4320,-18,4302,79,0,79,88,-2,86,5397,136,17360,44,4174,3,665,39287,4849,12.3425051543768,13.3,576,473,1570,38,256,2146,31.4285714285714,194.571428571429,294,226,1049,38.5714285714286,215.571428571429,81,90
2020-11-18,461612,16772,8698,4609,104,192,7,32,0,592,76,5162,1660,1377,2915,231,23320,199,32,2526,104,5049,4628,-19,4609,107,-3,104,84,-2,82,5284,204,17564,41,4215,-1,664,42534,4871,11.4520148587013,12.1,559,488,1528,27,192,2087,30.1428571428571,189.142857142857,219,219.285714285714,1047,36.5714285714286,214.714285714286,82,88
2020-11-19,467257,16865,8771,5645,93,188,13,39,0,594,76,5201,1595,1390,2945,228,23486,201,39,2539,104,5088,5725,-80,5645,96,-3,93,75,-2,73,5293,170,17734,44,4259,2,666,41331,4733,11.4514529045995,11.7,555,501,1475,37,224,2030,31,189.714285714286,261,220.714285714286,1056,36,208.857142857143,86,91
2020-11-20,473190,16929,8822,5933,64,169,5,28,1,585,76,5230,1506,1404,2974,221,23637,174,29,2544,105,5116,5974,-41,5933,64,0,64,51,0,51,5274,174,17908,26,4285,-2,660,37206,4490,12.0679460302102,11.6,547,496,1414,35,217,1961,31.4285714285714,196.428571428571,252,227.857142857143,1043,35.8571428571429,207.428571428571,88,95
2020-11-21,479260,17011,8870,6070,82,140,3,20,0,570,76,5250,1411,1417,2980,229,23764,143,20,2547,105,5136,6093,-23,6070,83,-1,82,48,0,48,5296,210,18118,21,4306,-3,656,28423,3486,12.2647151954403,11.9,550,475,1352,45,185,1902,33.2857142857143,199.571428571429,230,232.857142857143,1025,35.1428571428571,195.285714285714,95,102
2020-11-22,484648,17078,8891,5388,67,166,7,25,0,567,76,5275,1444,1431,2987,231,23915,173,25,2554,105,5161,5407,-19,5388,68,-1,67,21,0,21,5289,165,18283,11,4317,0,647,25174,3057,12.1434813696671,12.2,540,447,1393,26,170,1933,33.8571428571429,202.428571428571,196,236.285714285714,987,33.1428571428571,195.428571428571,102,104
2020-11-23,489818,17128,8945,5170,50,218,8,25,0,569,76,5300,1573,1448,3017,225,24112,226,25,2562,105,5186,5214,-44,5170,51,-1,50,54,0,54,5337,123,18406,23,4340,-3,645,44862,4828,10.7618920244305,11.5,536,451,1432,23,151,1968,33,199.285714285714,174,232.285714285714,987,31.5714285714286,194.857142857143,105,102
2020-11-24,493744,17209,9035,3926,81,153,13,34,0,562,76,5335,1526,1462,3046,219,24254,166,34,2575,105,5220,3979,-53,3926,82,-1,81,90,0,90,5289,103,18509,49,4389,-1,635,43793,4539,10.3646701527641,10.9,526,491,1399,32,223,1925,32.1428571428571,194.571428571429,255,226.714285714286,1017,31.4285714285714,194.571428571429,102,100
2020-11-25,498653,17283,9109,4909,74,161,4,41,1,568,77,5376,1455,1476,3073,212,24386,165,42,2579,106,5261,4947,-38,4909,77,-3,74,74,0,74,5334,159,18668,38,4427,-2,627,41590,4470,10.7477759076701,10.6,529,515,1310,39,150,1839,33.8571428571429,188.571428571429,189,222.428571428571,1044,30.1428571428571,189.142857142857,112,100
2020-11-26,503123,17347,9184,4470,64,190,7,30,0,563,76,5406,1462,1490,3094,210,24554,197,30,2586,106,5291,4506,-36,4470,64,0,64,76,-1,75,5160,186,18854,39,4466,-2,621,40797,4431,10.8610927274064,10.7,524,516,1257,33,192,1781,33.2857142857143,184,225,217.285714285714,1040,31,189.714285714286,107,97
2020-11-27,508866,17424,9267,5743,77,178,10,18,0,547,75,5424,1452,1498,3126,198,24718,188,18,2596,106,5309,5790,-47,5743,78,-1,77,84,-1,83,5134,169,19023,48,4514,-1,618,36894,4080,11.0587087331273,10.9,518,513,1251,23,188,1769,31.5714285714286,179.857142857143,211,211.428571428571,1031,31.4285714285714,196.428571428571,100,92
2020-11-28,513325,17493,9326,4459,69,101,3,21,0,540,75,5445,1353,1512,3134,207,24800,104,21,2599,106,5330,4499,-40,4459,71,-2,69,59,0,59,4906,176,19199,37,4551,0,606,27063,3306,12.2159405830839,11.3,511,483,1200,19,166,1711,27.8571428571429,177.142857142857,185,205,994,33.2857142857143,199.571428571429,84,89
2020-11-29,518910,17566,9349,5585,73,119,3,18,0,525,75,5464,1359,1522,3138,223,24909,122,18,2602,106,5348,5609,-24,5585,77,-4,73,25,-2,23,4935,162,19361,12,4563,-5,604,23860,3077,12.8960603520536,11.9,506,450,1194,18,112,1700,26.7142857142857,168.857142857143,130,195.571428571429,956,33.8571428571429,202.428571428571,79,83
2020-11-30,523478,17618,9376,4568,52,173,6,24,2,521,75,5490,1445,1534,3167,219,25056,179,26,2608,108,5372,4610,-42,4568,54,-2,52,29,-2,27,4849,113,19474,20,4583,1,594,47470,5008,10.5498209395408,11.6,481,475,1240,18,134,1721,26,166.428571428571,152,192.428571428571,956,33,199.285714285714,79,84
2020-12-01,527523,17677,9438,4045,59,151,3,30,0,513,75,5520,1402,1545,3189,217,25188,154,30,2611,108,5402,4073,-28,4045,61,-2,59,62,0,62,4862,121,19595,33,4616,-2,579,51570,5184,10.0523560209424,10.8,478,506,1205,20,187,1683,24.2857142857143,161.285714285714,207,185.571428571429,984,32.1428571428571,194.571428571429,76,83
2020-12-02,532444,17736,9504,4921,59,169,4,30,0,514,75,5550,1368,1557,3212,222,25331,173,30,2615,108,5432,4942,-21,4921,63,-4,59,66,0,66,4861,168,19763,38,4654,0,576,52653,5607,10.6489658708905,10.4,475,531,1131,25,142,1606,22.2857142857143,160.142857142857,167,182.428571428571,1006,33.8571428571429,188.571428571429,66,85
2020-12-03,538050,17809,9565,5606,73,185,3,30,0,502,75,5580,1374,1564,3229,220,25492,188,30,2618,108,5462,5641,-35,5606,74,-1,73,61,0,61,5023,195,19958,32,4686,-3,578,52189,5958,11.4161988158424,10.7,458,557,1137,21,153,1595,20.5714285714286,154.571428571429,174,175.142857142857,1015,33.2857142857143,184,62,84
2020-12-04,543924,17862,9623,5874,53,203,10,33,0,513,76,5613,1405,1575,3262,205,25673,213,33,2628,108,5495,5935,-61,5874,55,-2,53,58,0,58,5044,222,20180,34,4720,1,569,47495,5946,12.5192125486893,11.5,473,550,1152,28,189,1625,21.2857142857143,154.714285714286,217,176,1023,31.5714285714286,179.857142857143,67,86
2020-12-05,550445,17922,9662,6521,60,145,5,25,0,507,76,5638,1355,1585,3266,213,25807,150,25,2633,108,5520,6577,-56,6521,62,-2,60,39,0,39,5341,213,20393,18,4738,-8,562,32227,4484,13.9137989884259,12.4,472,516,1130,31,189,1602,23,158,220,181,988,27.8571428571429,177.142857142857,83,89
2020-12-06,557224,17974,9687,6779,52,140,5,28,0,511,76,5666,1395,1596,3272,221,25927,145,28,2638,108,5548,6814,-35,6779,52,0,52,25,0,25,5513,193,20586,16,4754,-1,571,37017,5215,14.0881216738255,13.4,469,502,1172,21,160,1641,23.4285714285714,164.857142857143,181,188.285714285714,971,26.7142857142857,168.857142857143,88,98
2020-12-07,564291,18047,9704,7067,73,220,8,21,0,506,75,5687,1506,1604,3296,219,26137,228,21,2646,108,5569,7134,-67,7067,75,-2,73,19,-2,17,5874,166,20752,7,4761,-4,568,61315,7078,11.5436679442225,12.9,470,501,1190,24,150,1660,24.2857142857143,167.142857142857,174,191.428571428571,971,26,166.428571428571,93,100
2020-12-08,570437,18118,9775,6146,71,179,8,41,0,517,75,5728,1489,1617,3324,214,26293,187,41,2654,108,5610,6187,-41,6146,72,-1,71,71,0,71,6176,144,20896,41,4802,-2,561,61593,7234,11.7448411345445,12.2,464,553,1236,22,206,1700,24.5714285714286,169.857142857143,228,194.428571428571,1017,24.2857142857143,161.285714285714,101,105
2020-12-09,576965,18194,9841,6528,76,180,6,32,0,509,76,5760,1471,1628,3352,205,26449,186,32,2660,108,5642,6589,-61,6528,77,-1,76,66,0,66,6411,227,21123,32,4834,-1,576,70847,7928,11.1903115163663,11.5,473,552,1211,36,194,1684,26.1428571428571,177.285714285714,230,203.428571428571,1025,22.2857142857143,160.142857142857,117,111
2020-12-10,585685,18265,9902,8720,71,200,7,33,1,515,76,5794,1470,1637,3373,211,26628,207,34,2667,109,5675,8793,-73,8720,73,-2,71,64,-3,61,6861,294,21417,32,4866,-5,583,70200,8174,11.6438746438746,11.5,469,533,1179,26,198,1648,26.8571428571429,183.714285714286,224,210.571428571429,1002,20.5714285714286,154.571428571429,131,119
2020-12-11,594523,18319,9966,8838,54,258,11,36,0,511,76,5830,1543,1645,3395,204,26860,269,36,2678,109,5711,8894,-56,8838,59,-5,54,65,-1,64,7284,359,21776,27,4893,0,591,68998,8508,12.3307921968753,11.7,472,547,1209,30,199,1681,27.1428571428571,185.142857142857,229,212.285714285714,1019,21.2857142857143,154.714285714286,128,120
2020-12-12,603603,18396,10019,9080,77,156,3,22,0,508,75,5852,1518,1652,3403,205,27005,159,22,2681,109,5733,9182,-102,9080,80,-3,77,53,0,53,7656,267,22043,27,4920,-6,591,57923,7496,12.9413186471695,12.3,481,510,1242,37,247,1723,28,193.428571428571,284,221.428571428571,991,23,158,122,122
2020-12-13,613487,18477,10048,9884,81,179,9,42,0,532,75,5894,1571,1660,3405,216,27161,188,42,2690,109,5775,9924,-40,9884,83,-2,81,29,0,29,8100,259,22302,13,4933,-2,599,51471,7040,13.6776048648754,12.9,497,478,1270,36,166,1767,30.1428571428571,194.285714285714,202,224.428571428571,975,23.4285714285714,164.857142857143,129,118
2020-12-14,621944,18552,10082,8457,75,277,10,24,1,538,75,5919,1741,1667,3434,212,27418,287,25,2700,110,5799,8496,-39,8457,75,0,75,35,-1,34,8295,227,22529,18,4951,-2,602,73823,9831,13.3169879305907,13.3,503,523,1369,36,184,1872,31.8571428571429,199.142857142857,220,231,1026,24.2857142857143,167.142857142857,131,119
2020-12-15,628577,18618,10168,6633,66,220,3,45,1,552,76,5965,1736,1674,3454,213,27600,223,46,2703,111,5844,6682,-49,6633,66,0,66,86,0,86,8366,174,22703,60,5011,-4,601,72924,9434,12.9367560748176,13.3,524,530,1430,46,262,1954,35.2857142857143,207.142857142857,308,242.428571428571,1054,24.5714285714286,169.857142857143,144,122
2020-12-16,639746,18684,10245,11169,66,247,6,36,0,562,76,6001,1767,1689,3481,195,27827,253,36,2709,111,5880,11214,-45,11169,66,0,66,77,0,77,9026,336,23039,45,5056,-4,615,75359,10256,13.6095224193527,13.3,526,544,1438,28,142,1964,34.1428571428571,199.714285714286,170,233.857142857143,1070,26.1428571428571,177.285714285714,131,113
2020-12-17,652525,18779,10321,12779,95,256,11,48,0,586,76,6049,1812,1698,3506,192,28067,267,48,2720,111,5928,12844,-65,12779,97,-2,95,77,-1,76,9605,431,23470,45,5101,-3,634,71492,9854,13.7833603759861,13.4,536,507,1467,38,221,2003,35.8571428571429,203,259,238.857142857143,1043,26.8571428571429,183.714285714286,134,110
2020-12-18,664456,18864,10405,11931,85,287,5,38,1,593,77,6088,1867,1705,3530,193,28332,292,39,2725,112,5966,12028,-97,11931,86,-1,85,85,-1,84,10053,392,23862,50,5151,-4,642,67523,9611,14.2336685277609,13.9,549,497,1485,52,264,2034,39,212.285714285714,316,251.285714285714,1046,27.1428571428571,185.142857142857,144,115
2020-12-19,676673,18969,10459,12217,105,183,6,43,0,604,77,6131,1773,1717,3534,212,28493,189,43,2731,112,6009,12282,-65,12217,105,0,105,56,-2,54,10496,373,24235,30,5181,-2,652,60920,8595,14.1086671043992,14,560,483,1505,45,290,2065,40.1428571428571,218.428571428571,335,258.571428571429,1043,28,193.428571428571,143,113
2020-12-20,689705,19068,10491,13032,99,192,4,55,0,626,77,6186,1790,1733,3542,222,28655,196,55,2735,112,6064,13066,-34,13032,102,-3,99,32,0,32,10945,349,24584,15,5196,-1,677,56395,7833,13.8895292135828,14.1,580,431,1533,36,218,2113,40.1428571428571,225.857142857143,254,266,1011,30.1428571428571,194.285714285714,133,116
