"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","R_est_up","R_est_low","diff"
"1",2021-01-08,0.837333621801421,0.00126011748904777,0.92,"0.90","0.95",0.91236962726223,0.00157259439524993,0.91545191227692,0.909287342247541,-0.01
"2",2021-01-09,0.866949790411186,0.00159185013194696,0.94,"0.92","0.97",0.942624362466653,0.000923445614916921,0.944434315871891,0.940814409061416,0
"3",2021-01-10,0.91236962726223,0.00157259439524993,0.94,"0.91","0.97",0.952109802857717,0.0019337935790334,0.955900038272622,0.948319567442811,0.01
"4",2021-01-11,0.942624362466653,0.000923445614916921,0.92,"0.90","0.95",0.93314118274484,0.0019207360948004,0.936905825490649,0.929376539999031,0.01
"5",2021-01-12,0.952109802857717,0.0019337935790334,0.92,"0.90","0.95",0.93127317729255,0.00175781726019098,0.934718499122525,0.927827855462576,0.01
"6",2021-01-13,0.93314118274484,0.0019207360948004,0.93,"0.91","0.96",0.929338595285128,0.00112622887073993,0.931546003871778,0.927131186698477,0
"7",2021-01-14,0.93127317729255,0.00175781726019098,0.95,"0.92","0.98",0.943610133670612,0.00174846546168614,0.947037125975517,0.940183141365707,-0.01
"8",2021-01-15,0.929338595285128,0.00112622887073993,0.96,"0.94","0.99",0.954532374481885,0.00104641866460281,0.956583355064506,0.952481393899263,-0.01
"9",2021-01-16,0.943610133670612,0.00174846546168614,0.97,"0.94","0.99",0.960335878515139,0.00127101930395324,0.962827076350887,0.957844680679391,-0.01
"10",2021-01-17,0.954532374481885,0.00104641866460281,0.94,"0.91","0.97",0.951255460737713,0.00186086147019244,0.954902749219291,0.947608172256136,0.01
"11",2021-01-18,0.960335878515139,0.00127101930395324,0.9,"0.88","0.93",0.905934945566949,0.00154326316573124,0.908959741371782,0.902910149762116,0.01
"12",2021-01-19,0.951255460737713,0.00186086147019244,0.88,"0.85","0.91",0.887446385464771,0.00149539498714853,0.890377359639582,0.88451541128996,0.01
"13",2021-01-20,0.905934945566949,0.00154326316573124,0.87,"0.85","0.90",0.866442718891753,0.00150450379682792,0.869391546333536,0.86349389144997,0
