"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","R_est_up","R_est_low","diff"
"1",2021-01-08,0.837451565747756,0.0010398582033475,0.92,"0.90","0.95",0.912329216506278,0.00142059115154137,0.915113575163299,0.909544857849257,-0.01
"2",2021-01-09,0.866988352726466,0.000933958482424885,0.94,"0.92","0.97",0.942544175923814,0.00124076743087183,0.944976080088323,0.940112271759305,0
"3",2021-01-10,0.912329216506278,0.00142059115154137,0.94,"0.91","0.96",0.952018229108865,0.00131086924978289,0.954587532838439,0.94944892537929,0.01
"4",2021-01-11,0.942544175923814,0.00124076743087183,0.92,"0.90","0.95",0.933029968256944,0.00106342325638406,0.935114277839457,0.930945658674431,0.01
"5",2021-01-12,0.952018229108865,0.00131086924978289,0.92,"0.90","0.95",0.931232036493581,0.00180187061066384,0.934763702890483,0.92770037009668,0.01
"6",2021-01-13,0.933029968256944,0.00106342325638406,0.93,"0.91","0.96",0.929341732110886,0.00128539483515794,0.931861105987795,0.926822358233976,0
"7",2021-01-14,0.931232036493581,0.00180187061066384,0.95,"0.92","0.98",0.943553144493434,0.000973711356961978,0.94546161875308,0.941644670233789,-0.01
"8",2021-01-15,0.929341732110886,0.00128539483515794,0.96,"0.94","0.99",0.954554366603266,0.00146870816976687,0.957433034616009,0.951675698590523,-0.01
"9",2021-01-16,0.943553144493434,0.000973711356961978,0.97,"0.94","0.99",0.960275216022768,0.00171984367003015,0.963646109616027,0.956904322429509,-0.01
"10",2021-01-17,0.954554366603266,0.00146870816976687,0.94,"0.91","0.97",0.951096909835423,0.00149004817800043,0.954017404264303,0.948176415406542,0.01
"11",2021-01-18,0.960275216022768,0.00171984367003015,0.9,"0.88","0.93",0.905752198941604,0.0017175889929117,0.909118673367711,0.902385724515497,0.01
"12",2021-01-19,0.951096909835423,0.00149004817800043,0.88,"0.85","0.91",0.88724540105613,0.00145781422007289,0.890102716927473,0.884388085184787,0.01
"13",2021-01-20,0.905752198941604,0.0017175889929117,0.87,"0.85","0.90",0.866338644639896,0.00170177016659931,0.869674114166431,0.863003175113362,0
"14",2021-01-21,0.88724540105613,0.00145781422007289,0.88,"0.86","0.91",0.870596440985817,0.000843856183544042,0.872250399105563,0.86894248286607,-0.01
"15",2021-01-22,0.866338644639896,0.00170177016659931,0.9,"0.87","0.93",0.887749636499697,0.00184120800923282,0.891358404197794,0.884140868801601,-0.01
"16",2021-01-23,0.870596440985817,0.000843856183544042,0.92,"0.89","0.94",0.905940849745765,0.00154052109532067,0.908960271092594,0.902921428398937,-0.01
"17",2021-01-24,0.887749636499697,0.00184120800923282,0.92,"0.89","0.95",0.923999699021239,0.00163883856020068,0.927211822599232,0.920787575443246,0
"18",2021-01-25,0.905940849745765,0.00154052109532067,0.91,"0.88","0.94",0.909025593404057,0.00204183384280397,0.913027587735953,0.905023599072162,0
"19",2021-01-26,0.923999699021239,0.00163883856020068,0.91,"0.88","0.94",0.92018472180202,0.00193060998631443,0.923968717375197,0.916400726228844,0.01
"20",2021-01-27,0.909025593404057,0.00204183384280397,0.92,"0.89","0.95",0.92310205400049,0.00139398101806265,0.925834256795893,0.920369851205087,0
"21",2021-01-28,0.92018472180202,0.00193060998631443,0.94,"0.91","0.97",0.937726137942605,0.0014858047231526,0.940638315199984,0.934813960685226,0
"22",2021-01-29,0.92310205400049,0.00139398101806265,0.97,"0.93","1.00",0.961611046998106,0.00192354073109531,0.965381186831053,0.957840907165159,-0.01
"23",2021-01-30,0.937726137942605,0.0014858047231526,0.98,"0.95","1.01",0.97606181522645,0.00135621958119816,0.978720005605599,0.973403624847302,0
"24",2021-01-31,0.961611046998106,0.00192354073109531,0.97,"0.93","1.00",0.981144966836997,0.0015816888251733,0.984245076934336,0.978044856739657,0.01
"25",2021-02-01,0.97606181522645,0.00135621958119816,0.94,"0.91","0.97",0.946203468063474,0.00198822850292736,0.950100395929211,0.942306540197736,0.01
"26",2021-02-02,0.981144966836997,0.0015816888251733,0.93,"0.90","0.96",0.932384165152322,0.00140600035606691,0.935139925850213,0.929628404454431,0
"27",2021-02-03,0.946203468063474,0.00198822850292736,0.93,"0.90","0.97",0.93220746921267,0.00115051952307955,0.934462487477906,0.929952450947434,0
