"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","diff"
"1",2021-01-08,0.83743798501833,0.000990171754118357,0.92,"0.90","0.95",0.91,0.001,-0.01
"2",2021-01-09,0.866948384480585,0.00119903585023502,0.94,"0.92","0.97",0.94,0.001,0
"3",2021-01-10,0.912286144228796,0.00101783206006753,0.94,"0.91","0.97",0.95,0.001,0.01
"4",2021-01-11,0.942538602905456,0.00132276624103967,0.92,"0.90","0.95",0.93,0.002,0.01
"5",2021-01-12,0.952024577328637,0.00139866528546018,0.92,"0.90","0.95",0.93,0.001,0.01
"6",2021-01-13,0.933064677547009,0.00157314330738348,0.93,"0.91","0.96",0.93,0.002,0
"7",2021-01-14,0.931334181387469,0.00108075733281334,0.95,"0.92","0.98",0.94,0.002,-0.01
"8",2021-01-15,0.929439752384006,0.00165632522158564,0.96,"0.94","0.99",0.95,0.001,-0.01
"9",2021-01-16,0.943637985493564,0.00171390221076077,0.97,"0.94","0.99",0.96,0.002,-0.01
"10",2021-01-17,0.954592952387255,0.00125404049552788,0.94,"0.91","0.97",0.95,0.002,0.01
"11",2021-01-18,0.96035243038568,0.00166639790966643,0.9,"0.88","0.93",0.91,0.001,0.01
"12",2021-01-19,0.951222238067414,0.00191616964075345,0.88,"0.85","0.91",0.89,0.002,0.01
"13",2021-01-20,0.905889148277487,0.00128575814898091,0.87,"0.85","0.90",0.87,0.002,0
"14",2021-01-21,0.887470985725514,0.00175015249822675,0.88,"0.86","0.91",0.87,0.001,-0.01
"15",2021-01-22,0.8665513408354,0.00165236386354101,0.9,"0.87","0.93",0.89,0.002,-0.01
"16",2021-01-23,0.870823829697726,0.00136037027211794,0.92,"0.89","0.94",0.91,0.001,-0.01
"17",2021-01-24,0.887913946657631,0.00200981678460076,0.92,"0.89","0.95",0.92,0.001,0
"18",2021-01-25,0.906281028290762,0.00127577062616604,0.91,"0.88","0.94",0.91,0.002,0
"19",2021-01-26,0.924328218334967,0.00139649519747419,0.91,"0.88","0.94",0.92,0.001,0.01
"20",2021-01-27,0.909264564685555,0.00174613546118335,0.92,"0.89","0.95",0.92,0.001,0
"21",2021-01-28,0.920145421374705,0.0014672122228345,0.94,"0.91","0.97",0.94,0.002,0
"22",2021-01-29,0.923057581380533,0.00142191503469417,0.97,"0.93","1.00",0.96,0.002,-0.01
"23",2021-01-30,0.937733277853741,0.00179190333216962,0.98,"0.95","1.01",0.97,0.002,-0.01
"24",2021-01-31,0.960269803290083,0.00186621140610635,0.97,"0.93","1.00",0.98,0.001,0.01
"25",2021-02-01,0.974285880352498,0.00159711062256525,0.94,"0.91","0.97",0.95,0.002,0.01
"26",2021-02-02,0.979330673664211,0.00112872178267256,0.93,"0.90","0.96",0.93,0.002,0
"27",2021-02-03,0.945083319558854,0.00195149153053961,0.93,"0.90","0.97",0.93,0.001,0
"28",2021-02-04,0.932085633350752,0.00156579981548028,0.96,"0.92","0.99",0.94,0.001,-0.02
"29",2021-02-05,0.93199026197217,0.00133067662105739,0.99,"0.96","1.02",0.97,0.002,-0.02
"30",2021-02-06,0.943175102176131,0.0013384700302849,1.02,"0.99","1.06",1,0.002,-0.02
"31",2021-02-07,0.97180828489551,0.00180890467890971,1.03,"0.99","1.07",1.02,0.001,-0.01
"32",2021-02-08,0.999852868503249,0.00174589006372177,1.02,"0.99","1.06",1.02,0.002,0
"33",2021-02-09,1.01933729816395,0.000574102679853583,1.03,"1.00","1.06",1.04,0.002,0.01
"34",2021-02-10,1.02364261040529,0.00159982080061394,1.06,"1.03","1.09",1.07,0.001,0.01
"35",2021-02-11,1.0375463398036,0.00167767795707622,1.1,"1.07","1.14",1.1,0.002,0
"36",2021-02-12,1.06625632907825,0.00138374684596109,1.14,"1.11","1.18",1.14,0.002,0
"37",2021-02-13,1.10150776754057,0.00181529112799656,1.16,"1.13","1.20",1.17,0.001,0.01
"38",2021-02-14,1.1412548981316,0.0022745961607739,1.15,"1.11","1.18",1.17,0.002,0.02
"39",2021-02-15,1.17176901495351,0.00142392449515867,1.11,"1.08","1.14",1.13,0.002,0.02
"40",2021-02-16,1.16759132025842,0.00193007112042591,1.07,"1.04","1.10",1.1,0.002,0.03
"41",2021-02-17,1.12748644000508,0.00163297356220154,1.05,"1.02","1.08",1.06,0.001,0.01
"42",2021-02-18,1.09724714322392,0.00181046407919189,1.04,"1.01","1.07",1.04,0.001,0
"43",2021-02-19,1.06368743251874,0.00130763900830739,1.04,"1.01","1.07",1.02,0.002,-0.02
"44",2021-02-20,1.04056096904315,0.00149275209445736,1.03,"1.00","1.06",1.01,0.001,-0.02
"45",2021-02-21,1.02420204914544,0.0015165231702553,1,"0.97","1.03",1,0.001,0
"46",2021-02-22,1.00814164699014,0.00124788039724645,0.98,"0.95","1.00",0.97,0.003,-0.01
"47",2021-02-23,0.998864205592904,0.00128017829347983,0.97,"0.94","1.00",0.98,0.001,0.01
"48",2021-02-24,0.97206182981061,0.00268412443755607,0.99,"0.96","1.02",0.98,0.001,-0.01
"49",2021-02-25,0.97560251956106,0.000690481753121768,1.01,"0.98","1.04",1,0.002,-0.01
"50",2021-02-26,0.981055591026755,0.00142312038290428,1.04,"1.01","1.07",1.03,0.001,-0.01
"51",2021-02-27,1.00076427489312,0.00190678624459851,1.05,"1.02","1.08",1.05,0.001,0
"52",2021-02-28,1.02500132709302,0.00129528050938797,1.05,"1.02","1.08",1.06,0.002,0.01
"53",2021-03-01,1.04574430173195,0.00121618039335075,1.06,"1.03","1.08",1.05,0.001,-0.01
"54",2021-03-02,1.06391207333688,0.00222045731300531,1.07,"1.04","1.10",1.08,0.002,0.01
"55",2021-03-03,1.05404606233172,0.00135204394791764,1.11,"1.08","1.14",1.1,0.003,-0.01
"56",2021-03-04,1.0764262330169,0.00171118189245417,1.14,"1.10","1.17",1.13,0.001,-0.01
"57",2021-03-05,1.09927953658734,0.00259875547701827,1.16,"1.13","1.19",1.16,0.001,0
"58",2021-03-06,1.13417325074079,0.00128135060106258,1.16,"1.13","1.19",1.17,0.003,0.01
"59",2021-03-07,1.16445015904321,0.00138777210409213,1.14,"1.11","1.17",1.17,0.001,0.03
"60",2021-03-08,1.17362383413418,0.00262807251475869,1.11,"1.09","1.14",1.12,0.002,0.01
"61",2021-03-09,1.16641150672456,0.00131787953699185,1.09,"1.06","1.12",1.1,0.002,0.01
"62",2021-03-10,1.11794888756497,0.00222885025720208,1.08,"1.06","1.11",1.09,0.001,0.01
"63",2021-03-11,1.09989279892813,0.00174502680405618,1.09,"1.06","1.11",1.09,0.001,0
"64",2021-03-12,1.08524946547805,0.00109111461860676,1.1,"1.07","1.12",1.09,0.002,-0.01
"65",2021-03-13,1.08595480883153,0.00137624164699126,1.1,"1.08","1.13",1.09,0.002,-0.01
"66",2021-03-14,1.09374638665939,0.00166517955775842,1.09,"1.07","1.12",1.09,0.001,0
"67",2021-03-15,1.09248556811131,0.00160985461185088,1.07,"1.05","1.10",1.07,0.001,0
"68",2021-03-16,1.09498555077548,0.00113448770092814,1.05,"1.03","1.08",1.07,0.001,0.02
"69",2021-03-17,1.07032392265283,0.00100280916026106,1.06,"1.03","1.08",1.06,0.001,0
"70",2021-03-18,1.06613748575847,0.000965419845801403,1.06,"1.04","1.09",1.07,0.001,0.01
"71",2021-03-19,1.06320877965825,0.00103302509829595,1.07,"1.05","1.09",1.07,0.001,0
