"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","diff"
"1",2021-01-08,0.837437985018314,0.00140310830176765,0.92,"0.90","0.95",0.91,0.001,-0.01
"2",2021-01-09,0.866948381787473,0.00136548777283524,0.94,"0.92","0.97",0.94,0.002,0
"3",2021-01-10,0.912283280716943,0.000762876307607153,0.94,"0.91","0.97",0.95,0.001,0.01
"4",2021-01-11,0.942513683033398,0.00166234264512312,0.92,"0.90","0.95",0.93,0.002,0.01
"5",2021-01-12,0.951995598340081,0.00110400167242444,0.92,"0.90","0.95",0.93,0.002,0.01
"6",2021-01-13,0.933035880976187,0.00163823554682809,0.93,"0.91","0.96",0.93,0.002,0
"7",2021-01-14,0.931313737648667,0.00207313816590032,0.95,"0.92","0.98",0.94,0.001,-0.01
"8",2021-01-15,0.929458373606825,0.00162671220915539,0.96,"0.94","0.99",0.95,0.002,-0.01
"9",2021-01-16,0.943669232522106,0.00139425027137317,0.97,"0.94","0.99",0.96,0.002,-0.01
"10",2021-01-17,0.954650482958342,0.0015939357209453,0.94,"0.91","0.97",0.95,0.001,0.01
"11",2021-01-18,0.960409905577981,0.00152535811824442,0.9,"0.88","0.93",0.91,0.002,0.01
"12",2021-01-19,0.951258901324069,0.000567298252310893,0.88,"0.85","0.91",0.89,0.002,0.01
"13",2021-01-20,0.905898338692858,0.00187796834703062,0.87,"0.85","0.90",0.87,0.002,0
"14",2021-01-21,0.887360632135898,0.00201689885730557,0.88,"0.86","0.91",0.87,0.001,-0.01
"15",2021-01-22,0.866380752921727,0.00196799953846715,0.9,"0.87","0.93",0.89,0.002,-0.01
"16",2021-01-23,0.870558078626123,0.00128551705417926,0.92,"0.89","0.94",0.91,0.001,-0.01
"17",2021-01-24,0.887540177642509,0.001779762288255,0.92,"0.89","0.95",0.92,0.002,0
"18",2021-01-25,0.905776311214761,0.00142105050981683,0.91,"0.88","0.94",0.91,0.001,0
"19",2021-01-26,0.923734121826835,0.0016490981926528,0.91,"0.88","0.94",0.92,0.002,0.01
"20",2021-01-27,0.909073204426078,0.00138117712584892,0.92,"0.89","0.95",0.92,0.001,0
"21",2021-01-28,0.920738014997328,0.00215929465517966,0.94,"0.91","0.97",0.94,0.003,0
"22",2021-01-29,0.924253155362889,0.00124760861760859,0.97,"0.93","1.00",0.96,0.001,-0.01
"23",2021-01-30,0.939290845970008,0.002689451587443,0.98,"0.95","1.01",0.98,0.002,0
"24",2021-01-31,0.96190795103204,0.00147741803023898,0.97,"0.93","1.00",0.98,0.002,0.01
"25",2021-02-01,0.975592947665455,0.00185926659162195,0.94,"0.91","0.97",0.94,0.002,0
"26",2021-02-02,0.979963070252109,0.00192194557143013,0.93,"0.90","0.96",0.93,0.002,0
"27",2021-02-03,0.944847161196843,0.0017893066231431,0.93,"0.90","0.97",0.93,0.002,0
"28",2021-02-04,0.931403530237945,0.0016069722968053,0.96,"0.92","0.99",0.94,0.002,-0.02
"29",2021-02-05,0.931133168516326,0.00151162187997215,0.99,"0.96","1.02",0.97,0.002,-0.02
"30",2021-02-06,0.942471388620596,0.00162844444756231,1.02,"0.99","1.06",1,0.001,-0.02
"31",2021-02-07,0.971505848704102,0.00206076414027395,1.03,"0.99","1.07",1.02,0.002,-0.01
"32",2021-02-08,0.999838431901261,0.00129329909550885,1.02,"0.99","1.06",1.02,0.002,0
"33",2021-02-09,1.01928325206571,0.00237873480252086,1.03,"1.00","1.06",1.04,0.002,0.01
"34",2021-02-10,1.02350110069277,0.00178083100918885,1.06,"1.03","1.09",1.07,0.002,0.01
"35",2021-02-11,1.03729912601325,0.00174156135714447,1.1,"1.07","1.14",1.1,0.002,0
"36",2021-02-12,1.06592511553917,0.00187264374517926,1.14,"1.11","1.18",1.14,0.002,0
"37",2021-02-13,1.10113801211812,0.00249467921377569,1.16,"1.13","1.20",1.17,0.002,0.01
"38",2021-02-14,1.14090697825098,0.00172469317634981,1.15,"1.11","1.18",1.17,0.002,0.02
"39",2021-02-15,1.17160378952591,0.00217810304709601,1.11,"1.08","1.14",1.13,0.002,0.02
"40",2021-02-16,1.16747958907076,0.00225403393941082,1.07,"1.04","1.10",1.1,0.001,0.03
"41",2021-02-17,1.12743687295083,0.00164659668743964,1.05,"1.02","1.08",1.06,0.002,0.01
"42",2021-02-18,1.09725886733666,0.00147442488162527,1.04,"1.01","1.07",1.04,0.001,0
"43",2021-02-19,1.06373018264078,0.00237633204971389,1.04,"1.01","1.07",1.02,0.001,-0.02
"44",2021-02-20,1.04062469668832,0.00146763169350917,1.03,"1.00","1.06",1.01,0.002,-0.02
"45",2021-02-21,1.02425049390179,0.00133817811950313,1,"0.97","1.03",1,0.001,0
"46",2021-02-22,1.00823742733785,0.00154371992560773,0.98,"0.95","1.00",0.97,0.001,-0.01
"47",2021-02-23,0.998939248144012,0.000997241352258653,0.97,"0.94","1.00",0.98,0.002,0.01
"48",2021-02-24,0.972131729805085,0.000986970880278538,0.99,"0.96","1.02",0.98,0.001,-0.01
"49",2021-02-25,0.975753533457565,0.00193805391490889,1.01,"0.98","1.04",1,0.001,-0.01
"50",2021-02-26,0.981191273478343,0.00120742404407076,1.04,"1.01","1.07",1.03,0.001,-0.01
"51",2021-02-27,1.00089586103029,0.00143032625924412,1.05,"1.02","1.08",1.05,0.001,0
"52",2021-02-28,1.02503472871156,0.00116328001886985,1.05,"1.02","1.08",1.06,0.001,0.01
"53",2021-03-01,1.04574790063162,0.00123962310626881,1.05,"1.03","1.08",1.05,0.002,0
"54",2021-03-02,1.06391184195548,0.00148708707065209,1.07,"1.04","1.10",1.08,0.001,0.01
"55",2021-03-03,1.05398982625236,0.00205410699011811,1.11,"1.08","1.14",1.1,0.002,-0.01
"56",2021-03-04,1.07636768057436,0.00133431998542238,1.14,"1.10","1.17",1.13,0.002,-0.01
"57",2021-03-05,1.09915390225771,0.00221598129775602,1.16,"1.13","1.19",1.16,0.001,0
"58",2021-03-06,1.13398850428691,0.00200768246072914,1.16,"1.13","1.19",1.17,0.002,0.01
"59",2021-03-07,1.16417311739513,0.00116907615031531,1.14,"1.11","1.17",1.17,0.001,0.03
"60",2021-03-08,1.17331263070385,0.00220287069448054,1.11,"1.09","1.14",1.12,0.001,0.01
"61",2021-03-09,1.16608416482376,0.00114724543250341,1.09,"1.06","1.12",1.1,0.002,0.01
"62",2021-03-10,1.11764768587577,0.00120322624544022,1.08,"1.06","1.11",1.09,0.001,0.01
"63",2021-03-11,1.09966394897581,0.00157504679631599,1.09,"1.06","1.11",1.09,0.002,0
"64",2021-03-12,1.08509474511556,0.00123151528610016,1.1,"1.07","1.12",1.09,0.002,-0.01
"65",2021-03-13,1.08595943534882,0.00179517021571125,1.1,"1.08","1.13",1.09,0.002,-0.01
"66",2021-03-14,1.09392553065039,0.00157217535329563,1.09,"1.07","1.12",1.1,0.001,0.01
"67",2021-03-15,1.09281267736404,0.00163148141741257,1.07,"1.05","1.10",1.07,0.001,0
"68",2021-03-16,1.09534994525536,0.00105512983098884,1.05,"1.03","1.08",1.07,0.001,0.02
"69",2021-03-17,1.07071394281816,0.00134731649891293,1.06,"1.03","1.08",1.06,0.002,0
"70",2021-03-18,1.06637758605214,0.00139710571603388,1.06,"1.04","1.09",1.07,0.001,0.01
"71",2021-03-19,1.06331675682289,0.00192976311870849,1.07,"1.05","1.09",1.07,0.001,0
"72",2021-03-20,1.06551692182166,0.00110459223588666,1.07,"1.04","1.09",1.07,0.001,0
"73",2021-03-21,1.07148330438631,0.00142476726760612,1.04,"1.02","1.07",1.05,0.001,0.01
"74",2021-03-22,1.06795024411599,0.000880819681064817,1.01,"0.99","1.03",1.01,0.001,0
"75",2021-03-23,1.05249787679123,0.00138889125091133,0.98,"0.95","1.00",0.98,0.001,0
"76",2021-03-24,1.00668124349371,0.00110577737534735,0.96,"0.94","0.98",0.96,0.002,0
"77",2021-03-25,0.979940364129543,0.00117961029146603,0.96,"0.94","0.98",0.96,0.001,0
"78",2021-03-26,0.95767629565369,0.00154061969200375,0.97,"0.95","0.99",0.96,0.002,-0.01
"79",2021-03-27,0.955356959070415,0.000917559775955349,0.98,"0.96","1.00",0.97,0.001,-0.01
"80",2021-03-28,0.960602074770713,0.00174015093015558,0.98,"0.95","1.00",0.98,0.001,0
"81",2021-03-29,0.96691633526725,0.00139672928181417,0.97,"0.94","0.99",0.96,0.001,-0.01
"82",2021-03-30,0.97669823933178,0.00102364596192442,0.96,"0.94","0.99",0.96,0.001,0
"83",2021-03-31,0.95791704557322,0.00115332111053441,0.98,"0.95","1.00",0.97,0.001,-0.01
"84",2021-04-01,0.955528082619482,0.00109005491809896,1.01,"0.98","1.03",1,0.001,-0.01
"85",2021-04-02,0.970546674249655,0.00135822981833159,1.04,"1.02","1.07",1.04,0.002,0
"86",2021-04-03,0.999456226013524,0.00108653633861494,1.08,"1.05","1.10",1.07,0.001,-0.01
"87",2021-04-04,1.03821573531874,0.00181339272471159,1.08,"1.06","1.11",1.09,0.001,0.01
"88",2021-04-05,1.07210397773839,0.00115119853359584,1.06,"1.04","1.09",1.07,0.001,0.01
"89",2021-04-06,1.08739841676853,0.00124485686738424,1.03,"1.01","1.05",1.05,0.001,0.02
"90",2021-04-07,1.0674673090745,0.0011741179955519,1.02,"1.00","1.04",1.03,0.001,0.01
"91",2021-04-08,1.04868391227406,0.00115607900367466,1.03,"1.00","1.05",1.03,0.001,0
"92",2021-04-09,1.03047510106766,0.0014370763180672,1.04,"1.02","1.07",1.03,0.001,-0.01
"93",2021-04-10,1.02651979748574,0.00116045105565932,1.06,"1.04","1.08",1.05,0.001,-0.01
"94",2021-04-11,1.03191743492378,0.00148494319841594,1.06,"1.04","1.08",1.06,0.001,0
"95",2021-04-12,1.04577957824459,0.001169182389056,1.04,"1.02","1.07",1.05,0.001,0.01
"96",2021-04-13,1.0616362760285,0.00102552563723329,1.03,"1.01","1.05",1.05,0.001,0.02
"97",2021-04-14,1.04644956060003,0.000993093188692658,1.03,"1.00","1.05",1.04,0.001,0.01
"98",2021-04-15,1.04743995575246,0.0013403287468512,1.03,"1.00","1.05",1.03,0.001,0
"99",2021-04-16,1.04009724599199,0.000927131675014133,1.03,"1.00","1.05",1.03,0.001,0
"100",2021-04-17,1.0327029665391,0.0013968268671347,1.01,"0.99","1.03",1,0.001,-0.01
"101",2021-04-18,1.02563144609849,0.000906448298853919,0.98,"0.95","1.00",0.97,0.001,-0.01
"102",2021-04-19,1.0015810495737,0.00136508618348809,0.94,"0.92","0.96",0.92,0.001,-0.02
"103",2021-04-20,0.973840217324503,0.00131815336699082,NA,"0.89","0.93",0.89,0.001,NA
"104",2021-04-21,0.922358634637443,0.00087130619903577,NA,"0.89","0.93",0.87,0.001,NA
"105",2021-04-22,0.891841347598085,0.00126826204100266,NA,"0.90","0.95",0.87,0.001,NA
"106",2021-04-23,0.868464622128019,0.00128802028127243,NA,"0.93","0.97",0.89,0.001,NA
"107",2021-04-24,0.870967124097726,0.00137459928599191,NA,"0.95","0.99",0.89,0.001,NA
"108",2021-04-25,0.886062416715639,0.00105549433632025,NA,"0.94","0.99",0.86,0.001,NA
"109",2021-04-26,0.886992949319563,0.00105351942125457,NA,"0.91","0.96",0.79,0.001,NA
"110",2021-04-27,0.86112735240288,0.000770861060312701,NA,"0.87","0.92",0.72,0.001,NA
"111",2021-04-28,0.793261092131836,0.00143115549302375,NA,"0.83","0.89",0.59,0.001,NA
"112",2021-04-29,0.721256426042653,0.000880956865370365,NA,"0.81","0.88",0.47,0.001,NA
"113",2021-04-30,0.590344099125018,0.00104437979129879,NA,"0.80","0.89",0.35,0.001,NA
"114",2021-05-01,0.465675529089636,0.00070863804512198,NA,"0.79","0.92",0.26,0.001,NA
"115",2021-05-02,0.349133567472303,0.000827155323540922,NA,"0.79","0.95",NA,NA,NA
"116",2021-05-03,0.255366354913785,0.000649298654356034,NA,"0.78","0.95",NA,NA,NA
