"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","diff"
"1",2021-01-08,0.837476464480804,0.000497535159489897,0.92,"0.90","0.95",0.91,0.001,-0.01
"2",2021-01-09,0.867211715123872,0.000975192668827369,0.94,"0.92","0.97",0.94,0.001,0
"3",2021-01-10,0.912658557856386,0.000990329020927961,0.94,"0.91","0.97",0.95,0.001,0.01
"4",2021-01-11,0.942982791119943,0.00147709833781551,0.92,"0.90","0.95",0.93,0.001,0.01
"5",2021-01-12,0.952510616817238,0.000905093699713545,0.92,"0.90","0.95",0.93,0.001,0.01
"6",2021-01-13,0.93338821212926,0.00114491632979267,0.93,"0.91","0.96",0.93,0.001,0
"7",2021-01-14,0.931438021040712,0.00107086376837519,0.95,"0.92","0.98",0.94,0.001,-0.01
"8",2021-01-15,0.929387750337901,0.00106364763177385,0.96,"0.94","0.99",0.95,0.001,-0.01
"9",2021-01-16,0.943552704598379,0.00143719560281347,0.97,"0.94","0.99",0.96,0.001,-0.01
"10",2021-01-17,0.954289678130847,0.00131314277458714,0.94,"0.91","0.97",0.95,0.001,0.01
"11",2021-01-18,0.95948682248469,0.00148801709936641,0.9,"0.88","0.93",0.91,0.001,0.01
"12",2021-01-19,0.950329611945743,0.00131594753919694,0.88,"0.85","0.91",0.89,0.001,0.01
"13",2021-01-20,0.905045069255614,0.00128167679505678,0.87,"0.85","0.90",0.87,0.001,0
"14",2021-01-21,0.886926190786373,0.00143782533192773,0.88,"0.86","0.91",0.87,0.001,-0.01
"15",2021-01-22,0.866420188948183,0.00149393039281888,0.9,"0.87","0.93",0.89,0.001,-0.01
"16",2021-01-23,0.870702034727716,0.00141119899823626,0.92,"0.89","0.94",0.91,0.002,-0.01
"17",2021-01-24,0.888090459508093,0.00122560749579164,0.92,"0.89","0.95",0.92,0.002,0
"18",2021-01-25,0.906263429389269,0.00155576831324183,0.91,"0.88","0.94",0.91,0.001,0
"19",2021-01-26,0.924280178318206,0.001501247415697,0.91,"0.88","0.94",0.92,0.001,0.01
"20",2021-01-27,0.909103696584073,0.00122025647254614,0.92,"0.89","0.95",0.92,0.002,0
"21",2021-01-28,0.919508496439865,0.00135570978377214,0.94,"0.91","0.97",0.94,0.001,0
"22",2021-01-29,0.922328717032006,0.0019819535972036,0.97,"0.93","1.00",0.96,0.002,-0.01
"23",2021-01-30,0.937123261183146,0.00129360320303168,0.98,"0.95","1.01",0.97,0.001,-0.01
"24",2021-01-31,0.959917443202228,0.00196495314254545,0.97,"0.94","1.00",0.98,0.002,0.01
"25",2021-02-01,0.974267963957157,0.00117064391504351,0.95,"0.92","0.98",0.95,0.001,0
"26",2021-02-02,0.979505299097296,0.00171162309366467,0.93,"0.90","0.96",0.93,0.002,0
"27",2021-02-03,0.945511106749571,0.000824920302560254,0.94,"0.90","0.97",0.93,0.002,-0.01
"28",2021-02-04,0.933356819052453,0.0016767856646232,0.96,"0.92","0.99",0.95,0.002,-0.01
"29",2021-02-05,0.933689142976223,0.00203174589816997,0.99,"0.96","1.02",0.97,0.002,-0.02
"30",2021-02-06,0.945114889771371,0.0018003171776572,1.02,"0.99","1.06",1,0.002,-0.02
"31",2021-02-07,0.97357253568245,0.00222787149202946,1.03,"0.99","1.07",1.02,0.001,-0.01
"32",2021-02-08,1.00036012016592,0.00182152579836637,1.02,"0.99","1.06",1.02,0.002,0
"33",2021-02-09,1.01896496379411,0.00141059108009668,1.03,"1.00","1.06",1.04,0.001,0.01
"34",2021-02-10,1.02273931184377,0.00152185568391794,1.06,"1.02","1.09",1.07,0.001,0.01
"35",2021-02-11,1.03667457389051,0.00120840516275112,1.1,"1.07","1.14",1.1,0.002,0
"36",2021-02-12,1.06543220572555,0.00149725396503721,1.14,"1.11","1.18",1.14,0.002,0
"37",2021-02-13,1.10110348856994,0.00155340831179087,1.16,"1.13","1.20",1.17,0.002,0.01
"38",2021-02-14,1.14114775839473,0.00185594006676383,1.15,"1.11","1.18",1.17,0.001,0.02
"39",2021-02-15,1.17164637005011,0.00195236053408651,1.11,"1.08","1.14",1.13,0.002,0.02
"40",2021-02-16,1.16735870175127,0.00144570374858063,1.07,"1.04","1.10",1.1,0.001,0.03
"41",2021-02-17,1.12709702277665,0.0019906835803066,1.05,"1.02","1.08",1.06,0.002,0.01
"42",2021-02-18,1.0972556758239,0.00134995730085952,1.04,"1.01","1.07",1.04,0.001,0
"43",2021-02-19,1.06357449681711,0.00237588877138572,1.04,"1.01","1.07",1.02,0.002,-0.02
"44",2021-02-20,1.04068395964927,0.000832691083036671,1.03,"1.00","1.06",1.01,0.002,-0.02
"45",2021-02-21,1.02427753160494,0.00171629389667801,1,"0.97","1.03",1,0.002,0
"46",2021-02-22,1.00748070269286,0.00209052115801167,0.98,"0.95","1.00",0.97,0.002,-0.01
"47",2021-02-23,0.997825279270662,0.00192293204559875,0.97,"0.94","1.00",0.97,0.002,0
"48",2021-02-24,0.970309597094201,0.00167632606926955,0.99,"0.96","1.02",0.98,0.002,-0.01
"49",2021-02-25,0.97403910373914,0.00170198276665089,1.01,"0.98","1.04",1,0.002,-0.01
"50",2021-02-26,0.979919132555278,0.00155837691085086,1.04,"1.01","1.07",1.03,0.003,-0.01
"51",2021-02-27,1.00034935518626,0.00173737329031383,1.05,"1.02","1.08",1.05,0.002,0
"52",2021-02-28,1.02580055618247,0.00287769648542885,1.05,"1.02","1.09",1.07,0.001,0.02
"53",2021-03-01,1.04692938494221,0.00206750092291029,1.06,"1.03","1.08",1.06,0.002,0
"54",2021-03-02,1.06563528646113,0.00132000385908068,1.07,"1.04","1.10",1.08,0.002,0.01
"55",2021-03-03,1.0556596546641,0.0019140945578404,1.11,"1.08","1.14",1.1,0.002,-0.01
"56",2021-03-04,1.07785703485467,0.00202936441656333,1.14,"1.10","1.17",1.13,0.001,-0.01
"57",2021-03-05,1.10015533330416,0.00151637848230917,1.16,"1.13","1.19",1.16,0.002,0
"58",2021-03-06,1.13450804717726,0.00105791404334454,1.16,"1.13","1.19",1.17,0.002,0.01
"59",2021-03-07,1.16448849564665,0.00207809711950329,1.14,"1.11","1.17",1.17,0.002,0.03
"60",2021-03-08,1.17327229798263,0.00201281707562693,1.11,"1.09","1.14",1.12,0.001,0.01
"61",2021-03-09,1.16595526426734,0.00202952653031169,1.09,"1.06","1.12",1.1,0.002,0.01
"62",2021-03-10,1.11755992132537,0.00148485532625796,1.08,"1.06","1.11",1.09,0.001,0.01
"63",2021-03-11,1.09981339521421,0.0024166536080359,1.09,"1.06","1.11",1.09,0.002,0
"64",2021-03-12,1.08537651855158,0.000961895829502535,1.1,"1.07","1.12",1.09,0.001,-0.01
"65",2021-03-13,1.08615187968662,0.0017760855641637,1.1,"1.08","1.13",1.09,0.001,-0.01
"66",2021-03-14,1.09384834663715,0.00143805271659296,1.09,"1.07","1.12",1.1,0.001,0.01
"67",2021-03-15,1.09262607552221,0.00122372858650072,1.07,"1.05","1.10",1.07,0.002,0
"68",2021-03-16,1.09538396703763,0.00109393674378666,1.06,"1.03","1.08",1.07,0.002,0.01
"69",2021-03-17,1.07079166531764,0.00163530361760523,1.06,"1.03","1.08",1.06,0.001,0
"70",2021-03-18,1.06686764128054,0.0017223979560765,1.06,"1.04","1.09",1.07,0.001,0.01
"71",2021-03-19,1.06397363774439,0.00119743141655238,1.07,"1.04","1.09",1.07,0.001,0
"72",2021-03-20,1.06600469546997,0.0011572964486201,1.07,"1.04","1.09",1.07,0.002,0
"73",2021-03-21,1.07170065599196,0.00113878956356791,1.04,"1.02","1.07",1.05,0.001,0.01
"74",2021-03-22,1.06744562981236,0.00163003363221415,1.01,"0.99","1.03",1.01,0.001,0
"75",2021-03-23,1.05193696321826,0.000913288907485824,0.98,"0.95","1.00",0.98,0.001,0
"76",2021-03-24,1.00601195134772,0.000835599456514969,0.96,"0.94","0.98",0.96,0.001,0
"77",2021-03-25,0.979609187087099,0.00134526791839603,0.96,"0.94","0.98",0.96,0.001,0
"78",2021-03-26,0.957872907374992,0.000820617404369118,0.97,"0.95","0.99",0.96,0.001,-0.01
"79",2021-03-27,0.956014287292936,0.00112864203136214,0.98,"0.96","1.00",0.97,0.001,-0.01
"80",2021-03-28,0.96121885547554,0.00125422030484815,0.98,"0.95","1.00",0.98,0.001,0
"81",2021-03-29,0.967193367176063,0.00105188559809525,0.97,"0.94","0.99",0.96,0.001,-0.01
"82",2021-03-30,0.976905053030303,0.00101616889912477,0.96,"0.94","0.99",0.96,0.001,0
"83",2021-03-31,0.957874826767714,0.00129740163097372,0.98,"0.95","1.00",0.97,0.001,-0.01
"84",2021-04-01,0.956006036909304,0.000896662120486071,1,"0.98","1.03",1,0.001,0
"85",2021-04-02,0.971568760134861,0.00134267795476398,1.04,"1.02","1.07",1.04,0.001,0
"86",2021-04-03,1.00084403362652,0.00143664084184592,1.08,"1.05","1.10",1.07,0.002,-0.01
"87",2021-04-04,1.04015445348049,0.000975620476281308,1.08,"1.06","1.11",1.09,0.002,0.01
"88",2021-04-05,1.07379155462854,0.00162931977038961,1.06,"1.04","1.09",1.07,0.001,0.01
"89",2021-04-06,1.08869363311921,0.00174748032136312,1.03,"1.01","1.05",1.05,0.001,0.02
"90",2021-04-07,1.06862306748311,0.00115743805244147,1.02,"1.00","1.04",1.03,0.001,0.01
"91",2021-04-08,1.04914777475322,0.00119356387725922,1.03,"1.00","1.05",1.03,0.001,0
"92",2021-04-09,1.03053670945185,0.00141180045206336,1.04,"1.02","1.07",1.03,0.002,-0.01
"93",2021-04-10,1.02566731184873,0.00132886308540383,1.06,"1.04","1.08",1.04,0.001,-0.02
"94",2021-04-11,1.03044106701754,0.00170655256065748,1.06,"1.04","1.08",1.06,0.001,0
"95",2021-04-12,1.04431114425347,0.000971881687660214,1.04,"1.02","1.07",1.05,0.001,0.01
"96",2021-04-13,1.06040312042017,0.00107281225126148,1.03,"1.01","1.05",1.05,0.001,0.02
"97",2021-04-14,1.04666034455672,0.00119175096058138,1.03,"1.00","1.05",1.04,0.001,0.01
"98",2021-04-15,1.04903742540569,0.00068839250152654,1.03,"1.00","1.05",1.04,0.002,0.01
"99",2021-04-16,1.04205728287651,0.000850839831621251,1.02,"1.00","1.05",1.03,0.001,0.01
"100",2021-04-17,1.0353832866854,0.00176957777615113,1.01,"0.99","1.03",1,0.001,-0.01
"101",2021-04-18,1.0286123128474,0.00074844253212625,0.98,"0.95","1.00",0.98,0.001,0
"102",2021-04-19,1.00493214312384,0.000955354802514682,0.94,"0.92","0.96",0.93,0.001,-0.01
"103",2021-04-20,0.979564038732743,0.00149086928914366,0.91,"0.89","0.94",0.91,0.001,0
"104",2021-04-21,0.931359275068736,0.000786617194022353,0.91,"0.89","0.93",0.9,0.001,-0.01
"105",2021-04-22,0.908731092241189,0.0007651273523247,0.94,"0.91","0.96",0.92,0.001,-0.02
"106",2021-04-23,0.896029371169751,0.00137499536762648,0.97,"0.95","0.99",0.96,0.001,-0.01
"107",2021-04-24,0.916125122342331,0.0007191614087454,1,"0.98","1.03",0.99,0.002,-0.01
"108",2021-04-25,0.955899227923828,0.00108749002502374,1.01,"0.99","1.04",1.02,0.001,0.01
"109",2021-04-26,0.994343281452365,0.00161985542103631,1,"0.98","1.02",1.01,0.001,0.01
"110",2021-04-27,1.02226579465435,0.00116921858769246,0.97,"0.95","1.00",1,0.001,0.03
"111",2021-04-28,1.00717131637526,0.000939589469294244,0.95,"0.93","0.97",0.97,0.001,0.02
"112",2021-04-29,0.999323815302358,0.00127606969982856,0.94,"0.92","0.96",0.95,0.001,0.01
"113",2021-04-30,0.972340175079317,0.000928574492399731,0.94,"0.92","0.97",0.94,0.001,0
