"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","R_est_up","R_est_low","diff"
"1",2021-01-08,0.837371309547498,0.00125215585721817,0.92,"0.90","0.95",0.912391401296927,0.00124151132396947,0.914824763491908,0.909958039101947,-0.01
"2",2021-01-09,0.866985640642831,0.000880913647370594,0.94,"0.92","0.97",0.942605590110016,0.00175273099214659,0.946040942854623,0.939170237365409,0
"3",2021-01-10,0.912391401296927,0.00124151132396947,0.94,"0.91","0.97",0.952136127225879,0.00171475875299118,0.955497054381742,0.948775200070016,0.01
"4",2021-01-11,0.942605590110016,0.00175273099214659,0.92,"0.90","0.95",0.933143867594117,0.00142211582367619,0.935931214608522,0.930356520579712,0.01
"5",2021-01-12,0.952136127225879,0.00171475875299118,0.92,"0.90","0.95",0.931270585038426,0.00111265120576033,0.933451381401716,0.929089788675135,0.01
"6",2021-01-13,0.933143867594117,0.00142211582367619,0.93,"0.91","0.96",0.929277117423283,0.0015919134093094,0.932397267705529,0.926156967141036,0
"7",2021-01-14,0.931270585038426,0.00111265120576033,0.95,"0.92","0.98",0.943480769016888,0.00117580348947056,0.945785343856251,0.941176194177526,-0.01
"8",2021-01-15,0.929277117423283,0.0015919134093094,0.96,"0.94","0.99",0.954434292254808,0.00154773221631386,0.957467847398783,0.951400737110833,-0.01
"9",2021-01-16,0.943480769016888,0.00117580348947056,0.97,"0.94","0.99",0.960225246715123,0.00113254972508769,0.962445044176295,0.958005449253952,-0.01
"10",2021-01-17,0.954434292254808,0.00154773221631386,0.94,"0.91","0.97",0.951167604136992,0.00154512391553005,0.954196047011431,0.948139161262553,0.01
"11",2021-01-18,0.960225246715123,0.00113254972508769,0.9,"0.88","0.93",0.905907681433476,0.00109563260097193,0.908055121331381,0.903760241535571,0.01
"12",2021-01-19,0.951167604136992,0.00154512391553005,0.88,"0.85","0.91",0.88747444698033,0.0014205827018517,0.890258789075959,0.884690104884701,0.01
"13",2021-01-20,0.905907681433476,0.00109563260097193,0.87,"0.85","0.90",0.8664909476643,0.00142668991032475,0.869287259888536,0.863694635440063,0
"14",2021-01-21,0.88747444698033,0.0014205827018517,0.88,"0.86","0.91",0.870758100964965,0.00166136973635469,0.87401438564822,0.86750181628171,-0.01
"15",2021-01-22,0.8664909476643,0.00142668991032475,0.9,"0.87","0.93",0.887807866950088,0.000944515278890872,0.889659116896714,0.885956617003462,-0.01
"16",2021-01-23,0.870758100964965,0.00166136973635469,0.92,"0.89","0.94",0.90591356014581,0.000954843931473386,0.907785054251498,0.904042066040123,-0.01
"17",2021-01-24,0.887807866950088,0.000944515278890872,0.92,"0.89","0.95",0.923943458228907,0.00137775366504056,0.926643855412386,0.921243061045428,0
"18",2021-01-25,0.90591356014581,0.000954843931473386,0.91,"0.88","0.94",0.908900908652977,0.00141120563508433,0.911666871697742,0.906134945608212,0
"19",2021-01-26,0.923943458228907,0.00137775366504056,0.91,"0.88","0.94",0.920001185858331,0.0011988919593517,0.92235101409866,0.917651357618001,0.01
"20",2021-01-27,0.908900908652977,0.00141120563508433,0.92,"0.89","0.95",0.922917427203814,0.00193143935020949,0.926703048330224,0.919131806077403,0
"21",2021-01-28,0.920001185858331,0.0011988919593517,0.94,"0.91","0.97",0.937537335181187,0.0018571326219,0.941177315120111,0.933897355242263,0
"22",2021-01-29,0.922917427203814,0.00193143935020949,0.97,"0.93","1.00",0.961521018119921,0.00090770485967478,0.963300119644884,0.959741916594959,-0.01
"23",2021-01-30,0.937537335181187,0.0018571326219,0.98,"0.95","1.01",0.976051728103733,0.00130087343869943,0.978601440043584,0.973502016163882,0
"24",2021-01-31,0.961521018119921,0.00090770485967478,0.97,"0.93","1.00",0.981203291393473,0.0010667666135335,0.983294153955999,0.979112428830948,0.01
"25",2021-02-01,0.976051728103733,0.00130087343869943,0.94,"0.91","0.98",0.946326926819701,0.00158723804635047,0.949437913390548,0.943215940248854,0.01
"26",2021-02-02,0.981203291393473,0.0010667666135335,0.93,"0.90","0.96",0.932423525172472,0.00233489371696498,0.936999916857723,0.92784713348722,0
"27",2021-02-03,0.946326926819701,0.00158723804635047,0.93,"0.90","0.97",0.93229188582465,0.00156975711656631,0.93536860977312,0.92921516187618,0
"28",2021-02-04,0.932423525172472,0.00233489371696498,0.96,"0.92","0.99",0.942664807292698,0.00201933958446623,0.946622712878251,0.938706901707144,-0.02
"29",2021-02-05,0.93229188582465,0.00156975711656631,0.99,"0.96","1.02",0.971598272580568,0.00166864596260069,0.974868818667265,0.968327726493871,-0.02
"30",2021-02-06,0.942664807292698,0.00201933958446623,1.02,"0.99","1.06",0.999629364343316,0.00172569874309272,1.00301173387978,0.996246994806854,-0.02
"31",2021-02-07,0.971598272580568,0.00166864596260069,1.03,"0.99","1.06",1.01925403541706,0.00137029437856781,1.02193981239905,1.01656825843506,-0.01
"32",2021-02-08,0.999629364343316,0.00172569874309272,1.02,"0.99","1.06",1.02434538035253,0.00177153136269054,1.0278175818234,1.02087317888165,0
"33",2021-02-09,1.01925403541706,0.00137029437856781,1.03,"1.00","1.06",1.03787312903745,0.00167418687455783,1.04115453531158,1.03459172276331,0.01
"34",2021-02-10,1.02434538035253,0.00177153136269054,1.06,"1.03","1.09",1.06567209766641,0.00215051725264172,1.06988711148159,1.06145708385123,0.01
"35",2021-02-11,1.03787312903745,0.00167418687455783,1.1,"1.07","1.14",1.09956047672103,0.00189544982956465,1.10327555838698,1.09584539505509,0
"36",2021-02-12,1.06567209766641,0.00215051725264172,1.14,"1.11","1.18",1.13920014196277,0.00159302158863258,1.14232246427649,1.13607781964905,0
"37",2021-02-13,1.09956047672103,0.00189544982956465,1.16,"1.13","1.20",1.17036297567712,0.00114075940239977,1.17259886410583,1.16812708724842,0.01
"38",2021-02-14,1.13920014196277,0.00159302158863258,1.15,"1.11","1.18",1.16695389942649,0.00155971198558378,1.17001093491824,1.16389686393475,0.02
"39",2021-02-15,1.17036297567712,0.00114075940239977,1.11,"1.08","1.14",1.12778470812306,0.00166522926637097,1.13104855748515,1.12452085876097,0.02
"40",2021-02-16,1.16695389942649,0.00155971198558378,1.07,"1.04","1.10",1.0973780450704,0.00161593178431923,1.10054527136766,1.09421081877313,0.03
"41",2021-02-17,1.12778470812306,0.00166522926637097,1.05,"1.02","1.08",1.06405101605427,0.00230911605160309,1.06857688351541,1.05952514859313,0.01
"42",2021-02-18,1.0973780450704,0.00161593178431923,1.04,"1.01","1.07",1.04104834216207,0.00120220239007329,1.04340465884661,1.03869202547752,0
"43",2021-02-19,1.06405101605427,0.00230911605160309,1.04,"1.01","1.07",1.0243920986929,0.00184172937438786,1.0280018882667,1.0207823091191,-0.02
"44",2021-02-20,1.04104834216207,0.00120220239007329,1.03,"1.00","1.06",1.0085047771221,0.00125793054036103,1.01097032098121,1.00603923326299,-0.02
"45",2021-02-21,1.0243920986929,0.00184172937438786,1,"0.97","1.03",0.999003586553496,0.00198538713087255,1.00289494533001,0.995112227776986,0
