"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","diff"
"1",2021-01-08,0.837437985018314,0.00141505365843441,0.92,"0.90","0.95",0.91,0.002,-0.01
"2",2021-01-09,0.866948381787473,0.00120392278439323,0.94,"0.92","0.97",0.94,0.001,0
"3",2021-01-10,0.912283280716943,0.00174296351354397,0.94,"0.91","0.97",0.95,0.001,0.01
"4",2021-01-11,0.942513683033398,0.00122872184572924,0.92,"0.90","0.95",0.93,0.001,0.01
"5",2021-01-12,0.951995598340081,0.00105180034871323,0.92,"0.90","0.95",0.93,0.002,0.01
"6",2021-01-13,0.933035880976187,0.00132065411888756,0.93,"0.91","0.96",0.93,0.001,0
"7",2021-01-14,0.931313737648667,0.00178686061419734,0.95,"0.92","0.98",0.94,0.002,-0.01
"8",2021-01-15,0.929458373606825,0.000969849096971931,0.96,"0.94","0.99",0.95,0.002,-0.01
"9",2021-01-16,0.943669232522106,0.00175280240446649,0.97,"0.94","0.99",0.96,0.001,-0.01
"10",2021-01-17,0.954650482958342,0.00156204000371462,0.94,"0.91","0.97",0.95,0.001,0.01
"11",2021-01-18,0.960409905577981,0.00134505055775599,0.9,"0.88","0.93",0.91,0.001,0.01
"12",2021-01-19,0.951258901324096,0.00124232859860345,0.88,"0.85","0.91",0.89,0.001,0.01
"13",2021-01-20,0.90589834306942,0.00149751181175896,0.87,"0.85","0.90",0.87,0.001,0
"14",2021-01-21,0.887364639765521,0.00097660633019649,0.88,"0.86","0.91",0.87,0.001,-0.01
"15",2021-01-22,0.866423217873656,0.00128909496354202,0.9,"0.87","0.93",0.89,0.002,-0.01
"16",2021-01-23,0.870712272970523,0.000966283282089555,0.92,"0.89","0.94",0.91,0.002,-0.01
"17",2021-01-24,0.887926622968656,0.00244563947940249,0.92,"0.89","0.95",0.92,0.001,0
"18",2021-01-25,0.906427498903509,0.0016555604793314,0.91,"0.88","0.94",0.91,0.002,0
"19",2021-01-26,0.924529158114025,0.00138773789469678,0.91,"0.88","0.94",0.92,0.001,0.01
"20",2021-01-27,0.909567545702161,0.00189805699301971,0.92,"0.89","0.95",0.92,0.001,0
"21",2021-01-28,0.920459011268727,0.000925672599170575,0.94,"0.91","0.97",0.94,0.003,0
"22",2021-01-29,0.923415322281009,0.00135362606354914,0.97,"0.93","1.00",0.96,0.002,-0.01
"23",2021-01-30,0.938010945660928,0.00291979024400113,0.98,"0.95","1.01",0.97,0.002,-0.01
"24",2021-01-31,0.960435655190671,0.00160215812835388,0.97,"0.93","1.00",0.98,0.001,0.01
"25",2021-02-01,0.974443086214129,0.00169226981849533,0.94,"0.91","0.97",0.95,0.002,0.01
"26",2021-02-02,0.979375663731872,0.00117356812036613,0.93,"0.90","0.96",0.93,0.002,0
"27",2021-02-03,0.945085247186025,0.00163359151605826,0.93,"0.90","0.97",0.93,0.003,0
"28",2021-02-04,0.932015956829687,0.00180706299974555,0.96,"0.92","0.99",0.94,0.002,-0.02
"29",2021-02-05,0.931921641584649,0.00258144692615202,0.99,"0.96","1.02",0.97,0.002,-0.02
"30",2021-02-06,0.943116059923102,0.00172263037934206,1.02,"0.99","1.06",1,0.002,-0.02
"31",2021-02-07,0.971743891049897,0.00152375001157339,1.03,"0.99","1.07",1.02,0.002,-0.01
"32",2021-02-08,0.999897452513296,0.00170819412804447,1.02,"0.99","1.06",1.02,0.002,0
"33",2021-02-09,1.01930453082031,0.0024431858492489,1.03,"1.00","1.06",1.04,0.002,0.01
"34",2021-02-10,1.0235799847326,0.00175543602928371,1.06,"1.03","1.09",1.07,0.002,0.01
"35",2021-02-11,1.03736952848373,0.00241588174312481,1.1,"1.07","1.14",1.1,0.001,0
"36",2021-02-12,1.06601737324881,0.00228999624531235,1.14,"1.11","1.18",1.14,0.001,0
"37",2021-02-13,1.10122061776881,0.00141544905585138,1.16,"1.13","1.20",1.17,0.001,0.01
"38",2021-02-14,1.14093026109763,0.00136933301793251,1.15,"1.11","1.18",1.17,0.002,0.02
"39",2021-02-15,1.17164573666661,0.000826942949197715,1.11,"1.08","1.14",1.13,0.002,0.02
"40",2021-02-16,1.16752384903955,0.00189553340650497,1.07,"1.04","1.10",1.1,0.002,0.03
"41",2021-02-17,1.12747882299604,0.00178910836250562,1.05,"1.02","1.08",1.06,0.002,0.01
"42",2021-02-18,1.09728924823161,0.00174968128756399,1.04,"1.01","1.07",1.04,0.002,0
"43",2021-02-19,1.0637379142115,0.00158958284668962,1.04,"1.01","1.07",1.02,0.002,-0.02
"44",2021-02-20,1.0406238927704,0.00201553523564404,1.03,"1.00","1.06",1.01,0.001,-0.02
"45",2021-02-21,1.02424247009183,0.00174492423672384,1,"0.97","1.03",1,0.001,0
"46",2021-02-22,1.00817517263342,0.00134749699399579,0.98,"0.95","1.00",0.97,0.001,-0.01
"47",2021-02-23,0.998893103161445,0.00127118720523208,0.97,"0.94","1.00",0.98,0.002,0.01
"48",2021-02-24,0.972064589347176,0.00116331465514898,0.99,"0.96","1.02",0.98,0.002,-0.01
"49",2021-02-25,0.975695942267246,0.00206608361371218,1.01,"0.98","1.04",1,0.003,-0.01
"50",2021-02-26,0.981166819469427,0.00180774481779873,1.04,"1.01","1.07",1.03,0.002,-0.01
"51",2021-02-27,1.00087943899376,0.00306160365372626,1.05,"1.02","1.08",1.05,0.001,0
"52",2021-02-28,1.02508855203874,0.00192338258052551,1.05,"1.02","1.08",1.06,0.001,0.01
"53",2021-03-01,1.04576751396809,0.00131354307707892,1.05,"1.03","1.08",1.05,0.001,0
"54",2021-03-02,1.06397514247169,0.00148466590827462,1.07,"1.04","1.10",1.08,0.002,0.01
"55",2021-03-03,1.05401813294438,0.00107920074454702,1.11,"1.08","1.14",1.1,0.002,-0.01
"56",2021-03-04,1.07635951157294,0.00170303051013507,1.14,"1.10","1.17",1.13,0.002,-0.01
"57",2021-03-05,1.09916145241555,0.00232927393019623,1.16,"1.13","1.19",1.16,0.002,0
"58",2021-03-06,1.1339845652799,0.00184163123394415,1.16,"1.13","1.19",1.17,0.001,0.01
"59",2021-03-07,1.16424968709536,0.00183040696607366,1.14,"1.11","1.17",1.17,0.001,0.03
"60",2021-03-08,1.17334673993787,0.00141568868577799,1.11,"1.09","1.14",1.12,0.002,0.01
"61",2021-03-09,1.16605829128973,0.00117174918131731,1.09,"1.06","1.12",1.1,0.002,0.01
"62",2021-03-10,1.11759717884724,0.00184529563794758,1.08,"1.06","1.11",1.09,0.001,0.01
"63",2021-03-11,1.09957389600044,0.00227867312764848,1.09,"1.06","1.11",1.09,0.001,0
"64",2021-03-12,1.08505999276155,0.00145721347822385,1.1,"1.07","1.12",1.09,0.002,-0.01
"65",2021-03-13,1.08597165389134,0.00145225711067849,1.1,"1.08","1.13",1.09,0.001,-0.01
"66",2021-03-14,1.09391325140209,0.00169392991071948,1.09,"1.07","1.12",1.1,0.001,0.01
"67",2021-03-15,1.09283043813386,0.00120294261051293,1.07,"1.05","1.10",1.07,0.002,0
"68",2021-03-16,1.09535681395626,0.00144312499982522,1.05,"1.03","1.08",1.07,0.001,0.02
"69",2021-03-17,1.07072328078547,0.00168226984374191,1.06,"1.03","1.08",1.06,0.001,0
"70",2021-03-18,1.066405951903,0.00115923983204415,1.06,"1.04","1.09",1.07,0.002,0.01
"71",2021-03-19,1.06331051325291,0.0010089185535619,1.07,"1.05","1.09",1.07,0.002,0
"72",2021-03-20,1.06553807585757,0.00187136609182157,1.07,"1.04","1.09",1.07,0.001,0
"73",2021-03-21,1.07152977436198,0.00174719166779001,1.04,"1.02","1.07",1.05,0.001,0.01
"74",2021-03-22,1.06800222115604,0.00119241508969585,1.01,"0.99","1.03",1.01,0.001,0
"75",2021-03-23,1.05255149917742,0.00142448410430667,0.98,"0.95","1.00",0.98,0.001,0
"76",2021-03-24,1.00667995114731,0.00107233927600946,0.96,"0.94","0.98",0.96,0.001,0
"77",2021-03-25,0.979866986401536,0.00141354717177836,0.96,"0.94","0.98",0.96,0.001,0
