"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","diff"
"1",2021-01-08,0.837490461850333,0.00121167538818589,0.92,"0.90","0.95",0.91,0.002,-0.01
"2",2021-01-09,0.867219588224482,0.00113156361871338,0.94,"0.92","0.97",0.94,0.002,0
"3",2021-01-10,0.912657581198502,0.0015837899634244,0.94,"0.91","0.97",0.95,0.001,0.01
"4",2021-01-11,0.942955806642205,0.00219057988971109,0.92,"0.90","0.95",0.93,0.001,0.01
"5",2021-01-12,0.952457331280711,0.00105465435282523,0.92,"0.90","0.95",0.93,0.001,0.01
"6",2021-01-13,0.933328171854766,0.0011150694267141,0.93,"0.91","0.96",0.93,0.001,0
"7",2021-01-14,0.931360781069081,0.0011146829937659,0.95,"0.92","0.98",0.94,0.001,-0.01
"8",2021-01-15,0.929328484401302,0.00104915445730314,0.96,"0.94","0.99",0.95,0.001,-0.01
"9",2021-01-16,0.943511160487416,0.00135155098063038,0.97,"0.94","0.99",0.96,0.001,-0.01
"10",2021-01-17,0.954241240217704,0.00123406798075786,0.94,"0.91","0.97",0.95,0.001,0.01
"11",2021-01-18,0.959503780164364,0.00127896037227573,0.9,"0.88","0.93",0.91,0.002,0.01
"12",2021-01-19,0.950363035760934,0.00128141008196284,0.88,"0.85","0.90",0.89,0.001,0.01
"13",2021-01-20,0.905099675924861,0.00155465937129479,0.87,"0.85","0.90",0.87,0.001,0
"14",2021-01-21,0.886965531565818,0.000977634351529041,0.88,"0.86","0.91",0.87,0.001,-0.01
"15",2021-01-22,0.866427224021546,0.00129543767096262,0.9,"0.87","0.93",0.89,0.001,-0.01
"16",2021-01-23,0.870689122136068,0.00116686714839668,0.92,"0.89","0.94",0.91,0.001,-0.01
"17",2021-01-24,0.888034681105567,0.00113940475080385,0.92,"0.89","0.95",0.92,0.002,0
"18",2021-01-25,0.906222121066,0.00112388085903856,0.91,"0.88","0.94",0.91,0.002,0
"19",2021-01-26,0.924272721787608,0.00153861192505555,0.91,"0.88","0.94",0.92,0.002,0.01
"20",2021-01-27,0.909107414317766,0.00175831308718244,0.92,"0.89","0.95",0.92,0.001,0
"21",2021-01-28,0.919539313502862,0.00151514013495207,0.94,"0.91","0.97",0.94,0.002,0
"22",2021-01-29,0.922390524549726,0.0011515548624563,0.97,"0.93","1.00",0.96,0.002,-0.01
"23",2021-01-30,0.937172005376371,0.00217220440536612,0.98,"0.95","1.01",0.97,0.002,-0.01
"24",2021-01-31,0.959947441079628,0.001729192970904,0.97,"0.94","1.00",0.98,0.002,0.01
"25",2021-02-01,0.974237229354618,0.0016396453754298,0.95,"0.92","0.98",0.95,0.002,0
"26",2021-02-02,0.979502933820592,0.00151170894217418,0.93,"0.90","0.96",0.93,0.002,0
"27",2021-02-03,0.945513059632619,0.00163160114038843,0.94,"0.90","0.97",0.93,0.002,-0.01
