"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","R_est_up","R_est_low","diff"
"1",2021-01-08,0.837333621801421,0.0013959549830296,0.92,"0.90","0.95",0.91236962726223,0.00106606789374742,0.914459120333975,0.910280134190485,-0.01
"2",2021-01-09,0.866949790411186,0.000990547188465537,0.94,"0.92","0.97",0.942624362466653,0.00133157924134646,0.945234257779692,0.940014467153614,0
"3",2021-01-10,0.91236962726223,0.00106606789374742,0.94,"0.91","0.97",0.952109802857717,0.0014919813372746,0.955034086278775,0.949185519436658,0.01
"4",2021-01-11,0.942624362466653,0.00133157924134646,0.92,"0.90","0.95",0.93314118274484,0.00111198561276628,0.935320674545862,0.930961690943818,0.01
"5",2021-01-12,0.952109802857717,0.0014919813372746,0.92,"0.90","0.95",0.93127317729255,0.0014704360023669,0.934155231857189,0.928391122727911,0.01
"6",2021-01-13,0.93314118274484,0.00111198561276628,0.93,"0.91","0.96",0.929338595285128,0.00179393908822094,0.932854715898041,0.925822474672214,0
"7",2021-01-14,0.93127317729255,0.0014704360023669,0.95,"0.92","0.98",0.943610133670612,0.00119757650026688,0.945957383611135,0.941262883730089,-0.01
"8",2021-01-15,0.929338595285128,0.00179393908822094,0.96,"0.94","0.99",0.954532374481885,0.00187091171883363,0.958199361450799,0.950865387512971,-0.01
"9",2021-01-16,0.943610133670612,0.00119757650026688,0.97,"0.94","0.99",0.960335878515139,0.0014943493699791,0.963264803280298,0.95740695374998,-0.01
"10",2021-01-17,0.954532374481885,0.00187091171883363,0.94,"0.91","0.97",0.951255460737713,0.00183899621839623,0.95485989332577,0.947651028149657,0.01
"11",2021-01-18,0.960335878515139,0.0014943493699791,0.9,"0.88","0.93",0.905934945566978,0.000941845914704558,0.907780963559798,0.904088927574157,0.01
"12",2021-01-19,0.951255460737713,0.00183899621839623,0.88,"0.85","0.91",0.887446389627579,0.00101316627953123,0.88943219553546,0.885460583719698,0.01
"13",2021-01-20,0.905934945566978,0.000941845914704558,0.87,"0.85","0.90",0.866447013169934,0.00204986512790744,0.870464748820633,0.862429277519236,0
"14",2021-01-21,0.887446389627579,0.00101316627953123,0.88,"0.86","0.91",0.87069546476071,0.00143595947311377,0.873509945328013,0.867880984193407,-0.01
"15",2021-01-22,0.866447013169934,0.00204986512790744,0.9,"0.87","0.93",0.887769693736285,0.00159475234211764,0.890895408326836,0.884643979145735,-0.01
"16",2021-01-23,0.87069546476071,0.00143595947311377,0.92,"0.89","0.94",0.905951444930901,0.00167107422699393,0.909226750415809,0.902676139445993,-0.01
"17",2021-01-24,0.887769693736285,0.00159475234211764,0.92,"0.89","0.95",0.92401984822254,0.001666926828723,0.927287024806837,0.920752671638243,0
"18",2021-01-25,0.905951444930901,0.00167107422699393,0.91,"0.88","0.94",0.909019004943749,0.00223289943015028,0.913395487826844,0.904642522060655,0
"19",2021-01-26,0.92401984822254,0.001666926828723,0.91,"0.88","0.94",0.920033227296851,0.00150523748515802,0.92298349276776,0.917082961825941,0.01
"20",2021-01-27,0.909019004943749,0.00223289943015028,0.92,"0.89","0.95",0.922911954100755,0.00140231963360797,0.925660500582627,0.920163407618884,0
"21",2021-01-28,0.920033227296851,0.00150523748515802,0.94,"0.91","0.97",0.937533531159108,0.00156302373234704,0.940597057674509,0.934470004643708,0
"22",2021-01-29,0.922911954100755,0.00140231963360797,0.97,"0.93","1.00",0.961545509549977,0.00120172692017741,0.963900894313524,0.959190124786429,-0.01
"23",2021-01-30,0.937533531159108,0.00156302373234704,0.98,"0.95","1.01",0.976158622988787,0.00213361246209827,0.9803405034145,0.971976742563074,0
"24",2021-01-31,0.961545509549977,0.00120172692017741,0.97,"0.93","1.00",0.9813302399815,0.00177206198383406,0.984803481469815,0.977856998493186,0.01
"25",2021-02-01,0.976158622988787,0.00213361246209827,0.94,"0.91","0.98",0.946444709556919,0.00238427604691044,0.951117890608863,0.941771528504974,0.01
"26",2021-02-02,0.9813302399815,0.00177206198383406,0.93,"0.90","0.96",0.932497777948554,0.00114225711286781,0.934736601889774,0.930258954007333,0
"27",2021-02-03,0.946444709556919,0.00238427604691044,0.93,"0.90","0.97",0.9324061739266,0.00145618000508849,0.935260286736573,0.929552061116626,0
"28",2021-02-04,0.932497777948554,0.00114225711286781,0.96,"0.92","0.99",0.942712347344157,0.00102167310942186,0.944714826638624,0.94070986804969,-0.02
"29",2021-02-05,0.9324061739266,0.00145618000508849,0.99,"0.96","1.02",0.971578489658755,0.00148861093986492,0.97449616710089,0.96866081221662,-0.02
