"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","R_est_up","R_est_low","diff"
"1",2021-01-08,0.837440959188279,0.000908708674594952,0.92,"0.90","0.95",0.912506811359905,0.00106471230173345,0.914593647471302,0.910419975248507,-0.01
"2",2021-01-09,0.867035359213592,0.00171884239093549,0.94,"0.92","0.97",0.942752414192699,0.00153404670707061,0.945759145738558,0.939745682646841,0
"3",2021-01-10,0.912506811359905,0.00106471230173345,0.94,"0.91","0.97",0.952115462439461,0.00115145789370355,0.95437231991112,0.949858604967802,0.01
"4",2021-01-11,0.942752414192699,0.00153404670707061,0.92,"0.90","0.95",0.93315542887361,0.000828761807005949,0.934779802015342,0.931531055731879,0.01
"5",2021-01-12,0.952115462439461,0.00115145789370355,0.92,"0.90","0.95",0.931178040288402,0.00097025858171701,0.933079747108567,0.929276333468237,0.01
"6",2021-01-13,0.93315542887361,0.000828761807005949,0.93,"0.91","0.96",0.929252987367673,0.00183977025969595,0.932858937076677,0.925647037658669,0
"7",2021-01-14,0.931178040288402,0.00097025858171701,0.95,"0.92","0.98",0.943523070279133,0.00153852931238079,0.9465385877314,0.940507552826867,-0.01
"8",2021-01-15,0.929252987367673,0.00183977025969595,0.96,"0.94","0.99",0.954442308361971,0.00168396241756182,0.957742874700392,0.951141742023549,-0.01
"9",2021-01-16,0.943523070279133,0.00153852931238079,0.97,"0.94","0.99",0.960360787909141,0.00134356489083812,0.962994175095184,0.957727400723099,-0.01
"10",2021-01-17,0.954442308361971,0.00168396241756182,0.94,"0.91","0.97",0.951301661016759,0.000720137435768729,0.952713130390866,0.949890191642653,0.01
"11",2021-01-18,0.960360787909141,0.00134356489083812,0.9,"0.88","0.93",0.906008699929495,0.000970050685915853,0.90790999927389,0.9041074005851,0.01
"12",2021-01-19,0.951301661016759,0.000720137435768729,0.88,"0.85","0.91",0.887444240627213,0.00161796539949003,0.890615452810213,0.884273028444213,0.01
"13",2021-01-20,0.906008699929495,0.000970050685915853,0.87,"0.85","0.90",0.866436961191515,0.00105533411330259,0.868505416053588,0.864368506329442,0
"14",2021-01-21,0.887444240627213,0.00161796539949003,0.88,"0.86","0.91",0.870652844717103,0.00124411337627474,0.873091306934601,0.868214382499605,-0.01
"15",2021-01-22,0.866436961191515,0.00105533411330259,0.9,"0.87","0.93",0.887683590079897,0.00171812594107398,0.891051116924402,0.884316063235392,-0.01
"16",2021-01-23,0.870652844717103,0.00124411337627474,0.92,"0.89","0.94",0.905966104931767,0.00162211961273896,0.909145459372736,0.902786750490799,-0.01
"17",2021-01-24,0.887683590079897,0.00171812594107398,0.92,"0.89","0.95",0.923973355830439,0.00162021628702939,0.927148979753017,0.920797731907862,0
"18",2021-01-25,0.905966104931767,0.00162211961273896,0.91,"0.88","0.94",0.909048363504578,0.00137305590864968,0.911739553085532,0.906357173923625,0
"19",2021-01-26,0.923973355830439,0.00162021628702939,0.91,"0.88","0.94",0.920089285521786,0.00167865442661507,0.923379448197951,0.91679912284562,0.01
"20",2021-01-27,0.909048363504578,0.00137305590864968,0.92,"0.89","0.95",0.922987947411429,0.00174580471474753,0.926409724652335,0.919566170170524,0
"21",2021-01-28,0.920089285521786,0.00167865442661507,0.94,"0.91","0.97",0.937636651848283,0.00141150772413912,0.940403206987596,0.934870096708971,0
"22",2021-01-29,0.922987947411429,0.00174580471474753,0.97,"0.93","1.00",0.961541440731304,0.0015382412747562,0.964556393629826,0.958526487832781,-0.01
