"","dates","Mean(R)","Std(R)","Rt_avg","Rt_low","Rt_up","R_lagged","R_Std_lag","diff"
"1",2021-01-08,0.837490461850333,0.000965185907526801,0.92,"0.90","0.95",0.91,0.001,-0.01
"2",2021-01-09,0.867219588224482,0.00163531339214814,0.94,"0.92","0.97",0.94,0.001,0
"3",2021-01-10,0.912657581198502,0.00142189946914515,0.94,"0.91","0.97",0.95,0.001,0.01
"4",2021-01-11,0.942955806642228,0.00146534385943089,0.92,"0.90","0.95",0.93,0.001,0.01
"5",2021-01-12,0.952457335180223,0.00141893031254382,0.92,"0.90","0.95",0.93,0.001,0.01
"6",2021-01-13,0.933332028807306,0.00106691997686899,0.93,"0.91","0.96",0.93,0.002,0
"7",2021-01-14,0.931387002663039,0.00117261271313946,0.95,"0.92","0.97",0.94,0.001,-0.01
"8",2021-01-15,0.929358473597349,0.00163852547345218,0.96,"0.94","0.99",0.95,0.001,-0.01
"9",2021-01-16,0.943544649971306,0.000952236286355056,0.97,"0.94","0.99",0.96,0.001,-0.01
"10",2021-01-17,0.95429154087067,0.0014465742542159,0.94,"0.91","0.97",0.95,0.001,0.01
"11",2021-01-18,0.959513858592084,0.00125263061121035,0.9,"0.88","0.93",0.91,0.002,0.01
"12",2021-01-19,0.95036039891063,0.00149680326470124,0.88,"0.85","0.90",0.89,0.002,0.01
"13",2021-01-20,0.905069342979975,0.00166904477332301,0.87,"0.85","0.90",0.87,0.001,0
"14",2021-01-21,0.886919224144308,0.00199198673527818,0.88,"0.86","0.91",0.87,0.002,-0.01
"15",2021-01-22,0.866393362759187,0.00120838454785698,0.9,"0.87","0.93",0.89,0.001,-0.01
"16",2021-01-23,0.870669294779921,0.00166032751293929,0.92,"0.89","0.94",0.91,0.001,-0.01
"17",2021-01-24,0.888060694405318,0.00110129808460491,0.92,"0.89","0.95",0.92,0.002,0
"18",2021-01-25,0.906253904487625,0.00135894907276042,0.91,"0.88","0.94",0.91,0.001,0
"19",2021-01-26,0.924277471740156,0.00174075839478195,0.91,"0.88","0.94",0.92,0.002,0.01
"20",2021-01-27,0.909099848089235,0.00139598593783206,0.92,"0.89","0.95",0.92,0.001,0
"21",2021-01-28,0.91950525971824,0.00182723595132423,0.94,"0.91","0.97",0.94,0.002,0
"22",2021-01-29,0.92232561592663,0.000932989387639507,0.97,"0.93","1.00",0.96,0.002,-0.01
"23",2021-01-30,0.937122290079565,0.00156143822455888,0.98,"0.95","1.01",0.97,0.002,-0.01
"24",2021-01-31,0.959909418972279,0.00150070749732029,0.97,"0.94","1.00",0.98,0.001,0.01
"25",2021-02-01,0.974238925983047,0.00154373852346156,0.95,"0.92","0.98",0.95,0.001,0
"26",2021-02-02,0.979538680128484,0.00139763828309426,0.93,"0.90","0.96",0.93,0.002,0
"27",2021-02-03,0.945553720938681,0.000996457100443605,0.94,"0.90","0.97",0.93,0.002,-0.01
"28",2021-02-04,0.93340620873837,0.0017126575220497,0.96,"0.92","0.99",0.95,0.002,-0.01
"29",2021-02-05,0.933744138809299,0.0017221703413805,0.99,"0.96","1.02",0.97,0.001,-0.02
"30",2021-02-06,0.945137503240946,0.00191807450590242,1.02,"0.99","1.06",1,0.002,-0.02
"31",2021-02-07,0.973614661526292,0.000918395971555217,1.03,"0.99","1.07",1.02,0.002,-0.01
"32",2021-02-08,1.00040749043742,0.00152154306683329,1.02,"0.99","1.06",1.02,0.002,0
"33",2021-02-09,1.01901229683412,0.00216875618125597,1.03,"1.00","1.06",1.04,0.003,0.01
"34",2021-02-10,1.02277759275266,0.00160200596156689,1.06,"1.02","1.09",1.07,0.003,0.01
"35",2021-02-11,1.03667607082218,0.00252079593330583,1.1,"1.07","1.14",1.1,0.001,0
"36",2021-02-12,1.06538971444521,0.00264786003298653,1.14,"1.11","1.18",1.14,0.002,0
"37",2021-02-13,1.10105227902263,0.00134224922832634,1.16,"1.13","1.20",1.17,0.001,0.01
"38",2021-02-14,1.14109452791615,0.00165916913593076,1.15,"1.11","1.18",1.17,0.001,0.02
"39",2021-02-15,1.17160092381413,0.00139955981443119,1.11,"1.08","1.14",1.13,0.002,0.02
"40",2021-02-16,1.16735031545531,0.00118249974857804,1.07,"1.04","1.10",1.1,0.002,0.03
"41",2021-02-17,1.12710334732845,0.00176407708256708,1.05,"1.02","1.08",1.06,0.001,0.01
"42",2021-02-18,1.0972901249837,0.00153876063328518,1.04,"1.01","1.07",1.04,0.002,0
"43",2021-02-19,1.06360933313465,0.00119341510282339,1.04,"1.01","1.07",1.02,0.001,-0.02
"44",2021-02-20,1.04068869454119,0.00240071388646314,1.03,"1.00","1.06",1.01,0.001,-0.02
"45",2021-02-21,1.02427011163343,0.00103989241486105,1,"0.97","1.03",1,0.001,0
"46",2021-02-22,1.00745067910989,0.00103945233970803,0.98,"0.95","1.00",0.97,0.001,-0.01
"47",2021-02-23,0.997796080114465,0.00144726264228739,0.97,"0.94","1.00",0.97,0.001,0
"48",2021-02-24,0.970301815291786,0.00137771586134796,0.99,"0.96","1.02",0.98,0.003,-0.01
"49",2021-02-25,0.974042924248494,0.00133488237100588,1.01,"0.98","1.04",1,0.002,-0.01
"50",2021-02-26,0.979956360948545,0.00291325341945632,1.04,"1.01","1.07",1.03,0.001,-0.01
"51",2021-02-27,1.00041936710566,0.00150702076212631,1.05,"1.02","1.08",1.05,0.002,0
