"date","age_group","cases","ggd_code"
"2020-02-27","30-39",3,"GG5406"
"2020-02-27","70-79",4,"GG5406"
"2020-02-27","60-69",1,"GG5406"
"2020-02-27","40-49",3,"GG5406"
"2020-02-27","50-59",6,"GG5406"
"2020-02-27","70-79",1,"GG4506"
"2020-02-27","0-9",1,"GG4506"
"2020-02-27","30-39",1,"GG4506"
"2020-02-27","30-39",1,"GG3109"
"2020-02-27","10-19",1,"GG3109"
"2020-02-27","60-69",1,"GG6011"
"2020-02-27","90+",1,"GG6011"
"2020-02-27","40-49",1,"GG1413"
"2020-02-27","40-49",1,"GG2514"
"2020-02-27","70-79",1,"GG2514"
"2020-02-27","20-29",2,"GG2514"
"2020-02-27","10-19",1,"GG2514"
"2020-02-27","60-69",1,"GG4607"
"2020-02-27","50-59",2,"GG4607"
"2020-02-27","40-49",2,"GG5206"
"2020-02-27","60-69",2,"GG5206"
"2020-02-27","30-39",1,"GG5206"
"2020-02-27","70-79",1,"GG7306"
"2020-02-27","50-59",1,"GG6106"
"2020-02-27","80-89",2,"GG6106"
"2020-02-27","70-79",2,"GG6106"
"2020-02-27","70-79",1,"GG1911"
"2020-02-28","70-79",1,"GG4816"
"2020-02-28","40-49",1,"GG4816"
"2020-02-28","50-59",1,"GG5608"
"2020-02-28","40-49",1,"GG5608"
"2020-02-28","70-79",1,"GG5608"
"2020-02-28","50-59",3,"GG0706"
"2020-02-28","40-49",1,"GG2209"
"2020-02-28","40-49",1,"GG2014"
"2020-02-28","50-59",1,"GG2014"
"2020-02-28","40-49",1,"GG7014"
"2020-02-28","80-89",1,"GG7014"
"2020-02-28","80-89",2,"GG5406"
"2020-02-28","40-49",1,"GG5406"
"2020-02-28","50-59",6,"GG5406"
"2020-02-28","50-59",1,"GG3109"
"2020-02-28","80-89",2,"GG6011"
"2020-02-28","70-79",1,"GG1413"
"2020-02-28","20-29",1,"GG1413"
"2020-02-28","50-59",2,"GG1106"
"2020-02-28","70-79",1,"GG2514"
"2020-02-28","60-69",1,"GG2514"
"2020-02-28","50-59",2,"GG2514"
"2020-02-28","40-49",1,"GG2514"
"2020-02-28","10-19",1,"GG2514"
