Jaar,Week,CohortGenormaliseerd,CohortOrigineel,AantalTesten,AantalPositief,PercentagePositief
2021,9,70+,70+,20200,1953,9.66831683168317
2021,9,Niet vermeld,Niet vermeld,239,32,13.389121338912133
2021,10,0-20,0 - 3,4966,292,5.879983890455095
2021,10,0-20,13 - 17,23780,2215,9.314550042052144
2021,10,0-20,4 - 12,88175,3972,4.504678196767791
2021,10,20-29,18 - 24,47416,4630,9.764636409650752
2021,10,20-29,25 - 29,33321,2597,7.793883736982683
2021,10,30-39,30 - 39,83385,5196,6.2313365713257785
2021,10,40-49,40 - 49,66286,4979,7.511390037111909
2021,10,50-59,50 - 59,51831,5642,10.885377476799599
2021,10,60-69,60 - 69,38850,3349,8.62033462033462
2021,10,70+,70+,22568,2305,10.21357674583481
2021,10,Niet vermeld,Niet vermeld,266,33,12.406015037593985
2021,11,0-20,0 - 3,6501,342,5.260729118597139
2021,11,0-20,13 - 17,30664,2881,9.395382207148447
2021,11,0-20,4 - 12,103305,4982,4.822612651856154
2021,11,20-29,18 - 24,52200,5265,10.086206896551724
2021,11,20-29,25 - 29,36547,3231,8.840670916901525
2021,11,30-39,30 - 39,90050,5971,6.630760688506385
2021,11,40-49,40 - 49,73794,6089,8.251348348104182
2021,11,50-59,50 - 59,56933,6287,11.042804700261712
2021,11,60-69,60 - 69,42908,3841,8.951710636711104
2021,11,70+,70+,24107,2505,10.391172688430746
2021,11,Niet vermeld,Niet vermeld,329,48,14.58966565349544
