Jaar,Week,Groep,AantalTesten,AantalPositief,PercentagePositief
2020,52,"Kappers, manicures, pedicures en",1190,156,13.109243697478993
2020,52,Overige contactberoepen,44800,5759,12.854910714285714
2020,52,Mantelzorgers,999,87,8.708708708708707
2020,52,Overige niet-contact beroepen,96896,10807,11.153195178335535
2020,52,Getest ihkv BCO (0-17 jaar),0,0,
2020,52,Getest ihkv BCO (18+),0,0,
2020,52,Onbekend,199873,28905,14.461683168812195
2020,53,Zorgmedewerkers verpleeg- of,10493,1517,14.457257219098446
2020,53,Zorgmedewerkers elders,19251,2136,11.095527505064672
2020,53,Kinderopvang medewerkers,1757,215,12.236767216846898
2020,53,Basisschool- en BSO personeel,3336,364,10.911270983213429
2020,53,Middelbaar onderwijspersoneel,1548,140,9.043927648578812
2020,53,Hoger onderwijspersoneel,1819,161,8.851017042330952
2020,53,Horeca,3030,311,10.264026402640264
2020,53,OV medewerkers,780,112,14.358974358974358
2020,53,Handhaving,2580,265,10.271317829457365
2020,53,"Kappers, manicures, pedicures en",236,46,19.491525423728813
2020,53,Overige contactberoepen,33404,4352,13.028379834750329
2020,53,Mantelzorgers,896,87,9.709821428571429
2020,53,Overige niet-contact beroepen,70977,8578,12.085605196049425
2020,53,Getest ihkv BCO (0-17 jaar),0,0,
2020,53,Getest ihkv BCO (18+),0,0,
2020,53,Onbekend,195339,29040,14.866462918311244
2021,1,Zorgmedewerkers ziekenhuizen,2940,319,10.850340136054422
2021,1,Zorgmedewerkers verpleeg- of,9628,1397,14.509763190693809
2021,1,Zorgmedewerkers elders,17397,1807,10.386848307179399
2021,1,Kinderopvang medewerkers,1703,183,10.74574280681151
2021,1,Basisschool- en BSO personeel,3615,334,9.239280774550485
2021,1,Middelbaar onderwijspersoneel,1873,152,8.11532301121196
2021,1,Hoger onderwijspersoneel,1525,112,7.344262295081967
2021,1,Horeca,2984,339,11.36058981233244
2021,1,OV medewerkers,736,103,13.994565217391305
2021,1,Handhaving,2704,254,9.393491124260354
2021,1,"Kappers, manicures, pedicures en",133,13,9.774436090225564
2021,1,Overige contactberoepen,33590,3844,11.44388210777017
2021,1,Mantelzorgers,766,62,8.093994778067886
2021,1,Overige niet-contact beroepen,64546,7148,11.074272611780746
2021,1,Getest ihkv BCO (0-17 jaar),0,0,
2021,1,Getest ihkv BCO (18+),0,0,
2021,1,Onbekend,179965,25533,14.187758730864337
2021,2,Zorgmedewerkers ziekenhuizen,3121,292,9.355975648830503
2021,2,Zorgmedewerkers verpleeg- of,8354,1113,13.322959061527412
2021,2,Zorgmedewerkers elders,16218,1551,9.563448020717722
2021,2,Kinderopvang medewerkers,2141,188,8.780943484353106
2021,2,Basisschool- en BSO personeel,4639,337,7.264496658762665
2021,2,Middelbaar onderwijspersoneel,2473,171,6.914678528103519
2021,2,Hoger onderwijspersoneel,2204,143,6.488203266787659
2021,2,Horeca,2110,192,9.09952606635071
2021,2,OV medewerkers,669,80,11.958146487294469
2021,2,Handhaving,2650,223,8.415094339622641
2021,2,"Kappers, manicures, pedicures en",126,18,14.285714285714285
2021,2,Overige contactberoepen,33411,3431,10.269073059770733
2021,2,Mantelzorgers,712,58,8.146067415730338
2021,2,Overige niet-contact beroepen,65189,6319,9.693353173081348
2021,2,Getest ihkv BCO (0-17 jaar),0,0,
2021,2,Getest ihkv BCO (18+),0,0,
2021,2,Onbekend,149102,18073,12.12123244490349
2021,3,Zorgmedewerkers ziekenhuizen,2390,216,9.037656903765692
2021,3,Zorgmedewerkers verpleeg- of,5941,805,13.549907422992764
2021,3,Zorgmedewerkers elders,12633,1073,8.493627800205811
2021,3,Kinderopvang medewerkers,1758,122,6.939704209328783
2021,3,Basisschool- en BSO personeel,4041,222,5.4936896807720865
2021,3,Middelbaar onderwijspersoneel,1998,89,4.454454454454455
2021,3,Hoger onderwijspersoneel,2082,116,5.571565802113352
2021,3,Horeca,1795,141,7.855153203342619
2021,3,OV medewerkers,561,64,11.408199643493761
2021,3,Handhaving,2050,172,8.390243902439025
2021,3,"Kappers, manicures, pedicures en",82,5,6.097560975609756
2021,3,Overige contactberoepen,25133,2277,9.059801854135996
2021,3,Mantelzorgers,617,49,7.941653160453808
2021,3,Overige niet-contact beroepen,49364,3980,8.062555708613564
2021,3,Getest ihkv BCO (0-17 jaar),7049,1674,23.74804936870478
2021,3,Getest ihkv BCO (18+),46705,8523,18.24858152232095
2021,3,Onbekend,104404,9902,9.484310945940768
2021,4,Zorgmedewerkers ziekenhuizen,426,45,10.56338028169014
2021,4,Zorgmedewerkers verpleeg- of,1339,171,12.77072442120986
2021,4,Zorgmedewerkers elders,2614,228,8.722264728385616
2021,4,Kinderopvang medewerkers,346,32,9.248554913294797
2021,4,Basisschool- en BSO personeel,867,54,6.228373702422145
2021,4,Middelbaar onderwijspersoneel,397,18,4.534005037783375
2021,4,Hoger onderwijspersoneel,411,23,5.59610705596107
2021,4,Horeca,315,22,6.984126984126984
2021,4,OV medewerkers,102,10,9.803921568627452
2021,4,Handhaving,405,38,9.382716049382717
2021,4,"Kappers, manicures, pedicures en",17,1,5.88235294117647
2021,4,Overige contactberoepen,5269,495,9.394572025052192
2021,4,Mantelzorgers,139,14,10.071942446043165
2021,4,Overige niet-contact beroepen,9604,828,8.621407746772178
2021,4,Getest ihkv BCO (0-17 jaar),374,69,18.449197860962567
2021,4,Getest ihkv BCO (4-12 jaar),2840,671,23.62676056338028
2021,4,Getest ihkv BCO (0-17 jaar),2989,673,22.515891602542656
2021,4,Getest ihkv BCO (18+),35751,6524,18.248440603060054
2021,4,Onbekend,144254,13910,9.642713546938039
