"Date_of_report","Municipality_code","Municipality_name","Province","Total_reported","Hospital_admission","Deceased"
"2020-10-23 10:00:00","","","Groningen",12,1,0
"2020-10-23 10:00:00","","","Friesland",8,1,0
"2020-10-23 10:00:00","","","Drenthe",10,0,0
"2020-10-23 10:00:00","","","Overijssel",151,1,1
"2020-10-23 10:00:00","","","Flevoland",5,1,0
"2020-10-23 10:00:00","","","Gelderland",189,12,2
"2020-10-23 10:00:00","","","Utrecht",150,8,0
"2020-10-23 10:00:00","","","Noord-Holland",243,17,3
"2020-10-23 10:00:00","","","Zuid-Holland",746,19,9
"2020-10-23 10:00:00","","","Zeeland",7,2,2
"2020-10-23 10:00:00","","","Noord-Brabant",396,16,3
"2020-10-23 10:00:00","","","Limburg",51,7,3
