"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,649,3,693,2020-12-15
"20 - 24",13,194,0,207,2020-12-15
"25 - 29",13,353,2,368,2020-12-15
"30 - 34",18,451,3,472,2020-12-15
"35 - 39",20,548,8,576,2020-12-15
"40 - 44",38,694,4,736,2020-12-15
"45 - 49",55,1148,16,1219,2020-12-15
"50 - 54",113,1776,39,1928,2020-12-15
"55 - 59",113,2165,54,2332,2020-12-15
"60 - 64",156,2352,108,2616,2020-12-15
"65 - 69",196,2305,212,2713,2020-12-15
"70 - 74",241,2785,462,3488,2020-12-15
"75 - 79",274,2680,786,3740,2020-12-15
"80 - 84",272,2208,970,3450,2020-12-15
"85 - 89",169,1407,760,2336,2020-12-15
">90",79,597,280,956,2020-12-15
