"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",45,541,2,588,2020-11-15
"20 - 24",6,160,0,166,2020-11-15
"25 - 29",12,302,1,315,2020-11-15
"30 - 34",17,366,3,386,2020-11-15
"35 - 39",15,446,7,468,2020-11-15
"40 - 44",32,589,3,624,2020-11-15
"45 - 49",48,962,14,1024,2020-11-15
"50 - 54",95,1486,35,1616,2020-11-15
"55 - 59",126,1762,45,1933,2020-11-15
"60 - 64",159,1924,88,2171,2020-11-15
"65 - 69",173,1858,178,2209,2020-11-15
"70 - 74",215,2277,390,2882,2020-11-15
"75 - 79",238,2152,650,3040,2020-11-15
"80 - 84",255,1728,810,2793,2020-11-15
"85 - 89",140,1080,621,1841,2020-11-15
">90",63,457,222,742,2020-11-15
