"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",31,1257,6,1294,2021-06-25
"20 - 24",3,426,3,432,2021-06-25
"25 - 29",10,721,2,733,2021-06-25
"30 - 34",6,1079,10,1095,2021-06-25
"35 - 39",7,1270,11,1288,2021-06-25
"40 - 44",11,1617,12,1640,2021-06-25
"45 - 49",13,2760,25,2798,2021-06-25
"50 - 54",33,4324,73,4430,2021-06-25
"55 - 59",31,5314,128,5473,2021-06-25
"60 - 64",32,5315,239,5586,2021-06-25
"65 - 69",30,5278,499,5807,2021-06-25
"70 - 74",48,6222,1055,7325,2021-06-25
"75 - 79",45,5831,1721,7597,2021-06-25
"80 - 84",35,4538,1953,6526,2021-06-25
"85 - 89",20,2781,1441,4242,2021-06-25
">90",7,1217,601,1825,2021-06-25
