"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1249,7,1289,2021-06-13
"20 - 24",5,417,3,425,2021-06-13
"25 - 29",14,710,2,726,2021-06-13
"30 - 34",16,1066,11,1093,2021-06-13
"35 - 39",15,1248,11,1274,2021-06-13
"40 - 44",20,1593,12,1625,2021-06-13
"45 - 49",34,2725,25,2784,2021-06-13
"50 - 54",61,4276,72,4409,2021-06-13
"55 - 59",57,5264,128,5449,2021-06-13
"60 - 64",46,5282,238,5566,2021-06-13
"65 - 69",54,5251,497,5802,2021-06-13
"70 - 74",69,6198,1049,7316,2021-06-13
"75 - 79",63,5806,1716,7585,2021-06-13
"80 - 84",56,4518,1949,6523,2021-06-13
"85 - 89",23,2770,1438,4231,2021-06-13
">90",17,1211,598,1826,2021-06-13
