"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,1109,5,1149,2021-05-10
"20 - 24",6,370,1,377,2021-05-10
"25 - 29",17,647,2,666,2021-05-10
"30 - 34",38,954,9,1001,2021-05-10
"35 - 39",41,1109,10,1160,2021-05-10
"40 - 44",57,1433,11,1501,2021-05-10
"45 - 49",74,2426,24,2524,2021-05-10
"50 - 54",141,3786,69,3996,2021-05-10
"55 - 59",195,4719,120,5034,2021-05-10
"60 - 64",158,4901,216,5275,2021-05-10
"65 - 69",200,4803,472,5475,2021-05-10
"70 - 74",237,5802,984,7023,2021-05-10
"75 - 79",225,5483,1650,7358,2021-05-10
"80 - 84",119,4353,1881,6353,2021-05-10
"85 - 89",66,2671,1412,4149,2021-05-10
">90",31,1154,584,1769,2021-05-10
