"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",48,692,3,743,2020-12-27
"20 - 24",10,211,0,221,2020-12-27
"25 - 29",16,373,3,392,2020-12-27
"30 - 34",17,493,3,513,2020-12-27
"35 - 39",24,583,9,616,2020-12-27
"40 - 44",34,753,4,791,2020-12-27
"45 - 49",67,1228,17,1312,2020-12-27
"50 - 54",129,1917,43,2089,2020-12-27
"55 - 59",154,2337,60,2551,2020-12-27
"60 - 64",187,2551,116,2854,2020-12-27
"65 - 69",214,2509,238,2961,2020-12-27
"70 - 74",313,3025,505,3843,2020-12-27
"75 - 79",366,2947,855,4168,2020-12-27
"80 - 84",339,2414,1061,3814,2020-12-27
"85 - 89",202,1558,829,2589,2020-12-27
">90",86,667,306,1059,2020-12-27
