"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,554,3,597,2020-11-19
"20 - 24",9,165,0,174,2020-11-19
"25 - 29",14,310,1,325,2020-11-19
"30 - 34",25,377,3,405,2020-11-19
"35 - 39",19,461,7,487,2020-11-19
"40 - 44",35,606,3,644,2020-11-19
"45 - 49",43,988,14,1045,2020-11-19
"50 - 54",91,1524,36,1651,2020-11-19
"55 - 59",123,1825,47,1995,2020-11-19
"60 - 64",167,1998,94,2259,2020-11-19
"65 - 69",176,1926,183,2285,2020-11-19
"70 - 74",207,2350,400,2957,2020-11-19
"75 - 79",244,2224,664,3132,2020-11-19
"80 - 84",252,1823,835,2910,2020-11-19
"85 - 89",139,1145,637,1921,2020-11-19
">90",48,481,231,760,2020-11-19
