"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1248,7,1288,2021-06-12
"20 - 24",4,416,3,423,2021-06-12
"25 - 29",14,708,2,724,2021-06-12
"30 - 34",18,1063,11,1092,2021-06-12
"35 - 39",14,1247,11,1272,2021-06-12
"40 - 44",17,1593,12,1622,2021-06-12
"45 - 49",33,2725,25,2783,2021-06-12
"50 - 54",63,4272,72,4407,2021-06-12
"55 - 59",54,5264,128,5446,2021-06-12
"60 - 64",45,5280,238,5563,2021-06-12
"65 - 69",54,5249,497,5800,2021-06-12
"70 - 74",69,6198,1049,7316,2021-06-12
"75 - 79",66,5800,1715,7581,2021-06-12
"80 - 84",57,4518,1948,6523,2021-06-12
"85 - 89",26,2767,1438,4231,2021-06-12
">90",17,1211,598,1826,2021-06-12
