"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,629,3,671,2020-12-09
"20 - 24",10,182,0,192,2020-12-09
"25 - 29",8,342,1,351,2020-12-09
"30 - 34",17,432,3,452,2020-12-09
"35 - 39",22,524,8,554,2020-12-09
"40 - 44",31,672,4,707,2020-12-09
"45 - 49",50,1099,16,1165,2020-12-09
"50 - 54",88,1725,38,1851,2020-12-09
"55 - 59",113,2081,50,2244,2020-12-09
"60 - 64",131,2266,104,2501,2020-12-09
"65 - 69",174,2215,197,2586,2020-12-09
"70 - 74",202,2679,450,3331,2020-12-09
"75 - 79",218,2577,749,3544,2020-12-09
"80 - 84",217,2108,940,3265,2020-12-09
"85 - 89",156,1332,727,2215,2020-12-09
">90",62,570,258,890,2020-12-09
