"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,616,3,653,2020-12-06
"20 - 24",9,180,0,189,2020-12-06
"25 - 29",7,333,1,341,2020-12-06
"30 - 34",15,427,3,445,2020-12-06
"35 - 39",21,510,7,538,2020-12-06
"40 - 44",27,661,3,691,2020-12-06
"45 - 49",50,1079,16,1145,2020-12-06
"50 - 54",88,1675,37,1800,2020-12-06
"55 - 59",104,2039,50,2193,2020-12-06
"60 - 64",117,2237,102,2456,2020-12-06
"65 - 69",158,2171,193,2522,2020-12-06
"70 - 74",181,2629,435,3245,2020-12-06
"75 - 79",225,2523,737,3485,2020-12-06
"80 - 84",220,2059,921,3200,2020-12-06
"85 - 89",134,1297,713,2144,2020-12-06
">90",50,548,256,854,2020-12-06
