"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",24,1287,6,1317,2021-07-11
"20 - 24",5,429,3,437,2021-07-11
"25 - 29",5,730,2,737,2021-07-11
"30 - 34",4,1083,10,1097,2021-07-11
"35 - 39",2,1279,11,1292,2021-07-11
"40 - 44",9,1629,12,1650,2021-07-11
"45 - 49",8,2773,25,2806,2021-07-11
"50 - 54",28,4339,73,4440,2021-07-11
"55 - 59",19,5335,128,5482,2021-07-11
"60 - 64",16,5338,240,5594,2021-07-11
"65 - 69",15,5294,502,5811,2021-07-11
"70 - 74",20,6252,1056,7328,2021-07-11
"75 - 79",14,5852,1724,7590,2021-07-11
"80 - 84",19,4555,1959,6533,2021-07-11
"85 - 89",10,2789,1445,4244,2021-07-11
">90",5,1220,603,1828,2021-07-11
