"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",42,525,2,569,2020-11-12
"20 - 24",2,156,0,158,2020-11-12
"25 - 29",12,297,1,310,2020-11-12
"30 - 34",18,359,3,380,2020-11-12
"35 - 39",16,441,7,464,2020-11-12
"40 - 44",34,572,3,609,2020-11-12
"45 - 49",45,944,14,1003,2020-11-12
"50 - 54",81,1459,35,1575,2020-11-12
"55 - 59",127,1713,45,1885,2020-11-12
"60 - 64",154,1876,88,2118,2020-11-12
"65 - 69",201,1794,171,2166,2020-11-12
"70 - 74",231,2218,383,2832,2020-11-12
"75 - 79",274,2079,635,2988,2020-11-12
"80 - 84",255,1675,790,2720,2020-11-12
"85 - 89",159,1041,607,1807,2020-11-12
">90",66,439,215,720,2020-11-12
