"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,612,3,655,2020-12-05
"20 - 24",7,180,0,187,2020-12-05
"25 - 29",6,332,1,339,2020-12-05
"30 - 34",15,425,3,443,2020-12-05
"35 - 39",20,508,7,535,2020-12-05
"40 - 44",27,661,3,691,2020-12-05
"45 - 49",47,1077,16,1140,2020-12-05
"50 - 54",86,1669,37,1792,2020-12-05
"55 - 59",115,2028,50,2193,2020-12-05
"60 - 64",112,2230,102,2444,2020-12-05
"65 - 69",147,2166,192,2505,2020-12-05
"70 - 74",167,2622,435,3224,2020-12-05
"75 - 79",221,2519,732,3472,2020-12-05
"80 - 84",211,2058,919,3188,2020-12-05
"85 - 89",135,1296,710,2141,2020-12-05
">90",47,548,254,849,2020-12-05
