"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",38,607,3,648,2020-12-04
"20 - 24",6,181,0,187,2020-12-04
"25 - 29",10,331,1,342,2020-12-04
"30 - 34",17,424,3,444,2020-12-04
"35 - 39",23,505,7,535,2020-12-04
"40 - 44",26,659,3,688,2020-12-04
"45 - 49",52,1071,16,1139,2020-12-04
"50 - 54",81,1667,37,1785,2020-12-04
"55 - 59",116,2015,49,2180,2020-12-04
"60 - 64",105,2224,102,2431,2020-12-04
"65 - 69",139,2155,192,2486,2020-12-04
"70 - 74",191,2603,432,3226,2020-12-04
"75 - 79",227,2494,730,3451,2020-12-04
"80 - 84",195,2046,914,3155,2020-12-04
"85 - 89",120,1289,707,2116,2020-12-04
">90",48,544,253,845,2020-12-04
