"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",31,1257,6,1294,2021-06-24
"20 - 24",2,425,3,430,2021-06-24
"25 - 29",9,720,2,731,2021-06-24
"30 - 34",5,1079,10,1094,2021-06-24
"35 - 39",7,1268,11,1286,2021-06-24
"40 - 44",11,1616,12,1639,2021-06-24
"45 - 49",15,2758,25,2798,2021-06-24
"50 - 54",35,4322,73,4430,2021-06-24
"55 - 59",34,5309,128,5471,2021-06-24
"60 - 64",33,5312,239,5584,2021-06-24
"65 - 69",27,5279,499,5805,2021-06-24
"70 - 74",49,6219,1054,7322,2021-06-24
"75 - 79",48,5828,1721,7597,2021-06-24
"80 - 84",38,4535,1953,6526,2021-06-24
"85 - 89",20,2779,1441,4240,2021-06-24
">90",7,1216,601,1824,2021-06-24
