"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",33,1251,7,1291,2021-06-17
"20 - 24",2,419,3,424,2021-06-17
"25 - 29",13,713,2,728,2021-06-17
"30 - 34",6,1074,10,1090,2021-06-17
"35 - 39",8,1255,11,1274,2021-06-17
"40 - 44",21,1598,12,1631,2021-06-17
"45 - 49",19,2747,25,2791,2021-06-17
"50 - 54",44,4304,72,4420,2021-06-17
"55 - 59",54,5286,128,5468,2021-06-17
"60 - 64",38,5295,239,5572,2021-06-17
"65 - 69",45,5263,498,5806,2021-06-17
"70 - 74",61,6202,1052,7315,2021-06-17
"75 - 79",56,5812,1718,7586,2021-06-17
"80 - 84",46,4526,1949,6521,2021-06-17
"85 - 89",23,2773,1440,4236,2021-06-17
">90",13,1211,600,1824,2021-06-17
