"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,578,3,618,2020-11-24
"20 - 24",6,172,0,178,2020-11-24
"25 - 29",8,324,1,333,2020-11-24
"30 - 34",18,401,3,422,2020-11-24
"35 - 39",29,474,7,510,2020-11-24
"40 - 44",33,628,3,664,2020-11-24
"45 - 49",40,1018,15,1073,2020-11-24
"50 - 54",94,1582,36,1712,2020-11-24
"55 - 59",128,1886,47,2061,2020-11-24
"60 - 64",145,2086,95,2326,2020-11-24
"65 - 69",169,2028,186,2383,2020-11-24
"70 - 74",192,2439,410,3041,2020-11-24
"75 - 79",246,2324,685,3255,2020-11-24
"80 - 84",228,1899,868,2995,2020-11-24
"85 - 89",146,1191,656,1993,2020-11-24
">90",51,500,238,789,2020-11-24
