"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,1295,6,1329,2021-07-14
"20 - 24",10,436,3,449,2021-07-14
"25 - 29",8,730,2,740,2021-07-14
"30 - 34",6,1087,10,1103,2021-07-14
"35 - 39",7,1282,11,1300,2021-07-14
"40 - 44",9,1630,12,1651,2021-07-14
"45 - 49",15,2775,25,2815,2021-07-14
"50 - 54",31,4343,73,4447,2021-07-14
"55 - 59",23,5336,128,5487,2021-07-14
"60 - 64",17,5341,241,5599,2021-07-14
"65 - 69",15,5296,502,5813,2021-07-14
"70 - 74",21,6255,1056,7332,2021-07-14
"75 - 79",24,5854,1724,7602,2021-07-14
"80 - 84",16,4560,1960,6536,2021-07-14
"85 - 89",11,2790,1446,4247,2021-07-14
">90",4,1221,603,1828,2021-07-14
