"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",41,656,3,700,2020-12-16
"20 - 24",13,195,0,208,2020-12-16
"25 - 29",14,354,2,370,2020-12-16
"30 - 34",17,458,3,478,2020-12-16
"35 - 39",24,550,8,582,2020-12-16
"40 - 44",34,698,4,736,2020-12-16
"45 - 49",58,1157,16,1231,2020-12-16
"50 - 54",120,1782,39,1941,2020-12-16
"55 - 59",106,2181,54,2341,2020-12-16
"60 - 64",155,2363,109,2627,2020-12-16
"65 - 69",193,2328,217,2738,2020-12-16
"70 - 74",261,2805,463,3529,2020-12-16
"75 - 79",292,2704,789,3785,2020-12-16
"80 - 84",290,2224,978,3492,2020-12-16
"85 - 89",165,1425,767,2357,2020-12-16
">90",79,609,280,968,2020-12-16
