"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",51,704,3,758,2020-12-30
"20 - 24",13,216,0,229,2020-12-30
"25 - 29",14,379,3,396,2020-12-30
"30 - 34",19,503,3,525,2020-12-30
"35 - 39",34,592,9,635,2020-12-30
"40 - 44",46,766,4,816,2020-12-30
"45 - 49",74,1256,19,1349,2020-12-30
"50 - 54",131,1971,45,2147,2020-12-30
"55 - 59",163,2405,60,2628,2020-12-30
"60 - 64",210,2617,121,2948,2020-12-30
"65 - 69",223,2581,247,3051,2020-12-30
"70 - 74",347,3109,520,3976,2020-12-30
"75 - 79",381,3018,883,4282,2020-12-30
"80 - 84",386,2486,1088,3960,2020-12-30
"85 - 89",226,1598,858,2682,2020-12-30
">90",90,687,323,1100,2020-12-30
