"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,1280,6,1314,2021-07-06
"20 - 24",2,428,3,433,2021-07-06
"25 - 29",6,726,2,734,2021-07-06
"30 - 34",5,1081,10,1096,2021-07-06
"35 - 39",7,1275,11,1293,2021-07-06
"40 - 44",11,1625,12,1648,2021-07-06
"45 - 49",11,2768,25,2804,2021-07-06
"50 - 54",35,4336,73,4444,2021-07-06
"55 - 59",23,5328,128,5479,2021-07-06
"60 - 64",19,5334,239,5592,2021-07-06
"65 - 69",23,5289,500,5812,2021-07-06
"70 - 74",41,6233,1056,7330,2021-07-06
"75 - 79",28,5844,1723,7595,2021-07-06
"80 - 84",25,4550,1957,6532,2021-07-06
"85 - 89",20,2783,1442,4245,2021-07-06
">90",5,1219,602,1826,2021-07-06
