"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,565,3,605,2020-11-20
"20 - 24",7,167,0,174,2020-11-20
"25 - 29",12,314,1,327,2020-11-20
"30 - 34",20,387,3,410,2020-11-20
"35 - 39",17,467,7,491,2020-11-20
"40 - 44",37,609,3,649,2020-11-20
"45 - 49",41,998,14,1053,2020-11-20
"50 - 54",101,1534,36,1671,2020-11-20
"55 - 59",114,1842,47,2003,2020-11-20
"60 - 64",167,2018,94,2279,2020-11-20
"65 - 69",171,1957,183,2311,2020-11-20
"70 - 74",200,2373,403,2976,2020-11-20
"75 - 79",235,2255,667,3157,2020-11-20
"80 - 84",230,1847,841,2918,2020-11-20
"85 - 89",145,1159,641,1945,2020-11-20
">90",45,489,231,765,2020-11-20
