"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",38,635,3,676,2020-12-11
"20 - 24",14,182,0,196,2020-12-11
"25 - 29",10,342,2,354,2020-12-11
"30 - 34",15,437,3,455,2020-12-11
"35 - 39",16,533,8,557,2020-12-11
"40 - 44",31,679,4,714,2020-12-11
"45 - 49",47,1118,16,1181,2020-12-11
"50 - 54",92,1741,38,1871,2020-12-11
"55 - 59",109,2110,52,2271,2020-12-11
"60 - 64",136,2295,107,2538,2020-12-11
"65 - 69",167,2245,202,2614,2020-12-11
"70 - 74",204,2716,451,3371,2020-12-11
"75 - 79",230,2609,758,3597,2020-12-11
"80 - 84",217,2140,948,3305,2020-12-11
"85 - 89",154,1351,735,2240,2020-12-11
">90",53,582,263,898,2020-12-11
