"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,568,3,605,2020-11-21
"20 - 24",7,168,0,175,2020-11-21
"25 - 29",14,316,1,331,2020-11-21
"30 - 34",23,388,3,414,2020-11-21
"35 - 39",18,467,7,492,2020-11-21
"40 - 44",30,616,3,649,2020-11-21
"45 - 49",34,1003,14,1051,2020-11-21
"50 - 54",96,1547,36,1679,2020-11-21
"55 - 59",109,1852,47,2008,2020-11-21
"60 - 64",160,2033,94,2287,2020-11-21
"65 - 69",168,1970,184,2322,2020-11-21
"70 - 74",189,2390,404,2983,2020-11-21
"75 - 79",241,2271,669,3181,2020-11-21
"80 - 84",223,1860,848,2931,2020-11-21
"85 - 89",133,1167,645,1945,2020-11-21
">90",45,490,233,768,2020-11-21
