"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,645,3,683,2020-12-13
"20 - 24",13,189,0,202,2020-12-13
"25 - 29",10,347,2,359,2020-12-13
"30 - 34",19,442,3,464,2020-12-13
"35 - 39",20,541,8,569,2020-12-13
"40 - 44",32,683,4,719,2020-12-13
"45 - 49",48,1133,16,1197,2020-12-13
"50 - 54",98,1763,38,1899,2020-12-13
"55 - 59",111,2134,53,2298,2020-12-13
"60 - 64",137,2323,107,2567,2020-12-13
"65 - 69",173,2281,206,2660,2020-12-13
"70 - 74",230,2745,455,3430,2020-12-13
"75 - 79",235,2644,769,3648,2020-12-13
"80 - 84",221,2180,964,3365,2020-12-13
"85 - 89",157,1379,743,2279,2020-12-13
">90",57,591,272,920,2020-12-13
