"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,1294,6,1330,2021-07-13
"20 - 24",8,434,3,445,2021-07-13
"25 - 29",8,730,2,740,2021-07-13
"30 - 34",7,1087,10,1104,2021-07-13
"35 - 39",7,1280,11,1298,2021-07-13
"40 - 44",9,1630,12,1651,2021-07-13
"45 - 49",12,2774,25,2811,2021-07-13
"50 - 54",30,4342,73,4445,2021-07-13
"55 - 59",21,5335,128,5484,2021-07-13
"60 - 64",17,5342,240,5599,2021-07-13
"65 - 69",18,5295,502,5815,2021-07-13
"70 - 74",19,6254,1056,7329,2021-07-13
"75 - 79",19,5853,1724,7596,2021-07-13
"80 - 84",21,4558,1960,6539,2021-07-13
"85 - 89",12,2789,1446,4247,2021-07-13
">90",5,1221,603,1829,2021-07-13
