"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",31,1227,6,1264,2021-06-06
"20 - 24",5,412,3,420,2021-06-06
"25 - 29",18,700,2,720,2021-06-06
"30 - 34",17,1049,11,1077,2021-06-06
"35 - 39",22,1225,11,1258,2021-06-06
"40 - 44",29,1570,12,1611,2021-06-06
"45 - 49",45,2686,25,2756,2021-06-06
"50 - 54",68,4229,72,4369,2021-06-06
"55 - 59",91,5200,127,5418,2021-06-06
"60 - 64",65,5251,238,5554,2021-06-06
"65 - 69",76,5213,495,5784,2021-06-06
"70 - 74",86,6174,1042,7302,2021-06-06
"75 - 79",83,5777,1707,7567,2021-06-06
"80 - 84",80,4502,1936,6518,2021-06-06
"85 - 89",34,2752,1436,4222,2021-06-06
">90",20,1208,597,1825,2021-06-06
