"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",40,545,2,587,2020-11-16
"20 - 24",4,163,0,167,2020-11-16
"25 - 29",13,304,1,318,2020-11-16
"30 - 34",21,370,3,394,2020-11-16
"35 - 39",18,451,7,476,2020-11-16
"40 - 44",35,592,3,630,2020-11-16
"45 - 49",47,966,14,1027,2020-11-16
"50 - 54",92,1497,35,1624,2020-11-16
"55 - 59",126,1776,45,1947,2020-11-16
"60 - 64",169,1935,90,2194,2020-11-16
"65 - 69",181,1868,178,2227,2020-11-16
"70 - 74",218,2288,392,2898,2020-11-16
"75 - 79",253,2162,657,3072,2020-11-16
"80 - 84",260,1746,817,2823,2020-11-16
"85 - 89",166,1086,624,1876,2020-11-16
">90",71,459,224,754,2020-11-16
