"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",45,674,3,722,2020-12-21
"20 - 24",12,201,0,213,2020-12-21
"25 - 29",14,362,3,379,2020-12-21
"30 - 34",26,474,3,503,2020-12-21
"35 - 39",25,564,8,597,2020-12-21
"40 - 44",44,715,4,763,2020-12-21
"45 - 49",58,1181,16,1255,2020-12-21
"50 - 54",116,1840,40,1996,2020-12-21
"55 - 59",144,2237,58,2439,2020-12-21
"60 - 64",159,2437,112,2708,2020-12-21
"65 - 69",215,2408,228,2851,2020-12-21
"70 - 74",276,2899,485,3660,2020-12-21
"75 - 79",329,2795,814,3938,2020-12-21
"80 - 84",306,2311,1006,3623,2020-12-21
"85 - 89",187,1480,794,2461,2020-12-21
">90",87,636,292,1015,2020-12-21
