"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,631,3,673,2020-12-10
"20 - 24",10,182,0,192,2020-12-10
"25 - 29",7,342,2,351,2020-12-10
"30 - 34",14,436,3,453,2020-12-10
"35 - 39",21,526,8,555,2020-12-10
"40 - 44",26,677,4,707,2020-12-10
"45 - 49",56,1104,16,1176,2020-12-10
"50 - 54",81,1733,38,1852,2020-12-10
"55 - 59",104,2096,51,2251,2020-12-10
"60 - 64",132,2278,106,2516,2020-12-10
"65 - 69",169,2230,200,2599,2020-12-10
"70 - 74",195,2697,451,3343,2020-12-10
"75 - 79",208,2595,753,3556,2020-12-10
"80 - 84",220,2120,944,3284,2020-12-10
"85 - 89",161,1344,727,2232,2020-12-10
">90",61,574,261,896,2020-12-10
