"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",34,1112,6,1152,2021-05-11
"20 - 24",7,371,1,379,2021-05-11
"25 - 29",14,653,2,669,2021-05-11
"30 - 34",33,963,10,1006,2021-05-11
"35 - 39",39,1118,10,1167,2021-05-11
"40 - 44",52,1449,11,1512,2021-05-11
"45 - 49",87,2440,24,2551,2021-05-11
"50 - 54",150,3808,70,4028,2021-05-11
"55 - 59",196,4762,121,5079,2021-05-11
"60 - 64",154,4930,217,5301,2021-05-11
"65 - 69",187,4835,475,5497,2021-05-11
"70 - 74",249,5828,987,7064,2021-05-11
"75 - 79",217,5513,1656,7386,2021-05-11
"80 - 84",128,4358,1885,6371,2021-05-11
"85 - 89",62,2675,1415,4152,2021-05-11
">90",33,1155,586,1774,2021-05-11
