"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",42,584,3,629,2020-11-26
"20 - 24",5,174,0,179,2020-11-26
"25 - 29",9,324,1,334,2020-11-26
"30 - 34",17,406,3,426,2020-11-26
"35 - 39",27,479,7,513,2020-11-26
"40 - 44",34,634,3,671,2020-11-26
"45 - 49",47,1025,15,1087,2020-11-26
"50 - 54",90,1597,36,1723,2020-11-26
"55 - 59",123,1910,48,2081,2020-11-26
"60 - 64",136,2110,95,2341,2020-11-26
"65 - 69",158,2060,187,2405,2020-11-26
"70 - 74",184,2480,412,3076,2020-11-26
"75 - 79",239,2352,695,3286,2020-11-26
"80 - 84",208,1948,874,3030,2020-11-26
"85 - 89",142,1209,661,2012,2020-11-26
">90",58,505,240,803,2020-11-26
