"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",28,499,2,529,2020-11-06
"20 - 24",6,145,0,151,2020-11-06
"25 - 29",15,283,1,299,2020-11-06
"30 - 34",16,347,3,366,2020-11-06
"35 - 39",19,423,6,448,2020-11-06
"40 - 44",41,529,3,573,2020-11-06
"45 - 49",44,900,14,958,2020-11-06
"50 - 54",97,1376,34,1507,2020-11-06
"55 - 59",118,1614,44,1776,2020-11-06
"60 - 64",168,1767,85,2020,2020-11-06
"65 - 69",189,1673,163,2025,2020-11-06
"70 - 74",244,2077,367,2688,2020-11-06
"75 - 79",283,1939,600,2822,2020-11-06
"80 - 84",280,1552,732,2564,2020-11-06
"85 - 89",188,965,561,1714,2020-11-06
">90",70,406,202,678,2020-11-06
