"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",39,668,3,710,2020-12-19
"20 - 24",11,198,0,209,2020-12-19
"25 - 29",12,361,2,375,2020-12-19
"30 - 34",21,465,3,489,2020-12-19
"35 - 39",22,560,8,590,2020-12-19
"40 - 44",39,709,4,752,2020-12-19
"45 - 49",55,1177,16,1248,2020-12-19
"50 - 54",121,1822,39,1982,2020-12-19
"55 - 59",128,2220,54,2402,2020-12-19
"60 - 64",161,2412,110,2683,2020-12-19
"65 - 69",206,2377,221,2804,2020-12-19
"70 - 74",270,2865,476,3611,2020-12-19
"75 - 79",312,2769,799,3880,2020-12-19
"80 - 84",274,2290,992,3556,2020-12-19
"85 - 89",175,1462,782,2419,2020-12-19
">90",75,629,283,987,2020-12-19
