"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",37,547,2,586,2020-11-17
"20 - 24",5,164,0,169,2020-11-17
"25 - 29",15,307,1,323,2020-11-17
"30 - 34",23,373,3,399,2020-11-17
"35 - 39",18,455,7,480,2020-11-17
"40 - 44",38,594,3,635,2020-11-17
"45 - 49",50,974,14,1038,2020-11-17
"50 - 54",94,1501,36,1631,2020-11-17
"55 - 59",127,1796,46,1969,2020-11-17
"60 - 64",156,1967,91,2214,2020-11-17
"65 - 69",177,1888,181,2246,2020-11-17
"70 - 74",219,2304,397,2920,2020-11-17
"75 - 79",248,2182,660,3090,2020-11-17
"80 - 84",267,1768,825,2860,2020-11-17
"85 - 89",163,1109,629,1901,2020-11-17
">90",54,469,226,749,2020-11-17
