"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",35,597,3,635,2020-12-01
"20 - 24",6,177,0,183,2020-12-01
"25 - 29",10,328,1,339,2020-12-01
"30 - 34",11,421,3,435,2020-12-01
"35 - 39",23,491,7,521,2020-12-01
"40 - 44",27,650,3,680,2020-12-01
"45 - 49",57,1046,16,1119,2020-12-01
"50 - 54",87,1639,37,1763,2020-12-01
"55 - 59",127,1969,48,2144,2020-12-01
"60 - 64",123,2180,100,2403,2020-12-01
"65 - 69",157,2114,189,2460,2020-12-01
"70 - 74",183,2559,424,3166,2020-12-01
"75 - 79",225,2440,712,3377,2020-12-01
"80 - 84",181,2000,900,3081,2020-12-01
"85 - 89",136,1259,693,2088,2020-12-01
">90",54,528,248,830,2020-12-01
