"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,1292,6,1328,2021-07-12
"20 - 24",8,432,3,443,2021-07-12
"25 - 29",4,730,2,736,2021-07-12
"30 - 34",5,1084,10,1099,2021-07-12
"35 - 39",5,1279,11,1295,2021-07-12
"40 - 44",10,1630,12,1652,2021-07-12
"45 - 49",8,2774,25,2807,2021-07-12
"50 - 54",31,4339,73,4443,2021-07-12
"55 - 59",17,5335,128,5480,2021-07-12
"60 - 64",17,5341,240,5598,2021-07-12
"65 - 69",18,5294,502,5814,2021-07-12
"70 - 74",17,6253,1056,7326,2021-07-12
"75 - 79",16,5852,1724,7592,2021-07-12
"80 - 84",18,4556,1959,6533,2021-07-12
"85 - 89",11,2789,1446,4246,2021-07-12
">90",5,1220,603,1828,2021-07-12
