"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,1253,7,1290,2021-06-18
"20 - 24",4,420,3,427,2021-06-18
"25 - 29",11,715,2,728,2021-06-18
"30 - 34",6,1074,10,1090,2021-06-18
"35 - 39",8,1256,11,1275,2021-06-18
"40 - 44",19,1600,12,1631,2021-06-18
"45 - 49",17,2750,25,2792,2021-06-18
"50 - 54",44,4309,72,4425,2021-06-18
"55 - 59",47,5292,128,5467,2021-06-18
"60 - 64",39,5299,239,5577,2021-06-18
"65 - 69",48,5263,498,5809,2021-06-18
"70 - 74",59,6205,1052,7316,2021-06-18
"75 - 79",53,5814,1718,7585,2021-06-18
"80 - 84",49,4528,1949,6526,2021-06-18
"85 - 89",29,2775,1440,4244,2021-06-18
">90",14,1211,600,1825,2021-06-18
