"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",31,1260,6,1297,2021-06-26
"20 - 24",2,426,3,431,2021-06-26
"25 - 29",10,721,2,733,2021-06-26
"30 - 34",6,1079,10,1095,2021-06-26
"35 - 39",6,1270,11,1287,2021-06-26
"40 - 44",10,1620,12,1642,2021-06-26
"45 - 49",13,2761,25,2799,2021-06-26
"50 - 54",34,4324,73,4431,2021-06-26
"55 - 59",28,5316,128,5472,2021-06-26
"60 - 64",31,5317,239,5587,2021-06-26
"65 - 69",29,5278,499,5806,2021-06-26
"70 - 74",49,6224,1055,7328,2021-06-26
"75 - 79",47,5831,1721,7599,2021-06-26
"80 - 84",35,4538,1953,6526,2021-06-26
"85 - 89",19,2782,1441,4242,2021-06-26
">90",7,1217,601,1825,2021-06-26
