"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",30,1297,6,1333,2021-07-15
"20 - 24",10,437,3,450,2021-07-15
"25 - 29",12,730,2,744,2021-07-15
"30 - 34",6,1089,10,1105,2021-07-15
"35 - 39",10,1283,11,1304,2021-07-15
"40 - 44",9,1630,12,1651,2021-07-15
"45 - 49",13,2776,25,2814,2021-07-15
"50 - 54",31,4344,73,4448,2021-07-15
"55 - 59",22,5339,128,5489,2021-07-15
"60 - 64",19,5344,241,5604,2021-07-15
"65 - 69",17,5298,502,5817,2021-07-15
"70 - 74",23,6258,1056,7337,2021-07-15
"75 - 79",24,5856,1724,7604,2021-07-15
"80 - 84",15,4559,1960,6534,2021-07-15
"85 - 89",11,2790,1447,4248,2021-07-15
">90",5,1221,602,1828,2021-07-15
